"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"	"series"	"title1"	"rn"	"to_rating"	"sh"	"bb"
"21"	21	21	"Star Wars: Episode I - The Phantom Menace"	"Fox"	1027	474.5	552.5	1999	"Sci-Fi Fantasy"	"PG"	3126	6.5	"Sci-Fi"	"Fantasy"	64.8	133	37.3	"George Lucas"	""	"Liam Neeson"	"Ewan McGregor"	"ns"	115	1	"starwars:thephantommenace"	212	44	0	4.13
"22"	22	22	"Alice in Wonderland"	"BV"	1025.5	334.2	691.3	2010	"Family Adventure"	"PG"	3739	6.5	"Family"	"Adventure"	116.1	109	18	"Tim Burton"	""	"Johnny Depp"	"Mia Wasikowska"	"ns"	200	0	"aliceinwonderland"	0	0	0	1.67
"23"	23	23	"The Hobbit: An Unexpected Journey"	"WB (NL)"	1021.1	303	718.1	2012	"Fantasy"	"PG-13"	4100	7.9	"Fantasy"	""	84.6	166	19	"Peter Jackson"	""	"Ian McKellen"	"Martin Freeman"	"hs"	NA	1	"thehobbit:anunexpectedjourney"	0	0	0	NA
"24"	24	24	"The Dark Knight"	"WB"	1004.6	534.9	469.7	2008	"AA"	"PG-13"	4366	9	"AA"	""	158.4	150	33	"Christopher Nolan"	""	"Christian Bale"	"Heath Ledger"	"ss"	185	0	"thedarkknight"	314	83	2	2.89
"25"	25	25	"The Lion King"	"BV"	987.5	422.8	564.7	1994	"Animation"	"G"	NA	8.5	"Animation"	""	NA	89	NA	"Roger Allers"	"Rob Minkoff"	"Matthew Broderick"	"Jonathan Taylor Thomas"	"ss"	45	0	"thelionking"	113	80	0	9.4
"26"	26	26	"Harry Potter and the Sorcerer's Stone"	"WB"	974.8	317.6	657.2	2001	"Fantasy"	"PG"	3672	7.5	"Fantasy"	""	NA	153	NA	"Chris Columbus"	""	"Richard Harris"	"Maggie Smith"	"ns"	125	0	"harrypotterandthesorcerer'sstone"	194	69	0	2.54
"27"	27	27	"Despicable Me 2"	"Uni."	970.8	368.1	602.7	2013	"Animation"	"PG"	4003	7.5	"Animation"	""	NA	98	NA	"Pierre Coffin"	"Chris Renaud"	"Steve Carell"	"Kristen Wiig"	"ss"	76	1	"despicableme2"	0	0	0	4.84
"28"	28	28	"Pirates of the Caribbean: At World's End"	"BV"	963.4	309.4	654	2007	"Period Adventure"	"PG-13"	4362	7.1	"Period"	"Adventure"	114.7	168	19	"Gore Verbinski"	""	"Johnny Depp"	"Geoffrey Rush"	"ss"	300	1	"piratesofthecaribbean:atworld'send"	0	0	0	1.03
"29"	29	29	"Harry Potter and the Deathly Hallows Part 1"	"WB"	960.3	296	664.3	2010	"Fantasy"	"PG-13"	4125	7.7	"Fantasy"	""	NA	150	NA	"David Yates"	""	"Bill Nighy"	"Emma Watson"	"ns"	NA	1	"harrypotterandthedeathlyhallowspart1"	260	66	0	NA
"30"	30	30	"The Hobbit: The Desolation of Smaug"	"WB (NL)"	958.4	258.4	700	2013	"Fantasy"	"PG-13"	3928	7.9	"Fantasy"	""	73.6	161	18	"Peter Jackson"	""	"Ian McKellen"	"Martin Freeman"	"hs"	NA	1	"thehobbit:thedesolationofsmaug"	0	0	0	NA
"31"	31	31	"The Hobbit: The Battle of the Five Armies"	"WB (NL)"	956	255.1	700.9	2014	"Fantasy"	"PG-13"	3875	7.5	"Fantasy"	""	54.7	144	15.3	"Peter Jackson"	""	"Ian McKellen"	"Martin Freeman"	"hs"	NA	1	"thehobbit:thebattleofthefivearmies"	0	0	0	NA
"32"	32	32	"Harry Potter and the Order of the Phoenix"	"WB"	939.9	292	647.9	2007	"Fantasy"	"PG-13"	4285	7.5	"Fantasy"	""	77.1	139	22.3	"David Yates"	""	"Daniel Radcliffe"	"Harry Melling"	"ss"	150	0	"harrypotterandtheorderofthephoenix"	242	67	0	1.95
