"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"	"series"	"title1"	"rn"	"to_rating"	"sh"	"bb"
"90"	90	90	"Pirates of the Caribbean: The Curse of the Black Pearl"	"BV"	654.3	305.4	348.9	2003	"Period Adventure"	"PG-13"	3416	8.1	"Period"	"Adventure"	46.6	135	26.3	"Gore Verbinski"	""	"Johnny Depp"	"Geoffrey Rush"	"ss"	140	1	"piratesofthecaribbean:thecurseoftheblackpearl"	208	67	0	2.18
"91"	91	91	"The Hunger Games: Mockingjay - Part 2"	"LGF"	653	281.7	371.2	2015	"AA"	"PG-13"	NA	7	"AA"	""	NA	137	NA	"Francis Lawrence"	""	"Jennifer Lawrence"	"Josh Hutcherson"	"hs"	160	1	"thehungergames:mockingjaypart2"	0	0	0	1.76
"92"	92	92	"Star Wars: Episode II - Attack of the Clones"	"Fox"	649.4	310.7	338.7	2002	"Sci-Fi Fantasy"	"PG"	3161	6.7	"Sci-Fi"	"Fantasy"	80	132	24.6	"George Lucas"	""	"Ewan McGregor"	"Natalie Portman"	"ns"	115	1	"starwars:attackoftheclones"	0	0	0	2.7
"93"	93	93	"Thor: The Dark World"	"BV"	644.6	206.4	438.2	2013	"AA"	"PG-13"	3841	7.1	"AA"	""	85.7	120	23	"Alan Taylor"	""	"Chris Hemsworth"	"Natalie Portman"	"ns"	170	1	"thor:thedarkworld"	0	0	0	1.21
"94"	94	94	"Kung Fu Panda"	"P/DW"	631.7	215.4	416.3	2008	"Animation"	"PG"	NA	7.6	"Animation"	""	NA	91	NA	"Mark Osborne"	"John Stevenson"	"Jack Black"	"Dustin Hoffman"	"ss"	130	0	"kungfupanda"	178	76	0	1.66
"95"	95	95	"The Incredibles"	"BV"	631.4	261.4	370	2004	"Animation"	"PG"	3933	8	"Animation"	""	70.5	115	23	"Brad Bird"	""	"Craig T. Nelson"	"Holly Hunter"	"ns"	92	0	"theincredibles"	233	86	1	2.84
"96"	96	96	"Fast Five"	"Uni."	626.1	209.8	416.3	2011	"Action"	"PG-13"	3793	7.3	"Action"	""	86.2	130	15	"Justin Lin"	""	"Vin Diesel"	"Paul Walker"	"ns"	125	0	"fastfive"	0	0	0	1.68
"97"	97	97	"Hancock"	"Sony"	624.4	227.9	396.4	2008	"Fantasy Drama"	"PG-13"	3965	6.4	"Fantasy"	"Drama"	62.6	92	10.3	"Peter Berg"	""	"Will Smith"	"Charlize Theron"	"ss"	150	0	"hancock"	0	0	3	1.52
"98"	98	98	"MIB 3"	"Sony"	624	179	445	2012	"Sci-Fi Comedy"	"PG-13"	NA	6.8	"Sci-Fi"	"Comedy"	NA	106	NA	"Barry Sonnenfeld"	""	"Will Smith"	"Tommy Lee Jones"	"ss"	108	1	"mib3"	0	0	0	1.66
"99"	99	99	"Iron Man 2"	"Par."	623.9	312.4	311.5	2010	"AA"	"PG-13"	4248	7	"AA"	""	54.6	125	15.4	"Jon Favreau"	""	"Robert Downey Jr."	"Gwyneth Paltrow"	"ns"	225	1	"ironman2"	276	60	5	1.39
"100"	100	100	"Ratatouille"	"BV"	623.7	206.4	417.3	2007	"Animation"	"PG-13"	4390	8	"Animation"	""	NA	111	NA	"Brad Bird"	"Jan Pinkava"	"Patton Oswalt"	"Ian Holm"	"ss"	200	0	"ratatouille"	238	85	0	1.03
"101"	101	101	"How to Train Your Dragon 2"	"Fox"	621.5	177	444.5	2014	"Animation"	"G"	3940	7.9	"Animation"	""	47	105	24	"Dean DeBlois"	""	"Jay Baruchel"	"Cate Blanchett"	"ss"	150	1	"howtotrainyourdragon2"	161	80	0	1.18
"102"	102	102	"The Martian"	"Fox"	619.7	228.3	391.4	2015	"Sci-Fi"	"PG"	4268	8.1	"Sci-Fi"	""	49.5	141	26	"Ridley Scott"	""	"Matt Damon"	"Jessica Chastain"	"ns"	145	0	"themartian"	293	81	0	1.57
"103"	103	103	"The Lost World: Jurassic Park"	"Uni."	618.6	229.1	389.6	1997	"Sci-Fi Horror"	"PG-13"	3565	6.5	"Sci-Fi"	"Horror"	NA	129	NA	"Steven Spielberg"	""	"Jeff Goldblum"	"Julianne Moore"	"ss"	73	1	"thelostworld:jurassicpark"	0	0	0	3.14
"104"	104	104	"The Passion of the Christ"	"NM"	611.9	370.8	241.1	2004	"Historical Drama"	"R"	3408	7.1	"Historical"	"Drama"	83.8	126	22.3	"Mel Gibson"	""	"Jim Caviezel"	"Maia Morgenstern"	"ns"	30	0	"thepassionofthechrist"	0	0	0	12.36
"105"	105	105	"Mamma Mia!"	"Uni."	609.8	144.1	465.7	2008	"Musical"	"PG-13"	NA	6.3	"Musical"	""	NA	108	NA	"Phyllida Lloyd"	""	"Amanda Seyfried"	"Stellan Skarsg_rd"	"ss"	52	0	"mammamia!"	0	0	0	2.77
"106"	106	106	"Life of Pi"	"Fox"	609	125	484	2012	"Adventure"	"R"	3856	8	"Adventure"	""	NA	126	NA	"Ang Lee"	""	"Suraj Sharma"	"Irrfan Khan"	"hs"	58	0	"lifeofpi"	228	75	0	2.16
"107"	107	107	"Madagascar: Escape 2 Africa"	"P/DW"	603.9	180	423.9	2008	"Animation"	"PG"	2946	6.7	"Animation"	""	22.5	89	35.3	"Eric Darnell"	"Tom McGrath"	"Ben Stiller"	"Chris Rock"	"ns"	120	1	"madagascar:escape2africa"	0	0	0	1.5
"108"	108	108	"Casino Royale"	"Sony"	599	167.4	431.6	2006	"Action"	"PG"	4065	8	"Action"	""	63.1	144	16	"Martin Campbell"	""	"Daniel Craig"	"Eva Green"	"ns"	150	0	"casinoroyale"	246	84	0	1.12
"109"	109	109	"Tangled"	"BV"	591.8	200.8	391	2010	"Animation"	"PG-13"	3443	7.8	"Animation"	""	40.8	100	17.4	"Nathan Greno"	"Byron Howard"	"Mandy Moore"	"Zachary Levi"	"hs"	150	0	"tangled"	215	79	0	1.34
"110"	110	110	"War of the Worlds"	"Par."	591.7	234.3	357.5	2005	"Sci-Fi Horror"	"PG"	3603	6.5	"Sci-Fi"	"Horror"	48.8	117	27.3	"Steven Spielberg"	""	"Tom Cruise"	"Dakota Fanning"	"ss"	260	0	"waroftheworlds"	251	62	0	0.9
"111"	111	111	"Men in Black"	"Sony"	589.4	250.7	338.7	1997	"Sci-Fi Comedy"	"PG-13"	3910	7.3	"Sci-Fi"	"Comedy"	64.9	97	21.3	"Barry Sonnenfeld"	""	"Tommy Lee Jones"	"Will Smith"	"ss"	132	0	"meninblack"	85	81	0	1.9
"112"	112	112	"The Croods"	"Fox"	587.2	187.2	400	2013	"Animation"	"PG-13"	3180	7.3	"Animation"	""	NA	98	NA	"Kirk De Micco"	"Chris Sanders"	"Nicolas Cage"	"Emma Stone"	"ns"	90	0	"thecroods"	0	0	0	2.08
"113"	113	113	"The Hangover Part II"	"WB"	586.8	254.5	332.3	2011	"Comedy"	"PG"	4065	6.5	"Comedy"	""	43.6	102	26	"Todd Phillips"	""	"Bradley Cooper"	"Ed Helms"	"ss"	135	1	"thehangoverpartii"	0	0	0	1.89
"114"	114	114	"Quantum of Solace"	"Sony"	586.1	168.4	417.7	2008	"Action"	"R"	3675	6.7	"Action"	""	85.9	106	16.1	"Marc Forster"	""	"Daniel Craig"	"Olga Kurylenko"	"ns"	80	0	"quantumofsolace"	280	53	0	2.1
"115"	115	115	"I Am Legend"	"WB"	585.3	256.4	329	2007	"Sci-Fi Horror"	"PG-13"	3501	7.2	"Sci-Fi"	"Horror"	67.5	100	11	"Francis Lawrence"	""	"Will Smith"	"Alice Braga"	"hs"	200	0	"iamlegend"	0	0	0	1.28
"116"	116	116	"Iron Man"	"Par."	585.2	318.4	266.8	2008	"AA"	"PG-13"	3648	7.9	"AA"	""	77.2	126	17	"Jon Favreau"	""	"Robert Downey Jr."	"Terrence Howard"	"ns"	150	0	"ironman"	266	83	5	2.12
"117"	117	117	"Night at the Museum"	"Fox"	574.5	250.9	323.6	2006	"Family Adventure"	"PG-13"	4154	6.4	"Family"	"Adventure"	NA	108	NA	"Shawn Levy"	""	"Ben Stiller"	"Carla Gugino"	"hs"	140	0	"nightatthemuseum"	0	0	0	1.79
"118"	118	118	"Fifty Shades of Grey"	"Uni."	571	166.2	404.8	2015	"Romance"	"PG"	NA	4.1	"Romance"	""	NA	125	NA	"Sam Taylor-Johnson"	""	"Dakota Johnson"	"Jamie Dornan"	"ns"	NA	0	"fiftyshadesofgrey"	0	0	0	NA
"119"	119	119	"The Smurfs"	"Sony"	563.7	142.6	421.1	2011	"Family Comedy"	"R"	3655	5.5	"Family"	"Comedy"	85.2	86	12	"Raja Gosnell"	""	"Hank Azaria"	"Neil Patrick Harris"	"ss"	40	0	"thesmurfs"	0	0	0	3.56
"120"	120	120	"Monsters Inc."	"BV"	562.8	289.9	272.9	2001	"Animation"	"PG"	3427	8.1	"Animation"	""	35.6	90	20	"Pete Docter"	"David Silverman"	"John Goodman"	"Billy Crystal"	"ns"	110	0	"monstersinc."	192	85	0	2.64
"121"	121	121	"Cars 2"	"BV"	559.9	191.5	368.4	2011	"Animation"	"G"	3649	6.3	"Animation"	""	62.6	113	47	"John Lasseter"	"Brad Lewis"	"Larry the Cable Guy"	"Owen Wilson"	"ss"	115	1	"cars2"	0	0	0	1.67
"122"	122	122	"Puss in Boots"	"P/DW"	555	149.3	405.7	2011	"Animation"	"G"	4115	6.7	"Animation"	""	66.1	90	25	"Chris Miller"	""	"Antonio Banderas"	"Salma Hayek"	"ns"	200	0	"pussinboots"	142	73	0	0.75
"123"	123	123	"Armageddon"	"BV"	553.7	201.6	352.1	1998	"Sci-Fi Action"	"PG"	3963	6.6	"Sci-Fi"	"Action"	34.1	144	18	"Michael Bay"	""	"Bruce Willis"	"Billy Bob Thornton"	"ss"	130	0	"armageddon"	115	27	0	1.55
"124"	124	124	"King Kong"	"Uni."	550.5	218.1	332.4	2016	"Action"	"PG-13"	3184	7.2	"Action"	""	NA	106	NA	"Peter Jackson"	""	"Naomi Watts"	"Jack Black"	"ns"	140	0	"kingkong"	257	73	0	1.56
"125"	125	125	"Ted"	"Uni."	549.4	218.8	330.6	2005	"Period Adventure"	"PG-13"	3627	7	"Period"	"Adventure"	50.1	187	16.3	"Seth MacFarlane"	""	"Mark Wahlberg"	"Mila Kunis"	"hs"	207	0	"ted"	43	67	0	1.06
"126"	126	126	"American Sniper"	"WB"	547.4	350.1	197.3	2012	"Comedy"	"R"	3303	7.3	"Comedy"	""	NA	106	NA	"Clint Eastwood"	""	"Bradley Cooper"	"Kyle Gallner"	"ss"	50	0	"americansniper"	0	0	0	7
"127"	127	127	"Mission: Impossible II"	"Par."	546.4	215.4	331	2014	"Drama"	"R"	NA	6.1	"Drama"	""	NA	132	NA	"John Woo"	""	"Tom Cruise"	"Dougray Scott"	"hs"	58.8	1	"mission:impossibleii"	0	0	0	3.66
"128"	128	128	"Sherlock Holmes: A Game of Shadows"	"WB"	545.4	186.8	358.6	2000	"Action"	"PG-13"	3669	7.5	"Action"	""	57.8	123	21.3	"Guy Ritchie"	""	"Robert Downey Jr."	"Jude Law"	"ss"	125	1	"sherlockholmes:agameofshadows"	0	0	0	1.49
"129"	129	129	"The Day After Tomorrow"	"Fox"	544.3	186.7	357.5	2011	"Adventure"	"PG-13"	3703	6.4	"Adventure"	""	39.6	128	16	"Roland Emmerich"	""	"Dennis Quaid"	"Jake Gyllenhaal"	"hs"	NA	0	"thedayaftertomorrow"	0	0	0	NA
"130"	130	130	"Despicable Me"	"Uni."	543.1	251.5	291.6	2004	"Action Drama"	"PG-13"	3444	7.7	"Action"	"Drama"	68.7	124	23	"Pierre Coffin"	"Chris Renaud"	"Steve Carell"	"Jason Segel"	"ss"	125	0	"despicableme"	192	70	0	2.01
"131"	131	131	"Cinderella"	"BV"	542.7	201.2	341.5	2010	"Animation"	"PG"	NA	7	"Animation"	""	NA	95	NA	"Kenneth Branagh"	""	"Cate Blanchett"	"Lily James"	"ss"	69	0	"cinderella"	64	80	0	2.92
"132"	132	132	"World War Z"	"Par."	540	202.4	337.6	2015	"Fantasy"	"PG"	3848	7	"Fantasy"	""	67.9	112	27	"Marc Forster"	""	"Brad Pitt"	"Mireille Enos"	"ns"	95	0	"worldwarz"	0	0	0	2.13
"133"	133	133	"Brave"	"BV"	539	237.3	301.7	2013	"Action Horror"	"PG-13"	3607	7.2	"Action"	"Horror"	66.4	116	16	"Mark Andrews"	"Brenda Chapman"	"Kelly Macdonald"	"Billy Connolly"	"ss"	190	0	"brave"	65	66	0	1.25
"134"	134	134	"The Empire Strikes Back"	"Fox"	538.4	290.5	247.9	2012	"Animation"	"PG"	4164	8.8	"Animation"	""	66.3	100	30	"Irvin Kershner"	""	"Mark Hamill"	"Harrison Ford"	"ss"	185	0	"theempirestrikesback"	0	0	0	1.57
"135"	135	135	"Madagascar"	"DW"	532.7	193.6	339.1	1980	"Sci-Fi Fantasy"	"PG"	NA	6.9	"Sci-Fi"	"Fantasy"	NA	129	NA	"Eric Darnell"	"Tom McGrath"	"Ben Stiller"	"Chris Rock"	"ss"	18	0	"madagascar"	0	0	0	10.76
"136"	136	136	"Deadpool"	"Fox"	529.6	263.1	266.5	2005	"Animation"	"PG"	4142	8.5	"Animation"	""	NA	86	NA	"Tim Miller"	""	"Ryan Reynolds"	"Karan Soni"	"ss"	NA	0	"deadpool"	0	0	0	NA
"137"	137	137	"Godzilla"	"WB"	529.1	200.7	328.4	2014	"Sci-Fi Action"	"PG-13"	3952	6	"Sci-Fi"	"Action"	93.2	123	15	"Takao Okawara"	""	"Takehiro Murata"	"Hiroshi Abe"	"ns"	160	0	"godzilla"	68	44	0	1.25
"138"	138	138	"The Simpsons Movie"	"Fox"	527.1	183.1	343.9	2007	"Animation"	"PG-13"	3926	7.4	"Animation"	""	74	87	21	"David Silverman"	""	"Dan Castellaneta"	"Julie Kavner"	"ss"	75	0	"thesimpsonsmovie"	218	78	0	2.44
"139"	139	139	"Sherlock Holmes"	"WB"	524	209	315	2009	"Adventure"	"PG-13"	3626	7.6	"Adventure"	""	62.3	134	18	"Guy Ritchie"	""	"Robert Downey Jr."	"Jude Law"	"hs"	90	0	"sherlockholmes"	0	0	0	2.32
"140"	140	140	"WALL-E"	"BV"	521.3	223.8	297.5	2008	"Animation"	"G"	3992	8.4	"Animation"	""	63.1	97	28	"Andrew Stanton"	""	"Ben Burtt"	"Elissa Knight"	"ss"	180	0	"walle"	244	85	0	1.24
"141"	141	141	"Terminator 2: Judgment Day"	"TriS"	519.8	204.8	315	1991	"Sci-Fi Action"	"R"	NA	8.5	"Sci-Fi"	"Action"	NA	137	NA	"James Cameron"	""	"Arnold Schwarzenegger"	"Linda Hamilton"	"ss"	102	1	"terminator2:judgmentday"	67	82	0	2.01
"142"	142	142	"Ant-Man"	"BV"	519.3	180.2	339	2015	"AA"	"PG-13"	NA	7.4	"AA"	""	NA	117	NA	"Peyton Reed"	""	"Paul Rudd"	"Michael Douglas"	"ss"	130	0	"antman"	0	0	1	1.39
"143"	143	143	"Meet the Fockers"	"Uni."	516.6	279.3	237.4	2004	"Comedy"	"PG-13"	3554	6.3	"Comedy"	""	46.1	114	21.3	"Jay Roach"	""	"Robert De Niro"	"Ben Stiller"	"hs"	80	0	"meetthefockers"	0	0	0	3.49
"144"	144	144	"Ghost"	"Par."	505.7	217.6	288.1	1990	"Romance"	"PG-13"	NA	7	"Romance"	""	NA	128	NA	"Jerry Zucker"	""	"Patrick Swayze"	"Demi Moore"	"ss"	22	0	"ghost"	66	62	0	9.89
"145"	145	145	"Aladdin"	"BV"	504.1	217.4	286.7	1992	"Animation"	"G"	NA	8	"Animation"	""	NA	90	NA	"Ron Clements"	"John Musker"	"Scott Weinger"	"Robin Williams"	"ns"	28	0	"aladdin"	68	83	0	7.76
"146"	146	146	"Rio 2"	"Fox"	500.1	131.5	368.6	2014	"Animation"	"G"	3975	6.4	"Animation"	""	39.3	101	21	"Carlos Saldanha"	""	"Jake T. Austin"	"Carlinhos Brown"	"ns"	103	1	"rio2"	0	0	0	1.28
"147"	147	147	"Troy"	"WB"	497.4	133.4	364	2004	"Historical Epic"	"R"	3411	7.2	"Historical"	"Epic"	46.9	163	16	"Wolfgang Petersen"	""	"Julian Glover"	"Brian Cox"	"ns"	175	0	"troy"	0	0	0	0.76
"148"	148	148	"How to Train Your Dragon"	"P/DW"	494.9	217.6	277.3	2010	"Animation"	"PG"	4060	8.2	"Animation"	""	43.7	98	17	"Dean DeBlois"	"Chris Sanders"	"Jay Baruchel"	"Gerard Butler"	"ns"	165	0	"howtotrainyourdragon"	200	87	0	1.32
"149"	149	149	"Twister"	"WB"	494.5	241.7	252.8	1996	"Action Drama"	"PG-13"	NA	6.3	"Action"	"Drama"	NA	113	NA	"Jan de Bont"	""	"Helen Hunt"	"Bill Paxton"	"ns"	92	0	"twister"	53	45	0	2.63
"150"	150	150	"Teenage Mutant Ninja Turtles"	"Par."	493.3	191.2	302.1	2014	"AA"	"PG-13"	3980	6.3	"AA"	""	65.6	101	15	"Kevin Munroe"	""	"Chris Evans"	"Sarah Michelle Gellar"	"ss"	125	0	"teenagemutantninjaturtles"	50	29	0	1.53
"151"	151	151	"Oz The Great and Powerful"	"BV"	493.3	234.9	258.4	2013	"Adventure"	"PG"	3912	6.4	"Adventure"	""	79.1	127	19	"Sam Raimi"	""	"James Franco"	"Mila Kunis"	"ns"	215	0	"ozthegreatandpowerful"	0	0	0	1.09
"152"	152	152	"Clash of the Titans"	"WB"	493.2	163.2	330	2010	"Fantasy"	"PG-13"	3802	5.8	"Fantasy"	""	61.2	118	16	"Jonathan Liebesman"	""	"Sam Worthington"	"Liam Neeson"	"ns"	125	0	"clashofthetitans"	0	0	0	1.31
"153"	153	153	"Angels & Demons"	"Sony"	485.9	133.4	352.6	2009	"Thriller"	"PG-13"	3527	6.7	"Thriller"	""	46.2	140	12	"Ron Howard"	""	"Tom Hanks"	"Ewan McGregor"	"ns"	150	0	"angels&demons"	0	0	0	0.89
"154"	154	154	"Toy Story 2"	"BV"	485	245.9	239.2	1999	"Animation"	"G"	NA	7.9	"Animation"	""	NA	92	NA	"John Lasseter"	"Ash Brannon"	"Tom Hanks"	"Tim Allen"	"ns"	90	1	"toystory2"	163	2	0	2.73
"155"	155	155	"Rio"	"Fox"	484.6	143.6	341	2011	"Animation"	"G"	3842	7	"Animation"	""	39.2	96	21	"Carlos Saldanha"	""	"Karen Disher"	"Jason Fricchione"	"ns"	90	0	"rio"	134	49	0	1.6
"156"	156	156	"Bruce Almighty"	"Uni."	484.6	242.8	241.8	2003	"Fantasy Comedy"	"PG-13"	3549	6.7	"Fantasy"	"Comedy"	68	101	27	"Tom Shadyac"	""	"Jim Carrey"	"Morgan Freeman"	"ss"	81	0	"brucealmighty"	0	0	0	3
"157"	157	157	"Shrek"	"DW"	484.4	267.7	216.7	2001	"Animation"	"PG"	3715	7.9	"Animation"	""	42.3	90	29.3	"Andrew Adamson"	"Vicky Jenson"	"Mike Myers"	"Eddie Murphy"	"ns"	60	0	"shrek"	200	77	0	4.46
"158"	158	158	"Saving Private Ryan"	"DW"	481.8	216.5	265.3	1998	"War"	"R"	NA	8.6	"War"	""	NA	170	NA	"Steven Spielberg"	""	"Tom Hanks"	"Tom Sizemore"	"ss"	70	0	"savingprivateryan"	130	81	0	3.09
"159"	159	159	"Rise of the Planet of the Apes"	"Fox"	481.8	176.8	305	2011	"Sci-Fi Action"	"PG-13"	3691	7.6	"Sci-Fi"	"Action"	NA	110	NA	"Rupert Wyatt"	""	"Andy Serkis"	"Karin Konoval"	"ss"	93	0	"riseoftheplanetoftheapes"	248	71	0	1.9
"160"	160	160	"Mr. & Mrs. Smith"	"Fox"	478.2	186.3	291.9	2005	"Action Comedy"	"PG-13"	3451	6.5	"Action"	"Comedy"	50.3	115	27	"Doug Liman"	""	"Brad Pitt"	"Angelina Jolie"	"ss"	110	0	"mr.&mrs.smith"	0	0	0	1.69
"161"	161	161	"Home Alone"	"Fox"	476.7	285.8	190.9	1990	"Family Comedy"	"PG"	2173	7.5	"Family"	"Comedy"	NA	105	NA	"Chris Columbus"	""	"Macaulay Culkin"	"Joe Pesci"	"ns"	18	0	"homealone"	42	43	0	15.88
"162"	162	162	"Return of the Jedi"	"Fox"	475.1	309.3	165.8	1983	"Sci-Fi Fantasy"	"PG"	NA	8.4	"Sci-Fi"	"Fantasy"	NA	134	NA	"Richard Marquand"	""	"Mark Hamill"	"Harrison Ford"	"ss"	32.5	0	"returnofthejedi"	0	0	0	9.52
"163"	163	163	"Charlie and the Chocolate Factory"	"WB"	475	206.5	268.5	2005	"Family Adventure"	"PG"	NA	6.7	"Family"	"Adventure"	NA	106	NA	"Tim Burton"	""	"Johnny Depp"	"Freddie Highmore"	"ss"	150	0	"charlieandthechocolatefactory"	221	72	0	1.38
"164"	164	164	"Indiana Jones and the Last Crusade"	"Par."	474.2	197.2	277	1989	"Period Adventure"	"PG-13"	2327	8.3	"Period"	"Adventure"	NA	127	NA	"Steven Spielberg"	""	"Harrison Ford"	"Sean Connery"	"ss"	48	0	"indianajonesandthelastcrusade"	68	77	0	4.11
"165"	165	165	"San Andreas"	"WB"	473.8	155.2	318.6	2015	"Action"	"PG-13"	NA	6.1	"Action"	""	NA	114	NA	"Brad Peyton"	""	"Dwayne Johnson"	"Carla Gugino"	"ss"	110	0	"sanandreas"	0	0	0	1.41
"166"	166	166	"Wreck-It Ralph"	"BV"	471.2	189.4	281.8	2012	"Animation"	"PG"	3752	7.8	"Animation"	""	49	108	26	"Rich Moore"	""	"John C. Reilly"	"Sarah Silverman"	"ns"	165	0	"wreckitralph"	168	75	0	1.15
"167"	167	167	"Jaws"	"Uni."	470.7	260	210.7	1975	"Horror Thriller"	"PG"	NA	8.1	"Horror"	"Thriller"	NA	125	NA	"Steven Spielberg"	""	"Roy Scheider"	"Robert Shaw"	"ss"	7	0	"jaws"	0	0	0	37.14
"168"	168	168	"The LEGO Movie"	"WB"	469.2	257.8	211.4	2014	"Animation"	"PG"	NA	7.8	"Animation"	""	NA	100	NA	"Phil Lord"	"Christopher Miller"	"Will Arnett"	"Elizabeth Banks"	"ns"	60	0	"thelegomovie"	222	85	0	4.3
"169"	169	169	"Hotel Transylvania 2"	"Sony"	469	169.7	299.4	2015	"Animation"	"PG"	NA	6.8	"Animation"	""	NA	89	NA	"Genndy Tartakovsky"	""	"Adam Sandler"	"Andy Samberg"	"ns"	80	1	"hoteltransylvania2"	0	0	0	2.12
"170"	170	170	"The Hangover"	"WB"	467.5	277.3	190.2	2009	"Comedy"	"R"	3545	7.8	"Comedy"	""	45	96	28	"Todd Phillips"	""	"Bradley Cooper"	"Ed Helms"	"ss"	35	0	"thehangover"	225	67	0	7.92
"171"	171	171	"Star Trek Into Darkness"	"Par."	467.4	228.8	238.6	2013	"Sci-Fi Adventure"	"PG-13"	3907	7.8	"Sci-Fi"	"Adventure"	70.2	123	17.1	"J.J. Abrams"	""	"Chris Pine"	"Zachary Quinto"	"ns"	190	0	"startrekintodarkness"	250	76	0	1.2
"172"	172	172	"The Matrix"	"WB"	463.5	171.5	292	1999	"Sci-Fi Action"	"R"	2903	8.7	"Sci-Fi"	"Action"	NA	136	NA	"Lana Wachowski"	"Lilly Wachowski"	"Keanu Reeves"	"Laurence Fishburne"	"ns"	63	0	"thematrix"	141	76	0	2.72
"173"	173	173	"Pretty Woman"	"BV"	463.4	178.4	285	1990	"Romantic Comedy"	"R"	1811	6.9	"Romantic"	"Comedy"	NA	119	NA	"Garry Marshall"	""	"Richard Gere"	"Julia Roberts"	"ns"	14	0	"prettywoman"	55	50	0	12.74
"174"	174	174	"Lucy"	"Uni."	463.4	126.7	336.7	2014	"Sci-Fi Action"	"R"	3202	6.4	"Sci-Fi"	"Action"	NA	90	NA	"Luc Besson"	""	"Scarlett Johansson"	"Morgan Freeman"	"ss"	40	0	"lucy"	177	74	0	3.17
"175"	175	175	"Cars"	"BV"	462	244.1	217.9	2006	"Animation"	"G"	3988	7.2	"Animation"	""	60.1	116	19	"John Lasseter"	"Joe Ranft"	"Owen Wilson"	"Paul Newman"	"ss"	120	0	"cars"	196	62	0	2.03
"176"	176	176	"X-Men: The Last Stand"	"Fox"	459.4	234.4	225	2006	"AA"	"PG-13"	3714	6.8	"AA"	""	102.8	104	18	"Brett Ratner"	""	"Hugh Jackman"	"Halle Berry"	"ss"	210	1	"xmen:thelaststand"	0	0	4	1.12
"177"	177	177	"Mission: Impossible"	"Par."	457.7	181	276.7	1996	"Action"	"PG-13"	3012	7.1	"Action"	""	45.4	110	30.3	"Brian De Palma"	""	"Tom Cruise"	"Jon Voight"	"ss"	80	1	"mission:impossible"	51	51	0	2.26
"178"	178	178	"Gladiator"	"DW"	457.6	187.7	269.9	2000	"Historical Epic"	"R"	3188	8.5	"Historical"	"Epic"	34.8	155	53	"Ridley Scott"	""	"Russell Crowe"	"Joaquin Phoenix"	"ns"	103	0	"gladiator"	186	64	0	1.82
"179"	179	179	"National Treasure: Book of Secrets"	"BV"	457.4	220	237.4	2007	"Adventure"	"PG"	3832	6.5	"Adventure"	""	44.8	124	26	"Jon Turteltaub"	""	"Nicolas Cage"	"Justin Bartha"	"hs"	NA	1	"nationaltreasure:bookofsecrets"	0	0	0	NA
"180"	180	180	"The Last Samurai"	"WB"	456.8	111.1	345.6	2003	"War"	"R"	2938	7.7	"War"	""	24.3	154	18	"Edward Zwick"	""	"Ken Watanabe"	"Tom Cruise"	"hs"	140	0	"thelastsamurai"	0	0	0	0.79
"181"	181	181	NA	"WB"	456.1	210.6	245.5	2007	"Period Action"	"R"	NA	7.7	"Period"	"Action"	NA	117	NA	"Zack Snyder"	""	"Gerard Butler"	"Lena Headey"	"ns"	65	NA	NA	0	0	0	3.24
"182"	182	182	"Ocean's Eleven"	"WB"	450.7	183.4	267.3	2001	"Crime Comedy"	"PG-13"	NA	7.8	"Crime"	"Comedy"	NA	116	NA	"Steven Soderbergh"	""	"George Clooney"	"Cecelia Ann Birt"	"hs"	85	0	"ocean'seleven"	168	71	0	2.16
"183"	183	183	"Thor"	"Par."	449.3	181	268.3	2011	"AA"	"PG-13"	3963	7	"AA"	""	65.7	115	16	"Kenneth Branagh"	""	"Chris Hemsworth"	"Natalie Portman"	"ns"	150	0	"thor"	88	69	0	1.21
"184"	184	184	"Pearl Harbor"	"BV"	449.2	198.5	250.7	2001	"War"	"PG-13"	3255	6	"War"	""	NA	183	NA	"Michael Bay"	""	"Ben Affleck"	"Josh Hartnett"	"ss"	140	0	"pearlharbor"	0	0	0	1.42
"185"	185	185	"Tarzan"	"BV"	448.2	171.1	277.1	1999	"Animation"	"G"	NA	7.2	"Animation"	""	NA	88	NA	"Chris Buck"	"Kevin Lima"	"Brian Blessed"	"Glenn Close"	"ss"	130	0	"tarzan"	104	77	0	1.32
"186"	186	186	"Alvin and the Chipmunks: The Squeakquel"	"Fox"	443.1	219.6	223.5	2009	"Family Comedy"	"PG"	3747	4.5	"Family"	"Comedy"	48.9	88	21.3	"Betty Thomas"	""	"Zachary Levi"	"David Cross"	"hs"	75	1	"alvinandthechipmunks:thesqueakquel"	0	0	0	2.93
"187"	187	187	"The Bourne Ultimatum"	"Uni."	442.8	227.5	215.4	2007	"Action Thriller"	"PG-13"	3701	8.1	"Action"	"Thriller"	69.3	111	17	"Paul Greengrass"	""	"Matt Damon"	"Julia Stiles"	"ss"	110	0	"thebourneultimatum"	257	82	0	2.07
