"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_date"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"
"102"	102	102	"The Martian"	"Fox"	619.7	228.3	391.4	NA	2015	"Sci-Fi"	"PG"	4268	8.1	"Sci-Fi"	""	49.5	141	26	"Ridley Scott"	""	"Matt Damon"	"Jessica Chastain"	"ns"	145
"103"	103	103	"The Lost World: Jurassic Park"	"Uni."	618.6	229.1	389.6	NA	1997	"Sci-Fi Horror"	"PG-13"	3565	6.5	"Sci-Fi"	"Horror"	NA	129	NA	"Steven Spielberg"	""	"Jeff Goldblum"	"Julianne Moore"	"ss"	73
"104"	104	104	"The Passion of the Christ"	"NM"	611.9	370.8	241.1	NA	2004	"Historical Drama"	"R"	3408	7.1	"Historical"	"Drama"	83.8	126	22.3	"Mel Gibson"	""	"Jim Caviezel"	"Maia Morgenstern"	"ns"	30
"105"	105	105	"Mamma Mia!"	"Uni."	609.8	144.1	465.7	NA	2008	"Musical"	"PG-13"	NA	6.3	"Musical"	""	NA	108	NA	"Phyllida Lloyd"	""	"Amanda Seyfried"	"Stellan Skarsg_rd"	"ss"	52
"106"	106	106	"Life of Pi"	"Fox"	609	125	484	NA	2012	"Adventure"	"R"	3856	8	"Adventure"	""	NA	126	NA	"Ang Lee"	""	"Suraj Sharma"	"Irrfan Khan"	"hs"	58
"107"	107	107	"Madagascar: Escape 2 Africa"	"P/DW"	603.9	180	423.9	NA	2008	"Animation"	"PG"	2946	6.7	"Animation"	""	22.5	89	35.3	"Eric Darnell"	"Tom McGrath"	"Ben Stiller"	"Chris Rock"	"ns"	120
"108"	108	108	"Casino Royale"	"Sony"	599	167.4	431.6	NA	2006	"Action"	"PG"	4065	8	"Action"	""	63.1	144	16	"Martin Campbell"	""	"Daniel Craig"	"Eva Green"	"ns"	150
"109"	109	109	"Tangled"	"BV"	591.8	200.8	391	NA	2010	"Animation"	"PG-13"	3443	7.8	"Animation"	""	40.8	100	17.4	"Nathan Greno"	"Byron Howard"	"Mandy Moore"	"Zachary Levi"	"hs"	150
"110"	110	110	"War of the Worlds"	"Par."	591.7	234.3	357.5	NA	2005	"Sci-Fi Horror"	"PG"	3603	6.5	"Sci-Fi"	"Horror"	48.8	117	27.3	"Steven Spielberg"	""	"Tom Cruise"	"Dakota Fanning"	"ss"	260
"111"	111	111	"Men in Black"	"Sony"	589.4	250.7	338.7	NA	1997	"Sci-Fi Comedy"	"PG-13"	3910	7.3	"Sci-Fi"	"Comedy"	64.9	97	21.3	"Barry Sonnenfeld"	""	"Tommy Lee Jones"	"Will Smith"	"ss"	132
"112"	112	112	"The Croods"	"Fox"	587.2	187.2	400	NA	2013	"Animation"	"PG-13"	3180	7.3	"Animation"	""	NA	98	NA	"Kirk De Micco"	"Chris Sanders"	"Nicolas Cage"	"Emma Stone"	"ns"	90
"113"	113	113	"The Hangover Part II"	"WB"	586.8	254.5	332.3	NA	2011	"Comedy"	"PG"	4065	6.5	"Comedy"	""	43.6	102	26	"Todd Phillips"	""	"Bradley Cooper"	"Ed Helms"	"ss"	135
"114"	114	114	"Quantum of Solace"	"Sony"	586.1	168.4	417.7	NA	2008	"Action"	"R"	3675	6.7	"Action"	""	85.9	106	16.1	"Marc Forster"	""	"Daniel Craig"	"Olga Kurylenko"	"ns"	80
"115"	115	115	"I Am Legend"	"WB"	585.3	256.4	329	NA	2007	"Sci-Fi Horror"	"PG-13"	3501	7.2	"Sci-Fi"	"Horror"	67.5	100	11	"Francis Lawrence"	""	"Will Smith"	"Alice Braga"	"hs"	200
"116"	116	116	"Iron Man"	"Par."	585.2	318.4	266.8	NA	2008	"AA"	"PG-13"	3648	7.9	"AA"	""	77.2	126	17	"Jon Favreau"	""	"Robert Downey Jr."	"Terrence Howard"	"ns"	150
"117"	117	117	"Night at the Museum"	"Fox"	574.5	250.9	323.6	NA	2006	"Family Adventure"	"PG-13"	4154	6.4	"Family"	"Adventure"	NA	108	NA	"Shawn Levy"	""	"Ben Stiller"	"Carla Gugino"	"hs"	140
"118"	118	118	"Fifty Shades of Grey"	"Uni."	571	166.2	404.8	NA	2015	"Romance"	"PG"	NA	4.1	"Romance"	""	NA	125	NA	"Sam Taylor-Johnson"	""	"Dakota Johnson"	"Jamie Dornan"	"ns"	NA
"119"	119	119	"The Smurfs"	"Sony"	563.7	142.6	421.1	NA	2011	"Family Comedy"	"R"	3655	5.5	"Family"	"Comedy"	85.2	86	12	"Raja Gosnell"	""	"Hank Azaria"	"Neil Patrick Harris"	"ss"	40
"120"	120	120	"Monsters Inc."	"BV"	562.8	289.9	272.9	NA	2001	"Animation"	"PG"	3427	8.1	"Animation"	""	35.6	90	20	"Pete Docter"	"David Silverman"	"John Goodman"	"Billy Crystal"	"ns"	110
"121"	121	121	"Cars 2"	"BV"	559.9	191.5	368.4	NA	2011	"Animation"	"G"	3649	6.3	"Animation"	""	62.6	113	47	"John Lasseter"	"Brad Lewis"	"Larry the Cable Guy"	"Owen Wilson"	"ss"	115
"122"	122	122	"Puss in Boots"	"P/DW"	555	149.3	405.7	NA	2011	"Animation"	"G"	4115	6.7	"Animation"	""	66.1	90	25	"Chris Miller"	""	"Antonio Banderas"	"Salma Hayek"	"ns"	200
"123"	123	123	"Armageddon"	"BV"	553.7	201.6	352.1	NA	1998	"Sci-Fi Action"	"PG"	3963	6.6	"Sci-Fi"	"Action"	34.1	144	18	"Michael Bay"	""	"Bruce Willis"	"Billy Bob Thornton"	"ss"	130
"124"	124	124	"King Kong"	"Uni."	550.5	218.1	332.4	NA	2016	"Action"	"PG-13"	3184	7.2	"Action"	""	NA	106	NA	"Peter Jackson"	""	"Naomi Watts"	"Jack Black"	"ns"	140
"125"	125	125	"Ted"	"Uni."	549.4	218.8	330.6	NA	2005	"Period Adventure"	"PG-13"	3627	7	"Period"	"Adventure"	50.1	187	16.3	"Seth MacFarlane"	""	"Mark Wahlberg"	"Mila Kunis"	"hs"	207
"126"	126	126	"American Sniper"	"WB"	547.4	350.1	197.3	NA	2012	"Comedy"	"R"	3303	7.3	"Comedy"	""	NA	106	NA	"Clint Eastwood"	""	"Bradley Cooper"	"Kyle Gallner"	"ss"	50
"127"	127	127	"Mission: Impossible II"	"Par."	546.4	215.4	331	NA	2014	"Drama"	"R"	NA	6.1	"Drama"	""	NA	132	NA	"John Woo"	""	"Tom Cruise"	"Dougray Scott"	"hs"	58.8
"128"	128	128	"Sherlock Holmes: A Game of Shadows"	"WB"	545.4	186.8	358.6	NA	2000	"Action"	"PG-13"	3669	7.5	"Action"	""	57.8	123	21.3	"Guy Ritchie"	""	"Robert Downey Jr."	"Jude Law"	"ss"	125
"129"	129	129	"The Day After Tomorrow"	"Fox"	544.3	186.7	357.5	NA	2011	"Adventure"	"PG-13"	3703	6.4	"Adventure"	""	39.6	128	16	"Roland Emmerich"	""	"Dennis Quaid"	"Jake Gyllenhaal"	"hs"	NA
"130"	130	130	"Despicable Me"	"Uni."	543.1	251.5	291.6	NA	2004	"Action Drama"	"PG-13"	3444	7.7	"Action"	"Drama"	68.7	124	23	"Pierre Coffin"	"Chris Renaud"	"Steve Carell"	"Jason Segel"	"ss"	125
"131"	131	131	"Cinderella (2015)"	"BV"	542.7	201.2	341.5	NA	2010	"Animation"	"PG"	NA	7	"Animation"	""	NA	95	NA	"Kenneth Branagh"	""	"Cate Blanchett"	"Lily James"	"ss"	69
"132"	132	132	"World War Z"	"Par."	540	202.4	337.6	NA	2015	"Fantasy"	"PG"	3848	7	"Fantasy"	""	67.9	112	27	"Marc Forster"	""	"Brad Pitt"	"Mireille Enos"	"ns"	95
"133"	133	133	"Brave"	"BV"	539	237.3	301.7	NA	2013	"Action Horror"	"PG-13"	3607	7.2	"Action"	"Horror"	66.4	116	16	"Mark Andrews"	"Brenda Chapman"	"Kelly Macdonald"	"Billy Connolly"	"ss"	190
"134"	134	134	"The Empire Strikes Back"	"Fox"	538.4	290.5	247.9	NA	2012	"Animation"	"PG"	4164	8.8	"Animation"	""	66.3	100	30	"Irvin Kershner"	""	"Mark Hamill"	"Harrison Ford"	"ss"	185
"135"	135	135	"Madagascar"	"DW"	532.7	193.6	339.1	NA	1980	"Sci-Fi Fantasy"	"PG"	NA	6.9	"Sci-Fi"	"Fantasy"	NA	129	NA	"Eric Darnell"	"Tom McGrath"	"Ben Stiller"	"Chris Rock"	"ss"	18
"136"	136	136	"Deadpool"	"Fox"	529.6	263.1	266.5	NA	2005	"Animation"	"PG"	4142	8.5	"Animation"	""	NA	86	NA	"Tim Miller"	""	"Ryan Reynolds"	"Karan Soni"	"ss"	NA
"137"	137	137	"Godzilla (2014)"	"WB"	529.1	200.7	328.4	NA	2014	"Sci-Fi Action"	"PG-13"	3952	6	"Sci-Fi"	"Action"	93.2	123	15	"Takao Okawara"	""	"Takehiro Murata"	"Hiroshi Abe"	"ns"	160
"138"	138	138	"The Simpsons Movie"	"Fox"	527.1	183.1	343.9	NA	2007	"Animation"	"PG-13"	3926	7.4	"Animation"	""	74	87	21	"David Silverman"	""	"Dan Castellaneta"	"Julie Kavner"	"ss"	75
"139"	139	139	"Sherlock Holmes"	"WB"	524	209	315	NA	2009	"Adventure"	"PG-13"	3626	7.6	"Adventure"	""	62.3	134	18	"Guy Ritchie"	""	"Robert Downey Jr."	"Jude Law"	"hs"	90
"140"	140	140	"WALL-E"	"BV"	521.3	223.8	297.5	NA	2008	"Animation"	"G"	3992	8.4	"Animation"	""	63.1	97	28	"Andrew Stanton"	""	"Ben Burtt"	"Elissa Knight"	"ss"	180
"141"	141	141	"Terminator 2: Judgment Day"	"TriS"	519.8	204.8	315	NA	1991	"Sci-Fi Action"	"R"	NA	8.5	"Sci-Fi"	"Action"	NA	137	NA	"James Cameron"	""	"Arnold Schwarzenegger"	"Linda Hamilton"	"ss"	102
"142"	142	142	"Ant-Man"	"BV"	519.3	180.2	339	NA	2015	"AA"	"PG-13"	NA	7.4	"AA"	""	NA	117	NA	"Peyton Reed"	""	"Paul Rudd"	"Michael Douglas"	"ss"	130
"143"	143	143	"Meet the Fockers"	"Uni."	516.6	279.3	237.4	NA	2004	"Comedy"	"PG-13"	3554	6.3	"Comedy"	""	46.1	114	21.3	"Jay Roach"	""	"Robert De Niro"	"Ben Stiller"	"hs"	80
"144"	144	144	"Ghost"	"Par."	505.7	217.6	288.1	NA	1990	"Romance"	"PG-13"	NA	7	"Romance"	""	NA	128	NA	"Jerry Zucker"	""	"Patrick Swayze"	"Demi Moore"	"ss"	22
"145"	145	145	"Aladdin"	"BV"	504.1	217.4	286.7	NA	1992	"Animation"	"G"	NA	8	"Animation"	""	NA	90	NA	"Ron Clements"	"John Musker"	"Scott Weinger"	"Robin Williams"	"ns"	28
"146"	146	146	"Rio 2"	"Fox"	500.1	131.5	368.6	NA	2014	"Animation"	"G"	3975	6.4	"Animation"	""	39.3	101	21	"Carlos Saldanha"	""	"Jake T. Austin"	"Carlinhos Brown"	"ns"	103
"147"	147	147	"Troy"	"WB"	497.4	133.4	364	NA	2004	"Historical Epic"	"R"	3411	7.2	"Historical"	"Epic"	46.9	163	16	"Wolfgang Petersen"	""	"Julian Glover"	"Brian Cox"	"ns"	175
"148"	148	148	"How to Train Your Dragon"	"P/DW"	494.9	217.6	277.3	NA	2010	"Animation"	"PG"	4060	8.2	"Animation"	""	43.7	98	17	"Dean DeBlois"	"Chris Sanders"	"Jay Baruchel"	"Gerard Butler"	"ns"	165
"149"	149	149	"Twister"	"WB"	494.5	241.7	252.8	NA	1996	"Action Drama"	"PG-13"	NA	6.3	"Action"	"Drama"	NA	113	NA	"Jan de Bont"	""	"Helen Hunt"	"Bill Paxton"	"ns"	92
"150"	150	150	"Teenage Mutant Ninja Turtles (2014)"	"Par."	493.3	191.2	302.1	NA	2014	"AA"	"PG-13"	3980	6.3	"AA"	""	65.6	101	15	"Kevin Munroe"	""	"Chris Evans"	"Sarah Michelle Gellar"	"ss"	125
"151"	151	151	"Oz The Great and Powerful"	"BV"	493.3	234.9	258.4	NA	2013	"Adventure"	"PG"	3912	6.4	"Adventure"	""	79.1	127	19	"Sam Raimi"	""	"James Franco"	"Mila Kunis"	"ns"	215
"152"	152	152	"Clash of the Titans (2010)"	"WB"	493.2	163.2	330	NA	2010	"Fantasy"	"PG-13"	3802	5.8	"Fantasy"	""	61.2	118	16	"Jonathan Liebesman"	""	"Sam Worthington"	"Liam Neeson"	"ns"	125
"153"	153	153	"Angels & Demons"	"Sony"	485.9	133.4	352.6	NA	2009	"Thriller"	"PG-13"	3527	6.7	"Thriller"	""	46.2	140	12	"Ron Howard"	""	"Tom Hanks"	"Ewan McGregor"	"ns"	150
"154"	154	154	"Toy Story 2"	"BV"	485	245.9	239.2	NA	1999	"Animation"	"G"	NA	7.9	"Animation"	""	NA	92	NA	"John Lasseter"	"Ash Brannon"	"Tom Hanks"	"Tim Allen"	"ns"	90
"155"	155	155	"Rio"	"Fox"	484.6	143.6	341	NA	2011	"Animation"	"G"	3842	7	"Animation"	""	39.2	96	21	"Carlos Saldanha"	""	"Karen Disher"	"Jason Fricchione"	"ns"	90
"156"	156	156	"Bruce Almighty"	"Uni."	484.6	242.8	241.8	NA	2003	"Fantasy Comedy"	"PG-13"	3549	6.7	"Fantasy"	"Comedy"	68	101	27	"Tom Shadyac"	""	"Jim Carrey"	"Morgan Freeman"	"ss"	81
"157"	157	157	"Shrek"	"DW"	484.4	267.7	216.7	NA	2001	"Animation"	"PG"	3715	7.9	"Animation"	""	42.3	90	29.3	"Andrew Adamson"	"Vicky Jenson"	"Mike Myers"	"Eddie Murphy"	"ns"	60
"158"	158	158	"Saving Private Ryan"	"DW"	481.8	216.5	265.3	NA	1998	"War"	"R"	NA	8.6	"War"	""	NA	170	NA	"Steven Spielberg"	""	"Tom Hanks"	"Tom Sizemore"	"ss"	70
"159"	159	159	"Rise of the Planet of the Apes"	"Fox"	481.8	176.8	305	NA	2011	"Sci-Fi Action"	"PG-13"	3691	7.6	"Sci-Fi"	"Action"	NA	110	NA	"Rupert Wyatt"	""	"Andy Serkis"	"Karin Konoval"	"ss"	93
"160"	160	160	"Mr. & Mrs. Smith"	"Fox"	478.2	186.3	291.9	NA	2005	"Action Comedy"	"PG-13"	3451	6.5	"Action"	"Comedy"	50.3	115	27	"Doug Liman"	""	"Brad Pitt"	"Angelina Jolie"	"ss"	110
"161"	161	161	"Home Alone"	"Fox"	476.7	285.8	190.9	NA	1990	"Family Comedy"	"PG"	2173	7.5	"Family"	"Comedy"	NA	105	NA	"Chris Columbus"	""	"Macaulay Culkin"	"Joe Pesci"	"ns"	18
"162"	162	162	"Return of the Jedi"	"Fox"	475.1	309.3	165.8	NA	1983	"Sci-Fi Fantasy"	"PG"	NA	8.4	"Sci-Fi"	"Fantasy"	NA	134	NA	"Richard Marquand"	""	"Mark Hamill"	"Harrison Ford"	"ss"	32.5
"163"	163	163	"Charlie and the Chocolate Factory"	"WB"	475	206.5	268.5	NA	2005	"Family Adventure"	"PG"	NA	6.7	"Family"	"Adventure"	NA	106	NA	"Tim Burton"	""	"Johnny Depp"	"Freddie Highmore"	"ss"	150
"164"	164	164	"Indiana Jones and the Last Crusade"	"Par."	474.2	197.2	277	NA	1989	"Period Adventure"	"PG-13"	2327	8.3	"Period"	"Adventure"	NA	127	NA	"Steven Spielberg"	""	"Harrison Ford"	"Sean Connery"	"ss"	48
"165"	165	165	"San Andreas"	"WB"	473.8	155.2	318.6	NA	2015	"Action"	"PG-13"	NA	6.1	"Action"	""	NA	114	NA	"Brad Peyton"	""	"Dwayne Johnson"	"Carla Gugino"	"ss"	110
"166"	166	166	"Wreck-It Ralph"	"BV"	471.2	189.4	281.8	NA	2012	"Animation"	"PG"	3752	7.8	"Animation"	""	49	108	26	"Rich Moore"	""	"John C. Reilly"	"Sarah Silverman"	"ns"	165
"167"	167	167	"Jaws"	"Uni."	470.7	260	210.7	NA	1975	"Horror Thriller"	"PG"	NA	8.1	"Horror"	"Thriller"	NA	125	NA	"Steven Spielberg"	""	"Roy Scheider"	"Robert Shaw"	"ss"	7
"168"	168	168	"The LEGO Movie"	"WB"	469.2	257.8	211.4	NA	2014	"Animation"	"PG"	NA	7.8	"Animation"	""	NA	100	NA	"Phil Lord"	"Christopher Miller"	"Will Arnett"	"Elizabeth Banks"	"ns"	60
"169"	169	169	"Hotel Transylvania 2"	"Sony"	469	169.7	299.4	NA	2015	"Animation"	"PG"	NA	6.8	"Animation"	""	NA	89	NA	"Genndy Tartakovsky"	""	"Adam Sandler"	"Andy Samberg"	"ns"	80
"170"	170	170	"The Hangover"	"WB"	467.5	277.3	190.2	NA	2009	"Comedy"	"R"	3545	7.8	"Comedy"	""	45	96	28	"Todd Phillips"	""	"Bradley Cooper"	"Ed Helms"	"ss"	35
"171"	171	171	"Star Trek Into Darkness"	"Par."	467.4	228.8	238.6	NA	2013	"Sci-Fi Adventure"	"PG-13"	3907	7.8	"Sci-Fi"	"Adventure"	70.2	123	17.1	"J.J. Abrams"	""	"Chris Pine"	"Zachary Quinto"	"ns"	190
"172"	172	172	"The Matrix"	"WB"	463.5	171.5	292	NA	1999	"Sci-Fi Action"	"R"	2903	8.7	"Sci-Fi"	"Action"	NA	136	NA	"Lana Wachowski"	"Lilly Wachowski"	"Keanu Reeves"	"Laurence Fishburne"	"ns"	63
"173"	173	173	"Pretty Woman"	"BV"	463.4	178.4	285	NA	1990	"Romantic Comedy"	"R"	1811	6.9	"Romantic"	"Comedy"	NA	119	NA	"Garry Marshall"	""	"Richard Gere"	"Julia Roberts"	"ns"	14
"174"	174	174	"Lucy"	"Uni."	463.4	126.7	336.7	NA	2014	"Sci-Fi Action"	"R"	3202	6.4	"Sci-Fi"	"Action"	NA	90	NA	"Luc Besson"	""	"Scarlett Johansson"	"Morgan Freeman"	"ss"	40
"175"	175	175	"Cars"	"BV"	462	244.1	217.9	NA	2006	"Animation"	"G"	3988	7.2	"Animation"	""	60.1	116	19	"John Lasseter"	"Joe Ranft"	"Owen Wilson"	"Paul Newman"	"ss"	120
"176"	176	176	"X-Men: The Last Stand"	"Fox"	459.4	234.4	225	NA	2006	"AA"	"PG-13"	3714	6.8	"AA"	""	102.8	104	18	"Brett Ratner"	""	"Hugh Jackman"	"Halle Berry"	"ss"	210
"177"	177	177	"Mission: Impossible"	"Par."	457.7	181	276.7	NA	1996	"Action"	"PG-13"	3012	7.1	"Action"	""	45.4	110	30.3	"Brian De Palma"	""	"Tom Cruise"	"Jon Voight"	"ss"	80
"178"	178	178	"Gladiator"	"DW"	457.6	187.7	269.9	NA	2000	"Historical Epic"	"R"	3188	8.5	"Historical"	"Epic"	34.8	155	53	"Ridley Scott"	""	"Russell Crowe"	"Joaquin Phoenix"	"ns"	103
"179"	179	179	"National Treasure: Book of Secrets"	"BV"	457.4	220	237.4	NA	2007	"Adventure"	"PG"	3832	6.5	"Adventure"	""	44.8	124	26	"Jon Turteltaub"	""	"Nicolas Cage"	"Justin Bartha"	"hs"	NA
"180"	180	180	"The Last Samurai"	"WB"	456.8	111.1	345.6	NA	2003	"War"	"R"	2938	7.7	"War"	""	24.3	154	18	"Edward Zwick"	""	"Ken Watanabe"	"Tom Cruise"	"hs"	140
"181"	181	181	NA	"WB"	456.1	210.6	245.5	NA	2007	"Period Action"	"R"	NA	7.7	"Period"	"Action"	NA	117	NA	"Zack Snyder"	""	"Gerard Butler"	"Lena Headey"	"ns"	65
"182"	182	182	"Ocean's Eleven"	"WB"	450.7	183.4	267.3	NA	2001	"Crime Comedy"	"PG-13"	NA	7.8	"Crime"	"Comedy"	NA	116	NA	"Steven Soderbergh"	""	"George Clooney"	"Cecelia Ann Birt"	"hs"	85
"183"	183	183	"Thor"	"Par."	449.3	181	268.3	NA	2011	"AA"	"PG-13"	3963	7	"AA"	""	65.7	115	16	"Kenneth Branagh"	""	"Chris Hemsworth"	"Natalie Portman"	"ns"	150
"184"	184	184	"Pearl Harbor"	"BV"	449.2	198.5	250.7	NA	2001	"War"	"PG-13"	3255	6	"War"	""	NA	183	NA	"Michael Bay"	""	"Ben Affleck"	"Josh Hartnett"	"ss"	140
"185"	185	185	"Tarzan"	"BV"	448.2	171.1	277.1	NA	1999	"Animation"	"G"	NA	7.2	"Animation"	""	NA	88	NA	"Chris Buck"	"Kevin Lima"	"Brian Blessed"	"Glenn Close"	"ss"	130
"186"	186	186	"Alvin and the Chipmunks: The Squeakquel"	"Fox"	443.1	219.6	223.5	NA	2009	"Family Comedy"	"PG"	3747	4.5	"Family"	"Comedy"	48.9	88	21.3	"Betty Thomas"	""	"Zachary Levi"	"David Cross"	"hs"	75
"187"	187	187	"The Bourne Ultimatum"	"Uni."	442.8	227.5	215.4	NA	2007	"Action Thriller"	"PG-13"	3701	8.1	"Action"	"Thriller"	69.3	111	17	"Paul Greengrass"	""	"Matt Damon"	"Julia Stiles"	"ss"	110
"188"	188	188	"Men in Black II"	"Sony"	441.8	190.4	251.4	NA	2002	"Sci-Fi Comedy"	"PG-13"	3641	6.1	"Sci-Fi"	"Comedy"	52.1	88	8.9	"Barry Sonnenfeld"	""	"Tommy Lee Jones"	"Will Smith"	"ss"	140
"189"	189	189	"Les Miserables (2012)"	"Uni."	441.8	148.8	293	NA	2012	"Musical"	"PG-13"	2927	7.6	"Musical"	""	27.3	157	14.4	"Tom Hooper"	""	"Hugh Jackman"	"Russell Crowe"	"hs"	61
"190"	190	190	"The Exorcist"	"WB"	441.3	232.9	208.4	NA	1973	"Horror"	"R"	NA	8	"Horror"	""	NA	122	NA	"William Friedkin"	""	"Ellen Burstyn"	"Max von Sydow"	"hs"	NA
"191"	191	191	"Mrs. Doubtfire"	"Fox"	441.3	219.2	222.1	NA	1993	"Family Comedy"	"PG-13"	NA	6.9	"Family"	"Comedy"	NA	125	NA	"Chris Columbus"	""	"Robin Williams"	"Sally Field"	"hs"	25
"192"	192	192	"Terminator: Genisys"	"Par."	440.6	89.8	350.8	NA	2015	"Action"	"PG-13"	3783	6.6	"Action"	""	27	126	11.3	"Alan Taylor"	""	"Arnold Schwarzenegger"	"Jason Clarke"	"ss"	155
"193"	193	193	"Terminator 3: Rise of the Machines"	"WB"	433.4	150.4	283	NA	2003	"Sci-Fi Action"	"R"	3504	6.4	"Sci-Fi"	"Action"	44	109	17.3	"Jonathan Mostow"	""	"Arnold Schwarzenegger"	"Nick Stahl"	"ss"	200
"194"	194	194	"The Mummy Returns"	"Uni."	433	202	231	NA	2001	"Period Adventure"	"PG-13"	3553	6.3	"Period"	"Adventure"	NA	130	NA	"Stephen Sommers"	""	"Brendan Fraser"	"Rachel Weisz"	"ns"	98
"195"	195	195	"Die Another Day"	"MGM"	432	160.9	271	NA	2002	"Action"	"PG-13"	3377	6.1	"Action"	""	NA	123	NA	"Lee Tamahori"	""	"Pierce Brosnan"	"Halle Berry"	"hs"	142
"196"	196	196	"Cast Away"	"Fox"	429.6	233.6	196	NA	2000	"Drama"	"PG-13"	3061	7.7	"Drama"	""	NA	143	NA	"Robert Zemeckis"	""	"Paul Sanchez"	"Lari White"	"hs"	90
"197"	197	197	"The Matrix Revolutions"	"WB"	427.3	139.3	288	NA	2003	"Sci-Fi Action"	"R"	3502	6.7	"Sci-Fi"	"Action"	NA	135	NA	"Lana Wachowski"	"Lilly Wachowski"	"Mary Alice"	"Tanveer K. Atwal"	"ns"	150
"198"	198	198	"The Intouchables (U.S.-only)"	"Wein."	426.6	10.2	416.4	NA	2012	"Foreign"	"R"	NA	5.8	"Foreign"	""	NA	112	NA	"Lana Wachowski"	""	"Prime Video
Unlimited Streamingof Movies & TV"	"Tanveer K. Atwal"	"ss"	NA
"199"	199	199	"Django Unchained"	"Wein."	425.4	162.8	262.6	NA	2012	"Western"	"R"	3012	8.5	"Western"	""	30.1	165	20.4	"Quentin Tarantino"	""	"Jamie Foxx"	"Christoph Waltz"	"hs"	100
"200"	200	200	"Beauty and the Beast"	"BV"	425	219	206	NA	1991	"Animation"	"G"	NA	8	"Animation"	""	NA	84	NA	"Gary Trousdale"	"Kirk Wise"	"Robby Benson"	"Jesse Corti"	"ns"	25
"201"	201	201	"Dances with Wolves"	"Orion"	424.2	184.2	240	NA	1990	"Western"	"PG-13"	NA	8	"Western"	""	NA	183	NA	"Kevin Costner"	""	"Kevin Costner"	"Mary McDonnell"	"ns"	22
"202"	202	202	"The Chronicles of Narnia: Prince Caspian"	"BV"	419.7	141.6	278	NA	2008	"Fantasy"	"PG"	3929	6.6	"Fantasy"	""	55	140	16	"Andrew Adamson"	""	"Ben Barnes"	"Georgie Henley"	"ns"	225
"203"	203	203	"The Mummy"	"Uni."	415.9	155.4	260.5	NA	1999	"Period Adventure"	"PG-13"	NA	7	"Period"	"Adventure"	NA	124	NA	"Stephen Sommers"	""	"Brendan Fraser"	"Rachel Weisz"	"ns"	80
"204"	204	204	"The Chronicles of Narnia: The Voyage of the Dawn Treader"	"Fox"	415.7	104.4	311.3	NA	2010	"Fantasy"	"PG"	3555	6.3	"Fantasy"	""	24	112	18	"Michael Apted"	""	"Georgie Henley"	"Skandar Keynes"	"hs"	155
"205"	205	205	"Sex and the City"	"WB (NL)"	415.3	152.6	262.6	NA	2008	"Romantic Comedy"	"R"	3325	6.9	"Romantic"	"Comedy"	57	135	16	"Darren Star"	""	"Sarah Jessica Parker"	"Kim Cattrall"	"ss"	65
"206"	206	206	"The Wolverine"	"Fox"	414.8	132.6	282.3	NA	2013	"Action"	"PG-13"	3924	6.7	"Action"	""	53.1	126	19	"James Mangold"	""	"Hugh Jackman"	"Tao Okamoto"	"ss"	120
"207"	207	207	"Kingsman: The Secret Service"	"Fox"	414.4	128.3	286.1	NA	2015	"AA"	"R"	3282	7.8	"AA"	""	36.2	129	21	"Matthew Vaughn"	""	"Adrian Quinton"	"Colin Firth"	"ns"	81
"208"	208	208	"The King's Speech"	"Wein."	414.2	138.8	275.4	NA	2010	"Historical Drama"	"R"	NA	8	"Historical"	"Drama"	NA	118	NA	"Tom Hooper"	""	"Colin Firth"	"Helena Bonham Carter"	"hs"	15
"209"	209	209	"Night at the Museum: Battle of the Smithsonian"	"Fox"	413.1	177.2	235.9	NA	2009	"Family Adventure"	"PG"	4101	5.9	"Family"	"Adventure"	54.2	105	24	"Shawn Levy"	""	"Ben Stiller"	"Amy Adams"	"ss"	150
"210"	210	210	"Batman"	"WB"	411.3	251.2	160.2	NA	1989	"AA"	"PG-13"	2201	7.6	"AA"	""	40.5	126	25	"Tim Burton"	""	"Michael Keaton"	"Jack Nicholson"	"ss"	35
"211"	211	211	"The Bodyguard"	"WB"	411	122	289	NA	1992	"Romance"	"R"	1806	6.1	"Romance"	""	NA	130	NA	"Mick Jackson"	""	"Kevin Costner"	"Whitney Houston"	"hs"	NA
"212"	212	212	"Pacific Rim"	"WB"	411	101.8	309.2	NA	2013	"Sci-Fi Action"	"PG-13"	3285	7	"Sci-Fi"	"Action"	37.3	131	14	"Guillermo del Toro"	""	"Charlie Hunnam"	"Diego Klattenhoff"	"ss"	190
"213"	213	213	"Signs"	"BV"	408.2	228	180.3	NA	2002	"Sci-Fi Horror"	"PG-13"	3453	6.7	"Sci-Fi"	"Horror"	60.1	107	27	"M. Night Shyamalan"	""	"Mel Gibson"	"Joaquin Phoenix"	"ss"	72
"214"	214	214	"X2: X-Men United"	"Fox"	407.7	214.9	192.8	NA	2003	"AA"	"PG-13"	3749	7.5	"AA"	""	85.6	134	21	"Bryan Singer"	""	"Patrick Stewart"	"Hugh Jackman"	"ns"	110
