"rank" "title" "studio" "worldwide" "domestic" "overseas" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "per" "budget" "series" "rn" "to_rating" "sh" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"106" 106 "Life of Pi" "Fox" 609 125 484 2012 "Adventure" "R" 3856 8 "Adventure" "" NA 126 NA "Ang Lee" "hs" 58 0 228 75 0 2.16 67 16.23 NA 7.53 96 90 3 16 "8" 23
"107" 107 "Madagascar: Escape 2 Africa" "P/DW" 603.9 180 423.9 2008 "Animation" "PG" 2946 6.7 "Animation" "" 22.5 89 35.3 "Eric Darnell" "ns" 120 1 0 0 0 1.5 63 24.86 3.11 16.57 0 2 13 18 "52" 60
"108" 108 "Casino Royale" "Sony" 599 167.4 431.6 2006 "Action" "PG" 4065 8 "Action" "" 63.1 144 16 "Martin Campbell" "ns" 150 0 246 84 0 1.12 61 23.88 9 21.39 2 10 13 3 "27" 15
"109" 109 "Tangled" "BV" 591.8 200.8 391 2010 "Animation" "PG-13" 3443 7.8 "Animation" "" 40.8 100 17.4 "Nathan Greno" "hs" 150 0 215 79 0 1.34 65 26.88 5.46 20.08 1 3 6 2 "11" 13
"110" 110 "War of the Worlds" "Par." 591.7 234.3 357.5 2005 "Sci-Fi Horror" "PG" 3603 6.5 "Sci-Fi" "Horror" 48.8 117 27.3 "Steven Spielberg" "ss" 260 0 251 62 0 0.9 60 33.97 7.08 37.7 175 168 39 17 "76" 26
"111" 111 "Men in Black" "Sony" 589.4 250.7 338.7 1997 "Sci-Fi Comedy" "PG-13" 3910 7.3 "Sci-Fi" "Comedy" 64.9 97 21.3 "Barry Sonnenfeld" "ss" 132 0 85 81 0 1.9 52 41.94 10.86 22.08 7 7 40 56 "89" 106
"112" 112 "The Croods" "Fox" 587.2 187.2 400 2013 "Animation" "PG-13" 3180 7.3 "Animation" "" NA 98 NA "Kirk De Micco" "ns" 90 0 0 0 0 2.08 68 23.95 NA 11.51 0 6 40 36 "60" 76
"113" 113 "The Hangover Part II" "WB" 586.8 254.5 332.3 2011 "Comedy" "PG" 4065 6.5 "Comedy" "" 43.6 102 26 "Todd Phillips" "ss" 135 1 0 0 0 1.89 66 33.55 5.75 17.8 5 4 29 4 "65" 12
"114" 114 "Quantum of Solace" "Sony" 586.1 168.4 417.7 2008 "Action" "R" 3675 6.7 "Action" "" 85.9 106 16.1 "Marc Forster" "ns" 80 0 280 53 0 2.1 63 23.26 11.86 11.05 6 13 13 2 "27" 5
"115" 115 "I Am Legend" "WB" 585.3 256.4 329 2007 "Sci-Fi Horror" "PG-13" 3501 7.2 "Sci-Fi" "Horror" 67.5 100 11 "Francis Lawrence" "hs" 200 0 0 0 0 1.28 62 35.98 9.47 28.06 3 5 56 9 "106" 6
"116" 116 "Iron Man" "Par." 585.2 318.4 266.8 2008 "AA" "PG-13" 3648 7.9 "AA" "" 77.2 126 17 "Jon Favreau" "ns" 150 0 266 83 5 2.12 63 43.97 10.66 20.71 3 8 33 33 "91" 46
"117" 117 "Night at the Museum" "Fox" 574.5 250.9 323.6 2006 "Family Adventure" "PG-13" 4154 6.4 "Family" "Adventure" NA 108 NA "Shawn Levy" "hs" 140 0 0 0 0 1.79 61 35.78 NA 19.97 3 1 13 1 "52" 8
"118" 118 "Fifty Shades of Grey" "Uni." 571 166.2 404.8 2015 "Romance" "PG" NA 4.1 "Romance" "" NA 125 NA "Sam Taylor-Johnson" "ns" NA 0 0 0 0 NA 70 20.66 NA NA 5 11 7 6 "8" 3
"119" 119 "The Smurfs" "Sony" 563.7 142.6 421.1 2011 "Family Comedy" "R" 3655 5.5 "Family" "Comedy" 85.2 86 12 "Raja Gosnell" "ss" 40 0 0 0 0 3.56 66 18.8 11.23 5.27 NA NA 15 21 "25" 50
"120" 120 "Monsters Inc." "BV" 562.8 289.9 272.9 2001 "Animation" "PG" 3427 8.1 "Animation" "" 35.6 90 20 "Pete Docter" "ns" 110 0 192 85 0 2.64 56 45.04 5.53 17.09 41 56 20 30 "62" 47
"121" 121 "Cars 2" "BV" 559.9 191.5 368.4 2011 "Animation" "G" 3649 6.3 "Animation" "" 62.6 113 47 "John Lasseter" "ss" 115 1 0 0 0 1.67 66 25.24 8.25 15.16 36 26 1 14 "7" 45
"122" 122 "Puss in Boots" "P/DW" 555 149.3 405.7 2011 "Animation" "G" 4115 6.7 "Animation" "" 66.1 90 25 "Chris Miller" "ns" 200 0 142 73 0 0.75 66 19.68 8.71 26.36 12 12 33 12 "39" 38
"123" 123 "Armageddon" "BV" 553.7 201.6 352.1 1998 "Sci-Fi Action" "PG" 3963 6.6 "Sci-Fi" "Action" 34.1 144 18 "Michael Bay" "ss" 130 0 115 27 0 1.55 53 33.09 5.6 21.34 7 10 21 30 "37" 49
"124" 124 "King Kong" "Uni." 550.5 218.1 332.4 2016 "Action" "PG-13" 3184 7.2 "Action" "" NA 106 NA "Peter Jackson" "ns" 140 0 257 73 0 1.56 0 Inf NA Inf 129 120 52 8 "81" 43
"125" 125 "Ted" "Uni." 549.4 218.8 330.6 2005 "Period Adventure" "PG-13" 3627 7 "Period" "Adventure" 50.1 187 16.3 "Seth MacFarlane" "hs" 207 0 43 67 0 1.06 60 31.73 7.26 30.01 15 46 20 12 "60" 49
"126" 126 "American Sniper" "WB" 547.4 350.1 197.3 2012 "Comedy" "R" 3303 7.3 "Comedy" "" NA 106 NA "Clint Eastwood" "ss" 50 0 0 0 0 7 67 45.46 NA 6.49 143 148 29 2 "65" 2
"127" 127 "Mission: Impossible II" "Par." 546.4 215.4 331 2014 "Drama" "R" NA 6.1 "Drama" "" NA 132 NA "John Woo" "hs" 58.8 1 0 0 0 3.66 69 27.16 NA 7.41 18 15 39 1 "76" 8
"128" 128 "Sherlock Holmes: A Game of Shadows" "WB" 545.4 186.8 358.6 2000 "Action" "PG-13" 3669 7.5 "Action" "" 57.8 123 21.3 "Guy Ritchie" "ss" 125 1 0 0 0 1.49 55 29.55 9.14 19.77 8 9 33 16 "91" 50
"129" 129 "The Day After Tomorrow" "Fox" 544.3 186.7 357.5 2011 "Adventure" "PG-13" 3703 6.4 "Adventure" "" 39.6 128 16 "Roland Emmerich" "hs" NA 0 0 0 0 NA 66 24.61 5.22 NA 13 14 12 34 "26" 82
"130" 130 "Despicable Me" "Uni." 543.1 251.5 291.6 2004 "Action Drama" "PG-13" 3444 7.7 "Action" "Drama" 68.7 124 23 "Pierre Coffin" "ss" 125 0 192 70 0 2.01 59 37.09 10.13 18.43 0 18 32 7 "115" 27
"131" 131 "Cinderella" "BV" 542.7 201.2 341.5 2010 "Animation" "PG" NA 7 "Animation" "" NA 95 NA "Kenneth Branagh" "ss" 69 0 64 80 0 2.92 65 26.93 NA 9.24 29 60 144 3 "177" 2
"132" 132 "World War Z" "Par." 540 202.4 337.6 2015 "Fantasy" "PG" 3848 7 "Fantasy" "" 67.9 112 27 "Marc Forster" "ns" 95 0 0 0 0 2.13 70 25.16 8.44 11.81 6 13 64 0 "136" 7
"133" 133 "Brave" "BV" 539 237.3 301.7 2013 "Action Horror" "PG-13" 3607 7.2 "Action" "Horror" 66.4 116 16 "Mark Andrews" "ss" 190 0 65 66 0 1.25 68 30.36 8.5 24.31 5 8 16 2 "33" 9
"134" 134 "The Empire Strikes Back" "Fox" 538.4 290.5 247.9 2012 "Animation" "PG" 4164 8.8 "Animation" "" 66.3 100 30 "Irvin Kershner" "ss" 185 0 0 0 0 1.57 67 37.72 8.61 24.02 5 2 11 32 "13" 36
"135" 135 "Madagascar" "DW" 532.7 193.6 339.1 1980 "Sci-Fi Fantasy" "PG" NA 6.9 "Sci-Fi" "Fantasy" NA 129 NA "Eric Darnell" "ss" 18 0 0 0 0 10.76 35 48.12 NA 4.47 0 2 13 18 "52" 60
"136" 136 "Deadpool" "Fox" 529.6 263.1 266.5 2005 "Animation" "PG" 4142 8.5 "Animation" "" NA 86 NA "Tim Miller" "ss" NA 0 0 0 0 NA 60 38.15 NA NA NA NA 8 0 "32" 1
"137" 137 "Godzilla" "WB" 529.1 200.7 328.4 2014 "Sci-Fi Action" "PG-13" 3952 6 "Sci-Fi" "Action" 93.2 123 15 "Takao Okawara" "ns" 160 0 68 44 0 1.25 69 25.31 11.75 20.17 0 1 4 4 "1" 2
"138" 138 "The Simpsons Movie" "Fox" 527.1 183.1 343.9 2007 "Animation" "PG-13" 3926 7.4 "Animation" "" 74 87 21 "David Silverman" "ss" 75 0 218 78 0 2.44 62 25.69 10.38 10.52 6 15 8 5 "18" 25
"139" 139 "Sherlock Holmes" "WB" 524 209 315 2009 "Adventure" "PG-13" 3626 7.6 "Adventure" "" 62.3 134 18 "Guy Ritchie" "hs" 90 0 0 0 0 2.32 64 28.41 8.47 12.23 8 9 33 16 "91" 50
"140" 140 "WALL-E" "BV" 521.3 223.8 297.5 2008 "Animation" "G" 3992 8.4 "Animation" "" 63.1 97 28 "Andrew Stanton" "ss" 180 0 244 85 0 1.24 63 30.91 8.71 24.86 32 50 16 NA "37" NA
"141" 141 "Terminator 2: Judgment Day" "TriS" 519.8 204.8 315 1991 "Sci-Fi Action" "R" NA 8.5 "Sci-Fi" "Action" NA 137 NA "James Cameron" "ss" 102 1 67 82 0 2.01 48 37.12 NA 18.49 65 54 23 9 "31" 7
"142" 142 "Ant-Man" "BV" 519.3 180.2 339 2015 "AA" "PG-13" NA 7.4 "AA" "" NA 117 NA "Peyton Reed" "ss" 130 0 0 0 1 1.39 70 22.4 NA 16.16 2 3 7 58 "19" 36
"143" 143 "Meet the Fockers" "Uni." 516.6 279.3 237.4 2004 "Comedy" "PG-13" 3554 6.3 "Comedy" "" 46.1 114 21.3 "Jay Roach" "hs" 80 0 0 0 0 3.49 59 41.18 6.8 11.8 9 5 48 13 "82" 52
"144" 144 "Ghost" "Par." 505.7 217.6 288.1 1990 "Romance" "PG-13" NA 7 "Romance" "" NA 128 NA "Jerry Zucker" "ss" 22 0 66 62 0 9.89 49 38.64 NA 3.91 6 6 5 12 "7" 28
"145" 145 "Aladdin" "BV" 504.1 217.4 286.7 1992 "Animation" "G" NA 8 "Animation" "" NA 90 NA "Ron Clements" "ns" 28 0 68 83 0 7.76 46 41.12 NA 5.3 7 8 1 63 "2" 80
"146" 146 "Rio 2" "Fox" 500.1 131.5 368.6 2014 "Animation" "G" 3975 6.4 "Animation" "" 39.3 101 21 "Carlos Saldanha" "ns" 103 1 0 0 0 1.28 69 16.58 4.96 12.99 2 12 1 2 "15" 6
"147" 147 "Troy" "WB" 497.4 133.4 364 2004 "Historical Epic" "R" 3411 7.2 "Historical" "Epic" 46.9 163 16 "Wolfgang Petersen" "ns" 175 0 0 0 0 0.76 59 19.67 6.92 25.81 10 8 1 9 "3" 22
"148" 148 "How to Train Your Dragon" "P/DW" 494.9 217.6 277.3 2010 "Animation" "PG" 4060 8.2 "Animation" "" 43.7 98 17 "Dean DeBlois" "ns" 165 0 200 87 0 1.32 65 29.12 5.85 22.08 7 22 5 2 "10" 12
"149" 149 "Twister" "WB" 494.5 241.7 252.8 1996 "Action Drama" "PG-13" NA 6.3 "Action" "Drama" NA 113 NA "Jan de Bont" "ns" 92 0 53 45 0 2.63 51 41.23 NA 15.69 0 7 47 6 "65" 22
"150" 150 "Teenage Mutant Ninja Turtles" "Par." 493.3 191.2 302.1 2014 "AA" "PG-13" 3980 6.3 "AA" "" 65.6 101 15 "Kevin Munroe" "ss" 125 0 50 29 0 1.53 69 24.11 8.27 15.76 0 1 4 17 "26" 29
"151" 151 "Oz The Great and Powerful" "BV" 493.3 234.9 258.4 2013 "Adventure" "PG" 3912 6.4 "Adventure" "" 79.1 127 19 "Sam Raimi" "ns" 215 0 0 0 0 1.09 68 30.05 10.12 27.51 10 16 31 12 "90" 49
"152" 152 "Clash of the Titans" "WB" 493.2 163.2 330 2010 "Fantasy" "PG-13" 3802 5.8 "Fantasy" "" 61.2 118 16 "Jonathan Liebesman" "ns" 125 0 0 0 0 1.31 65 21.84 8.19 16.73 2 2 6 15 "14" 35
"153" 153 "Angels & Demons" "Sony" 485.9 133.4 352.6 2009 "Thriller" "PG-13" 3527 6.7 "Thriller" "" 46.2 140 12 "Ron Howard" "ns" 150 0 0 0 0 0.89 64 18.13 6.28 20.39 38 65 76 24 "115" 38
"154" 154 "Toy Story 2" "BV" 485 245.9 239.2 1999 "Animation" "G" NA 7.9 "Animation" "" NA 92 NA "John Lasseter" "ns" 90 1 163 2 0 2.73 54 39.62 NA 14.5 36 26 76 23 "115" 32
"155" 155 "Rio" "Fox" 484.6 143.6 341 2011 "Animation" "G" 3842 7 "Animation" "" 39.2 96 21 "Carlos Saldanha" "ns" 90 0 134 49 0 1.6 66 18.93 5.17 11.86 2 12 NA NA " " NA
"156" 156 "Bruce Almighty" "Uni." 484.6 242.8 241.8 2003 "Fantasy Comedy" "PG-13" 3549 6.7 "Fantasy" "Comedy" 68 101 27 "Tom Shadyac" "ss" 81 0 0 0 0 3 58 36.42 10.2 12.15 1 0 45 56 "88" 69
"157" 157 "Shrek" "DW" 484.4 267.7 216.7 2001 "Animation" "PG" 3715 7.9 "Animation" "" 42.3 90 29.3 "Andrew Adamson" "ns" 60 0 200 77 0 4.46 56 41.59 6.57 9.32 7 19 28 30 "38" 67
"158" 158 "Saving Private Ryan" "DW" 481.8 216.5 265.3 1998 "War" "R" NA 8.6 "War" "" NA 170 NA "Steven Spielberg" "ss" 70 0 130 81 0 3.09 53 35.54 NA 11.49 175 168 76 5 "115" 7
"159" 159 "Rise of the Planet of the Apes" "Fox" 481.8 176.8 305 2011 "Sci-Fi Action" "PG-13" 3691 7.6 "Sci-Fi" "Action" NA 110 NA "Rupert Wyatt" "ss" 93 0 248 71 0 1.9 66 23.31 NA 12.26 1 7 30 NA "42" NA
"160" 160 "Mr. & Mrs. Smith" "Fox" 478.2 186.3 291.9 2005 "Action Comedy" "PG-13" 3451 6.5 "Action" "Comedy" 50.3 115 27 "Doug Liman" "ss" 110 0 0 0 0 1.69 60 27.01 7.29 15.95 2 6 64 47 "136" 93
"161" 161 "Home Alone" "Fox" 476.7 285.8 190.9 1990 "Family Comedy" "PG" 2173 7.5 "Family" "Comedy" NA 105 NA "Chris Columbus" "ns" 18 0 42 43 0 15.88 49 50.74 NA 3.2 6 18 4 13 "7" 11
"162" 162 "Return of the Jedi" "Fox" 475.1 309.3 165.8 1983 "Sci-Fi Fantasy" "PG" NA 8.4 "Sci-Fi" "Fantasy" NA 134 NA "Richard Marquand" "ss" 32.5 0 0 0 0 9.52 38 70.81 NA 7.44 2 3 11 32 "13" 36
"163" 163 "Charlie and the Chocolate Factory" "WB" 475 206.5 268.5 2005 "Family Adventure" "PG" NA 6.7 "Family" "Adventure" NA 106 NA "Tim Burton" "ss" 150 0 221 72 0 1.38 60 29.94 NA 21.75 20 58 65 12 "115" 22
"164" 164 "Indiana Jones and the Last Crusade" "Par." 474.2 197.2 277 1989 "Period Adventure" "PG-13" 2327 8.3 "Period" "Adventure" NA 127 NA "Steven Spielberg" "ss" 48 0 68 77 0 4.11 43 39.9 NA 9.71 175 168 32 37 "36" 27
"165" 165 "San Andreas" "WB" 473.8 155.2 318.6 2015 "Action" "PG-13" NA 6.1 "Action" "" NA 114 NA "Brad Peyton" "ss" 110 0 0 0 0 1.41 70 19.29 NA 13.67 0 2 3 1 "28" 8
"166" 166 "Wreck-It Ralph" "BV" 471.2 189.4 281.8 2012 "Animation" "PG" 3752 7.8 "Animation" "" 49 108 26 "Rich Moore" "ns" 165 0 168 75 0 1.15 67 24.59 6.36 21.43 0 1 17 5 "42" 14
"167" 167 "Jaws" "Uni." 470.7 260 210.7 1975 "Horror Thriller" "PG" NA 8.1 "Horror" "Thriller" NA 125 NA "Steven Spielberg" "ss" 7 0 0 0 0 37.14 30 75.4 NA 2.03 175 168 2 2 "9" 4
"168" 168 "The LEGO Movie" "WB" 469.2 257.8 211.4 2014 "Animation" "PG" NA 7.8 "Animation" "" NA 100 NA "Phil Lord" "ns" 60 0 222 85 0 4.3 69 32.51 NA 7.57 11 12 5 11 "20" 32
"169" 169 "Hotel Transylvania 2" "Sony" 469 169.7 299.4 2015 "Animation" "PG" NA 6.8 "Animation" "" NA 89 NA "Genndy Tartakovsky" "ns" 80 1 0 0 0 2.12 70 21.09 NA 9.94 6 15 50 5 "68" 24
"170" 170 "The Hangover" "WB" 467.5 277.3 190.2 2009 "Comedy" "R" 3545 7.8 "Comedy" "" 45 96 28 "Todd Phillips" "ss" 35 0 225 67 0 7.92 64 37.7 6.12 4.76 5 4 29 4 "65" 12
"171" 171 "Star Trek Into Darkness" "Par." 467.4 228.8 238.6 2013 "Sci-Fi Adventure" "PG-13" 3907 7.8 "Sci-Fi" "Adventure" 70.2 123 17.1 "J.J. Abrams" "ns" 190 0 250 76 0 1.2 68 29.27 8.98 24.31 18 41 6 9 "15" 20
"172" 172 "The Matrix" "WB" 463.5 171.5 292 1999 "Sci-Fi Action" "R" 2903 8.7 "Sci-Fi" "Action" NA 136 NA "Lana Wachowski" "ns" 63 0 141 76 0 2.72 54 27.63 NA 10.15 10 22 11 21 "20" 45
"173" 173 "Pretty Woman" "BV" 463.4 178.4 285 1990 "Romantic Comedy" "R" 1811 6.9 "Romantic" "Comedy" NA 119 NA "Garry Marshall" "ns" 14 0 55 50 0 12.74 49 31.68 NA 2.49 13 14 20 51 "26" 86
"174" 174 "Lucy" "Uni." 463.4 126.7 336.7 2014 "Sci-Fi Action" "R" 3202 6.4 "Sci-Fi" "Action" NA 90 NA "Luc Besson" "ss" 40 0 177 74 0 3.17 69 15.98 NA 5.04 24 22 34 56 "119" 69
"175" 175 "Cars" "BV" 462 244.1 217.9 2006 "Animation" "G" 3988 7.2 "Animation" "" 60.1 116 19 "John Lasseter" "ss" 120 0 196 62 0 2.03 61 34.81 8.57 17.11 36 26 14 37 "45" 64
"176" 176 "X-Men: The Last Stand" "Fox" 459.4 234.4 225 2006 "AA" "PG-13" 3714 6.8 "AA" "" 102.8 104 18 "Brett Ratner" "ss" 210 1 0 0 4 1.12 61 33.43 14.66 29.95 3 4 20 41 "71" 79
"177" 177 "Mission: Impossible" "Par." 457.7 181 276.7 1996 "Action" "PG-13" 3012 7.1 "Action" "" 45.4 110 30.3 "Brian De Palma" "ss" 80 1 51 51 0 2.26 51 30.88 7.74 13.65 10 21 39 24 "76" 30
"178" 178 "Gladiator" "DW" 457.6 187.7 269.9 2000 "Historical Epic" "R" 3188 8.5 "Historical" "Epic" 34.8 155 53 "Ridley Scott" "ns" 103 0 186 64 0 1.82 55 29.69 5.5 16.29 31 87 36 30 "66" 110
"179" 179 "National Treasure: Book of Secrets" "BV" 457.4 220 237.4 2007 "Adventure" "PG" 3832 6.5 "Adventure" "" 44.8 124 26 "Jon Turteltaub" "hs" NA 1 0 0 0 NA 62 30.87 6.29 NA 0 2 40 0 "60" 2
"180" 180 "The Last Samurai" "WB" 456.8 111.1 345.6 2003 "War" "R" 2938 7.7 "War" "" 24.3 154 18 "Edward Zwick" "hs" 140 0 0 0 0 0.79 58 16.66 3.64 21 23 21 9 39 "19" 76
"181" 181 NA "WB" 456.1 210.6 245.5 2007 "Period Action" "R" NA 7.7 "Period" "Action" NA 117 NA "Zack Snyder" "ns" 65 NA 0 0 0 3.24 62 29.55 NA 9.12 3 7 2 3 "12" 28
"182" 182 "Ocean's Eleven" "WB" 450.7 183.4 267.3 2001 "Crime Comedy" "PG-13" NA 7.8 "Crime" "Comedy" NA 116 NA "Steven Soderbergh" "hs" 85 0 168 71 0 2.16 56 28.49 NA 13.21 29 74 NA NA " " NA
"183" 183 "Thor" "Par." 449.3 181 268.3 2011 "AA" "PG-13" 3963 7 "AA" "" 65.7 115 16 "Kenneth Branagh" "ns" 150 0 88 69 0 1.21 66 23.86 8.66 19.77 29 60 9 58 "21" 85
"184" 184 "Pearl Harbor" "BV" 449.2 198.5 250.7 2001 "War" "PG-13" 3255 6 "War" "" NA 183 NA "Michael Bay" "ss" 140 0 0 0 0 1.42 56 30.84 NA 21.75 7 10 67 2 "95" 16
"185" 185 "Tarzan" "BV" 448.2 171.1 277.1 1999 "Animation" "G" NA 7.2 "Animation" "" NA 88 NA "Chris Buck" "ss" 130 0 104 77 0 1.32 54 27.57 NA 20.94 9 10 1 49 "1" 91
"186" 186 "Alvin and the Chipmunks: The Squeakquel" "Fox" 443.1 219.6 223.5 2009 "Family Comedy" "PG" 3747 4.5 "Family" "Comedy" 48.9 88 21.3 "Betty Thomas" "hs" 75 1 0 0 0 2.93 64 29.85 6.65 10.2 8 13 2 7 "13" 15
"187" 187 "The Bourne Ultimatum" "Uni." 442.8 227.5 215.4 2007 "Action Thriller" "PG-13" 3701 8.1 "Action" "Thriller" 69.3 111 17 "Paul Greengrass" "ss" 110 0 257 82 0 2.07 62 31.92 9.72 15.44 34 62 34 13 "122" 17
"188" 188 "Men in Black II" "Sony" 441.8 190.4 251.4 2002 "Sci-Fi Comedy" "PG-13" 3641 6.1 "Sci-Fi" "Comedy" 52.1 88 8.9 "Barry Sonnenfeld" "ss" 140 0 0 0 0 1.36 57 29.06 7.95 21.37 7 7 40 56 "89" 106
"189" 189 "Les Miserables" "Uni." 441.8 148.8 293 2012 "Musical" "PG-13" 2927 7.6 "Musical" "" 27.3 157 14.4 "Tom Hooper" "hs" 61 0 43 62 0 2.44 67 19.32 3.54 7.92 28 47 20 36 "71" 66
"190" 190 "The Exorcist" "WB" 441.3 232.9 208.4 1973 "Horror" "R" NA 8 "Horror" "" NA 122 NA "William Friedkin" "hs" NA 0 0 0 0 NA 28 72.37 NA NA 19 14 32 21 "49" 22
"191" 191 "Mrs. Doubtfire" "Fox" 441.3 219.2 222.1 1993 "Family Comedy" "PG-13" NA 6.9 "Family" "Comedy" NA 125 NA "Chris Columbus" "hs" 25 0 49 59 0 8.77 45 42.38 NA 4.83 6 18 63 43 "80" 70
"192" 192 "Terminator: Genisys" "Par." 440.6 89.8 350.8 2015 "Action" "PG-13" 3783 6.6 "Action" "" 27 126 11.3 "Alan Taylor" "ss" 155 1 0 0 0 0.58 70 11.16 3.36 19.26 6 8 23 0 "31" 4
"193" 193 "Terminator 3: Rise of the Machines" "WB" 433.4 150.4 283 2003 "Sci-Fi Action" "R" 3504 6.4 "Sci-Fi" "Action" 44 109 17.3 "Jonathan Mostow" "ss" 200 1 0 0 0 0.75 58 22.56 6.6 30 1 1 23 1 "31" 9
"194" 194 "The Mummy Returns" "Uni." 433 202 231 2001 "Period Adventure" "PG-13" 3553 6.3 "Period" "Adventure" NA 130 NA "Stephen Sommers" "ns" 98 0 0 0 0 2.06 56 31.38 NA 15.22 1 3 8 15 "10" 30
"195" 195 "Die Another Day" "MGM" 432 160.9 271 2002 "Action" "PG-13" 3377 6.1 "Action" "" NA 123 NA "Lee Tamahori" "hs" 142 0 0 0 0 1.13 57 24.56 NA 21.67 11 1 17 41 "20" 79
"196" 196 "Cast Away" "Fox" 429.6 233.6 196 2000 "Drama" "PG-13" 3061 7.7 "Drama" "" NA 143 NA "Robert Zemeckis" "hs" 90 0 154 79 0 2.6 55 36.95 NA 14.24 33 33 NA NA " " NA
"197" 197 "The Matrix Revolutions" "WB" 427.3 139.3 288 2003 "Sci-Fi Action" "R" 3502 6.7 "Sci-Fi" "Action" NA 135 NA "Lana Wachowski" "ns" 150 0 0 0 0 0.93 58 20.9 NA 22.5 10 22 NA NA " " NA
"198" 198 "The Intouchables" "Wein." 426.6 10.2 416.4 2012 "Foreign" "R" NA 5.8 "Foreign" "" NA 112 NA "Lana Wachowski" "ss" NA 0 0 0 0 NA 67 1.32 NA NA 10 22 NA NA " " NA
"199" 199 "Django Unchained" "Wein." 425.4 162.8 262.6 2012 "Western" "R" 3012 8.5 "Western" "" 30.1 165 20.4 "Quentin Tarantino" "hs" 100 0 248 77 0 1.63 67 21.14 3.91 12.99 120 163 45 81 "74" 37
"200" 200 "Beauty and the Beast" "BV" 425 219 206 1991 "Animation" "G" NA 8 "Animation" "" NA 84 NA "Gary Trousdale" "ns" 25 0 103 82 0 8.76 48 39.69 NA 4.53 1 5 3 1 "7" 1
"201" 201 "Dances with Wolves" "Orion" 424.2 184.2 240 1990 "Western" "PG-13" NA 8 "Western" "" NA 183 NA "Kevin Costner" "ns" 22 0 66 71 0 8.37 49 32.7 NA 3.91 46 49 46 3 "49" 13
"202" 202 "The Chronicles of Narnia: Prince Caspian" "BV" 419.7 141.6 278 2008 "Fantasy" "PG" 3929 6.6 "Fantasy" "" 55 140 16 "Andrew Adamson" "ns" 225 1 0 0 0 0.63 63 19.55 7.6 31.07 7 19 0 3 "4" 10
"203" 203 "The Mummy" "Uni." 415.9 155.4 260.5 1999 "Period Adventure" "PG-13" NA 7 "Period" "Adventure" NA 124 NA "Stephen Sommers" "ns" 80 0 83 43 0 1.94 54 25.04 NA 12.89 1 3 8 15 "10" 30
"204" 204 "The Chronicles of Narnia: The Voyage of the Dawn Treader" "Fox" 415.7 104.4 311.3 2010 "Fantasy" "PG" 3555 6.3 "Fantasy" "" 24 112 18 "Michael Apted" "hs" 155 1 0 0 0 0.67 65 13.97 3.21 20.75 20 15 3 1 "10" 3
"205" 205 "Sex and the City" "WB (NL)" 415.3 152.6 262.6 2008 "Romantic Comedy" "R" 3325 6.9 "Romantic" "Comedy" 57 135 16 "Darren Star" "ss" 65 0 0 0 0 2.35 63 21.07 7.87 8.98 2 2 28 9 "43" 24
"206" 206 "The Wolverine" "Fox" 414.8 132.6 282.3 2013 "Action" "PG-13" 3924 6.7 "Action" "" 53.1 126 19 "James Mangold" "ss" 120 0 0 0 0 1.1 68 16.96 6.79 15.35 5 4 20 NA "71" NA
"207" 207 "Kingsman: The Secret Service" "Fox" 414.4 128.3 286.1 2015 "AA" "R" 3282 7.8 "AA" "" 36.2 129 21 "Matthew Vaughn" "ns" 81 1 0 0 0 1.58 70 15.95 4.5 10.07 5 16 NA 64 " " 52
"208" 208 "The King's Speech" "Wein." 414.2 138.8 275.4 2010 "Historical Drama" "R" NA 8 "Historical" "Drama" NA 118 NA "Tom Hooper" "hs" 15 0 265 84 0 9.25 65 18.58 NA 2.01 28 47 64 42 "52" 80
"209" 209 "Night at the Museum: Battle of the Smithsonian" "Fox" 413.1 177.2 235.9 2009 "Family Adventure" "PG" 4101 5.9 "Family" "Adventure" 54.2 105 24 "Shawn Levy" "ss" 150 1 0 0 0 1.18 64 24.09 7.37 20.39 3 1 13 54 "52" 146
"210" 210 "Batman" "WB" 411.3 251.2 160.2 1989 "AA" "PG-13" 2201 7.6 "AA" "" 40.5 126 25 "Tim Burton" "ss" 35 0 68 60 2 7.18 43 50.82 8.19 7.08 20 58 58 84 "36" 95
"211" 211 "The Bodyguard" "WB" 411 122 289 1992 "Romance" "R" 1806 6.1 "Romance" "" NA 130 NA "Mick Jackson" "hs" NA 0 0 0 0 NA 46 23.07 NA NA 14 9 46 9 "49" 27
"212" 212 "Pacific Rim" "WB" 411 101.8 309.2 2013 "Sci-Fi Action" "PG-13" 3285 7 "Sci-Fi" "Action" 37.3 131 14 "Guillermo del Toro" "ss" 190 0 0 0 0 0.54 68 13.02 4.77 24.31 49 48 1 0 "4" 1
"213" 213 "Signs" "BV" 408.2 228 180.3 2002 "Sci-Fi Horror" "PG-13" 3453 6.7 "Sci-Fi" "Horror" 60.1 107 27 "M. Night Shyamalan" "ss" 72 0 228 62 0 3.17 57 34.8 9.17 10.99 12 36 32 30 "30" 110
"214" 214 "X2: X-Men United" "Fox" 407.7 214.9 192.8 2003 "AA" "PG-13" 3749 7.5 "AA" "" 85.6 134 21 "Bryan Singer" "ns" 110 1 235 75 4 1.95 58 32.23 12.84 16.5 14 20 9 20 "36" 71
