"rank" "title" "studio" "worldwide" "domestic" "overseas" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "per" "budget" "series" "rn" "to_rating" "sh" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"26" 26 "Harry Potter and the Sorcerer's Stone" "WB" 974.8 317.6 657.2 2001 "Fantasy" "PG" 3672 7.5 "Fantasy" "" NA 153 NA "Chris Columbus" "ns" 125 0 194 69 0 2.54 56 49.34 NA 19.42 6 18 10 44 "15" 91
"27" 27 "Despicable Me 2" "Uni." 970.8 368.1 602.7 2013 "Animation" "PG" 4003 7.5 "Animation" "" NA 98 NA "Pierre Coffin" "ss" 76 1 0 0 0 4.84 68 47.1 NA 9.72 0 18 32 8 "115" 55
"28" 28 "Pirates of the Caribbean: At World's End" "BV" 963.4 309.4 654 2007 "Period Adventure" "PG-13" 4362 7.1 "Period" "Adventure" 114.7 168 19 "Gore Verbinski" "ss" 300 1 0 0 0 1.03 62 43.42 16.09 42.1 7 10 65 43 "115" 75
"29" 29 "Harry Potter and the Deathly Hallows Part 1" "WB" 960.3 296 664.3 2010 "Fantasy" "PG-13" 4125 7.7 "Fantasy" "" NA 150 NA "David Yates" "ns" NA 1 260 66 0 NA 65 39.62 NA NA 14 15 15 16 "25" 45
"30" 30 "The Hobbit: The Desolation of Smaug" "WB (NL)" 958.4 258.4 700 2013 "Fantasy" "PG-13" 3928 7.9 "Fantasy" "" 73.6 161 18 "Peter Jackson" "hs" NA 1 0 0 0 NA 68 33.06 9.42 NA 129 120 46 7 "57" 26
"31" 31 "The Hobbit: The Battle of the Five Armies" "WB (NL)" 956 255.1 700.9 2014 "Fantasy" "PG-13" 3875 7.5 "Fantasy" "" 54.7 144 15.3 "Peter Jackson" "hs" NA 1 0 0 0 NA 69 32.16 6.9 NA 129 120 46 7 "57" 26
"32" 32 "Harry Potter and the Order of the Phoenix" "WB" 939.9 292 647.9 2007 "Fantasy" "PG-13" 4285 7.5 "Fantasy" "" 77.1 139 22.3 "David Yates" "ss" 150 0 242 67 0 1.95 62 40.97 10.82 21.05 14 15 13 NA "38" NA
"33" 33 "Finding Nemo" "BV" 936.7 380.8 555.9 2003 "Animation" "G" 3425 8.1 "Animation" "" 70.3 104 29 "Andrew Stanton" "ss" 94 0 253 88 0 4.05 58 57.12 10.54 14.1 32 50 26 72 "29" 64
"34" 34 "Harry Potter and the Half-Blood Prince" "WB" 934.4 302 632.5 2009 "Fantasy" "PG" 4455 7.5 "Fantasy" "" 77.8 153 22.3 "David Yates" "ss" 250 0 266 72 0 1.21 64 41.05 10.58 33.98 14 15 13 18 "38" 16
"35" 35 "The Lord of the Rings: The Two Towers" "NL" 926 342.6 583.5 2002 "Fantasy" "PG-13" NA 8.7 "Fantasy" "" NA 179 NA "Peter Jackson" "hs" 94 1 248 85 0 3.64 57 52.29 NA 14.35 129 120 1 18 "0" 19
"36" 36 "Shrek 2" "DW" 919.8 441.2 478.6 2004 "Animation" "PG" 4223 7.2 "Animation" "" 108 93 21.3 "Andrew Adamson" "ns" 150 1 233 77 0 2.94 59 65.06 15.93 22.12 7 19 28 30 "38" 67
"37" 37 "Harry Potter and the Goblet of Fire" "WB" 896.9 290 606.9 2005 "Fantasy" "PG-13" 3858 7.6 "Fantasy" "" 102.7 153 20 "Mike Newell" "ns" 150 0 246 77 0 1.93 60 42.05 14.89 21.75 13 10 1 14 "0" 27
"38" 38 "Spider-Man 3" "Sony" 890.9 336.5 554.3 2007 "AA" "PG-13" 4324 6.2 "AA" "" 151.1 140 16 "Sam Raimi" "ns" 258 1 0 0 3 1.3 62 47.22 21.2 36.2 10 16 7 28 "30" 56
"39" 39 "Ice Age: Dawn of the Dinosaurs" "Fox" 886.7 196.6 690.1 2009 "Animation" "PG" 4102 7 "Animation" "" 41.7 87 21.3 "Carlos Saldanha" "ss" 90 1 0 0 0 2.18 64 26.73 5.67 12.23 2 12 NA NA " " NA
"40" 40 "Spectre" "Sony" 879.5 199.8 679.7 2015 "Action" "PG-13" NA 6.9 "Action" "" NA 148 NA "Sam Mendes" "ns" 245 0 0 0 0 0.82 70 24.83 NA 30.45 39 25 13 81 "27" 37
"41" 41 "Harry Potter and the Chamber of Secrets" "WB" 879 262 617 2002 "Fantasy" "PG" 3682 7.4 "Fantasy" "" 88.4 161 24.4 "Chris Columbus" "ns" 100 0 230 71 0 2.62 57 39.99 13.49 15.26 6 18 13 3 "38" 11
"42" 42 "Ice Age: Continental Drift" "Fox" 877.2 161.3 715.9 2012 "Animation" "PG" 3886 6.7 "Animation" "" 46.6 94 30 "Steve Martino" "ss" 95 1 0 0 0 1.7 67 20.94 6.05 12.34 22 39 0 5 "11" 24
"43" 43 "The Lord of the Rings: The Fellowship of the Ring" "NL" 871.5 315.5 556 2001 "Fantasy" "PG-13" NA 8.8 "Fantasy" "" NA 178 NA "Peter Jackson" "hs" 93 1 225 80 0 3.39 56 49.02 NA 14.45 129 120 0 1 "1" 0
"44" 44 "The Hunger Games: Catching Fire" "LGF" 865 424.7 440.3 2013 "AA" "PG-13" 4163 7.6 "AA" "" 158.1 146 19 "Francis Lawrence" "hs" 130 1 253 78 0 3.27 68 54.34 20.23 16.63 3 5 106 6 "157" 14
"45" 45 "Inside Out" "BV" 856.8 356.5 500.3 2015 "Animation" "PG" NA 8.3 "Animation" "" NA 94 NA "Pete Docter" "ss" 175 0 304 87 0 2.04 70 44.31 NA 21.75 41 56 18 5 "72" 8
"46" 46 "Star Wars: Episode III - Revenge of the Sith" "Fox" 848.8 380.3 468.5 2005 "Sci-Fi Fantasy" "PG-13" 3663 7.6 "Sci-Fi" "Fantasy" 108.4 146 22.1 "George Lucas" "ns" 113 1 283 67 0 3.37 60 55.14 15.72 16.38 40 31 24 58 "38" 85
"47" 47 "Transformers: Revenge of the Fallen" "P/DW" 836.3 402.1 434.2 2009 "Sci-Fi Action" "PG-13" 4293 6 "Sci-Fi" "Action" 109 144 16.3 "Michael Bay" "ss" 200 1 0 0 0 2.01 64 54.66 14.82 27.19 7 10 11 6 "38" 18
"48" 48 "The Twilight Saga: Breaking Dawn Part 2" "LG/S" 829.7 292.3 537.4 2012 "Romance" "PG-13" 4070 5.5 "Romance" "" 141.1 116 16 "Bill Condon" "ns" 120 1 0 0 0 2.44 67 37.96 18.32 15.58 19 40 41 31 "53" 30
