rank	reviewnum	title	tomato_rating
66.	52	Gangster No. 1 (2000)	71%
67.	49	Shadow Magic (2000)	71%
68.	142	American Psycho (2000)	67%
69.	141	Charlie's Angels (2000)	67%
70.	115	Dancer in the Dark (2000)	68%
71.	115	U-571 (2000)	68%
72.	112	Shaft (2000)	68%
73.	43	Grateful Dawg (2000)	70%
74.	81	Timecode (2000)	68%
75.	99	Boiler Room (2000)	67%
76.	99	Small Time Crooks (2000)	67%
77.	57	About Adam (2000)	68%
78.	122	Dinosaur (2000)	65%
79.	95	The Yards (2000)	64%
80.	117	Bring It On (2000)	63%
81.	115	Chocolat (2000)	63%
82.	89	Anywhere but Here (2000)	64%
83.	89	Saving Grace (2000)	63%
84.	134	The Patriot (2000)	61%
85.	70	Wonderland (2000)	63%
86.	84	The Claim (2000)	62%
87.	73	The Tigger Movie (2000)	62%
88.	98	Return to Me (2000)	61%
89.	83	Der Krieger und die Kaiserin (The Princess and the Warrior) (2000)	61%
90.	144	Mission: Impossible 2 (2000)	57%
91.	43	Alice et Martin (2000)	60%
92.	118	The Gift (2000)	57%
93.	107	Dr. T and the Women (2000)	57%
94.	104	Pitch Black (2000)	57%
95.	49	Kikujiro (2000)	59%
96.	91	Road Trip (2000)	57%
97.	68	Godzilla 2000 (2000)	56%
98.	85	Hamlet (2000)	55%
99.	130	Dr. Seuss' How the Grinch Stole Christmas (2000)	53%
100.	128	The Family Man (2000)	53%
1.	179	Spirited Away (2001)	97%
2.	192	"Monsters, Inc. (2001)"	96%
3.	151	"Crouching Tiger, Hidden Dragon (2001)"	97%
4.	98	The Dish (2001)	96%
5.	90	With a Friend like Harry... (2001)	96%
6.	225	The Lord of the Rings: The Fellowship of the Ring (2001)	91%
7.	82	Time Out (L' Emploi du temps) (2001)	96%
8.	138	In the Bedroom (2001)	93%
9.	53	I'm Going Home (2001)	96%
10.	126	Spy Kids (2001)	93%
11.	153	Ghost World (2001)	92%
12.	65	The Endurance (2001)	95%
13.	59	Lagaan: Once Upon a Time in India (2001)	95%
14.	130	Y Tu Mama Tambien (2001)	92%
15.	98	No Man's Land (2001)	93%
16.	70	Sous le sable (Under the Sand) (2001)	94%
17.	70	Last Resort (2001)	94%
18.	117	The Devil's Backbone (El Espinazo del diablo) (2001)	92%
19.	111	Amores Perros (2001)	92%
20.	81	Apocalypse Now Redux (2001)	93%
21.	106	Hedwig and the Angry Inch (2001)	92%
22.	95	Dogtown and Z-Boys (2001)	92%
23.	177	Am¨¦lie (2001)	89%
24.	93	Startup.com (2001)	92%
25.	200	Shrek (2001)	88%
26.	60	The Circle (Dayereh) (2001)	93%
27.	85	Mostly Martha (Bella Martha) (2001)	92%
28.	119	In the Mood for Love (2001)	90%
29.	52	Millennium Actress (Sennen joy_) (2001)	92%
30.	91	Iron Monkey (2001)	90%
31.	79	Together (2001)	90%
32.	44	Dinner Rush (2001)	91%
33.	96	Kandahar: Le soleil derri¨¨re la lune (2001)	89%
34.	61	Divided We Fall (2001)	90%
35.	80	The Road Home (Wo de fu qin mu qin) (2001)	89%
36.	52	Our Song (2001)	90%
37.	42	Eureka (2001)	90%
38.	42	Life And Debt (2001)	90%
39.	152	Gosford Park (2001)	86%
40.	61	Trembling Before G-d (2001)	89%
41.	83	Italian for Beginners (2001)	88%
42.	55	Ginger Snaps (2001)	89%
43.	46	101 Reykjavik (2001)	89%
44.	44	Comment j'ai tu¨¦ mon p¨¨re (My Father and I) (2001)	89%
45.	121	Lovely & Amazing (2001)	86%
46.	57	Roozi ke zan shodam (The Day I Became a Woman) (2001)	88%
47.	108	Donnie Darko (2001)	85%
48.	79	The Closet (Le Placard) (2001)	86%
49.	77	Va Savoir (2001)	86%
50.	47	Calle 54 (2001)	87%
51.	46	Akira (2001)	87%
52.	98	Nowhere in Africa (Nirgendwo in Afrika) (2001)	85%
53.	69	Faithless (2001)	86%
54.	148	The Others (2001)	83%
55.	168	Ocean's Eleven (2001)	82%
56.	159	Mulholland Drive (2001)	82%
57.	59	Rain (2001)	85%
58.	113	Thirteen Conversations About One Thing (2001)	83%
59.	194	Harry Potter and the Sorcerer's Stone (2001)	80%
60.	156	The Man Who Wasn't There (2001)	81%
61.	154	Bridget Jones's Diary (2001)	81%
62.	116	The Deep End (2001)	82%
63.	82	L.I.E. (2001)	83%
64.	50	Ni na bian ji dian (What Time Is It Over There?) (2001)	84%
65.	43	Little Otik (2001)	84%
66.	141	Waking Life (2001)	80%
67.	74	Innocence (2001)	82%
68.	91	The Business of Strangers (2001)	80%
69.	63	Diamond Men (2001)	81%
70.	57	Lumumba (2001)	81%
71.	192	Moulin Rouge! (2001)	76%
72.	54	Jump Tomorrow (2001)	81%
73.	109	Iris (2001)	79%
74.	204	A Beautiful Mind (2001)	75%
75.	121	The Pledge (2001)	78%
76.	172	Black Hawk Down (2001)	76%
77.	98	Tape (2001)	78%
78.	116	The Tailor of Panama (2001)	77%
79.	190	A.I. Artificial Intelligence (2001)	73%
80.	124	The Cat's Meow (2001)	75%
81.	61	Our Lady of the Assassins (2001)	77%
82.	139	Snatch (2001)	73%
83.	75	Jimmy Neutron - Boy Genius (2001)	75%
84.	128	The Score (2001)	73%
85.	155	Training Day (2001)	72%
86.	88	Songcatcher (2001)	74%
87.	114	Buffalo Soldiers (2001)	73%
88.	113	Joy Ride (2001)	73%
89.	55	Me You Them (2001)	75%
90.	72	Tortilla Soup (2001)	74%
91.	98	Before Night Falls (2001)	73%
92.	119	Brotherhood of the Wolf (2001)	72%
93.	81	The Piano Teacher (La Pianiste) (2001)	73%
94.	46	Behind the Sun (2001)	74%
95.	83	Fat Girl (2001)	72%
96.	107	Made (2001)	71%
97.	67	Chopper (2001)	72%
98.	65	Das Experiment (The Experiment) (2001)	72%
99.	92	Baby Boy (2001)	71%
100.	61	Happy Accidents (2001)	72%
1.	248	The Lord of the Rings: The Two Towers (2002)	96%
2.	137	Spellbound (2002)	98%
3.	195	Catch Me If You Can (2002)	96%
4.	178	The Pianist (2002)	96%
5.	71	Rivers and Tides: Andy Goldsworthy Working With Time (2002)	99%
6.	163	Bowling for Columbine (2002)	96%
7.	94	The Man Without a Past (2002)	98%
8.	95	Read My Lips (2002)	97%
9.	185	About a Boy (2002)	94%
10.	44	The Last Waltz (2002)	98%
11.	119	Monsoon Wedding (2002)	95%
12.	200	Insomnia (2002)	92%
13.	56	Elsker Dig For Evigt (2002)	96%
14.	240	Minority Report (2002)	90%
15.	47	Promises (2002)	96%
16.	200	Adaptation (2002)	91%
17.	61	Mou gaan dou (Infernal Affairs) (2002)	95%
18.	58	The Trials of Henry Kissinger (2002)	95%
19.	236	Spider-Man (2002)	89%
20.	128	Talk to Her (2002)	92%
21.	110	The Kid Stays in the Picture (2002)	92%
22.	104	Bloody Sunday (2002)	92%
23.	67	Knafayim Shvurot (Broken Wings) (2002)	93%
24.	93	Nine Queens (Nueve reinas) (2002)	92%
25.	90	Standing in the Shadows of Motown (2002)	92%
26.	46	Scratch (2002)	93%
27.	244	Chicago (2002)	86%
28.	51	Betty Fisher and Other Stories (2002)	92%
29.	103	Lantana (2002)	90%
30.	94	Atanarjuat (2002)	90%
31.	57	The Weather Underground (2002)	91%
32.	53	Murderous Maids (2002)	91%
33.	140	Rabbit-Proof Fence (2002)	88%
34.	99	Russian Ark (2002)	89%
35.	122	Roger Dodger (2002)	88%
36.	201	About Schmidt (2002)	85%
37.	42	The Girl From Paris (2002)	90%
38.	62	Baran (2002)	89%
39.	145	Lilo & Stitch (2002)	86%
40.	64	Late Marriage (2002)	88%
41.	59	I Am Trying to Break Your Heart (2002)	88%
42.	142	Monster's Ball (2002)	85%
43.	42	Springtime in a Small Town (Xiao cheng zhi chun) (2002)	88%
44.	230	Harry Potter and the Chamber of Secrets (2002)	82%
45.	99	24 Hour Party People (2002)	86%
46.	130	Spider (2002)	85%
47.	60	Metropolis (2002)	87%
48.	185	The Bourne Identity (2002)	83%
49.	156	Narc (2002)	83%
50.	57	Son of the Bride (2002)	86%
51.	151	The Rookie (2002)	83%
52.	119	Kissing Jessica Stein (2002)	84%
53.	211	Road to Perdition (2002)	81%
54.	51	Lawless Heart (2002)	86%
55.	82	Blind Spot: Hitler's Secretary (2002)	85%
56.	194	One Hour Photo (2002)	81%
57.	187	The Hours (2002)	81%
58.	82	La Stanza del Figlio (The Son's Room) (2002)	84%
59.	76	Voyage de Morvern Callar (2002)	84%
60.	201	The Royal Tenenbaums (2002)	80%
61.	68	Margaret Cho - Notorious C.H.O. (2002)	84%
62.	156	The Good Girl (2002)	81%
63.	124	Barbershop (2002)	82%
64.	58	Elling (2002)	84%
65.	89	All or Nothing (2002)	83%
66.	84	Real Women Have Curves (2002)	83%
67.	122	Stuart Little 2 (2002)	81%
68.	90	The Believer (2002)	82%
69.	184	Punch-Drunk Love (2002)	79%
70.	53	Pauline & Paulette (2002)	83%
71.	83	Drumline (2002)	82%
72.	47	Satin Rouge (2002)	83%
73.	103	Better Luck Tomorrow (2002)	81%
74.	57	Secret Ballot (2002)	82%
75.	148	Antwone Fisher (2002)	79%
76.	45	Gigantic (2002)	82%
77.	108	Sunshine State (2002)	80%
78.	44	Ghetto (2002)	82%
79.	124	8 Women (8 Femmes) (2002)	79%
80.	88	The Wild Thornberrys Movie (2002)	80%
81.	52	Tully (2002)	81%
82.	206	8 Mile (2002)	76%
83.	47	Biggie and Tupac (2002)	81%
84.	165	Ice Age (2002)	77%
85.	89	Last Orders (2002)	79%
86.	151	Changing Lanes (2002)	77%
87.	182	Panic Room (2002)	76%
88.	202	Gangs of New York (2002)	75%
89.	107	Tadpole (2002)	78%
90.	228	Signs (2002)	74%
91.	130	Undercover Brother (2002)	77%
92.	123	Nicholas Nickleby (2002)	77%
93.	151	Frida (2002)	76%
94.	110	The Dangerous Lives of Altar Boys (2002)	77%
95.	42	Akai Hashi No Shita Noo Nurui Mizu (2002)	79%
96.	129	My Big Fat Greek Wedding (2002)	76%
97.	128	Igby Goes Down (2002)	76%
98.	58	11'09''01 - September 11 (2002)	78%
99.	146	Secretary (2002)	75%
100.	88	Comedian (2002)	76%
1.	253	Finding Nemo (2003)	99%
2.	262	The Lord of the Rings: The Return of the King (2003)	95%
3.	138	The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003)	98%
4.	223	Lost In Translation (2003)	95%
5.	147	Capturing the Friedmans (2003)	97%
6.	76	Bus 174 (_nibus 174) (2003)	99%
7.	132	Winged Migration (2003)	96%
8.	153	The Station Agent (2003)	95%
9.	87	Sweet Sixteen (2003)	97%
10.	181	American Splendor (2003)	94%
11.	48	Chavez: Inside the Coup (2003)	98%
12.	107	Raising Victor Vargas (2003)	96%
13.	59	To Be and to Have (Etre et Avoir) (2003)	97%
14.	79	Festival Express (2003)	96%
15.	141	The Triplets of Belleville (2003)	94%
16.	139	Dirty Pretty Things (2003)	94%
17.	192	School of Rock (2003)	92%
18.	95	"Spring, Summer, Fall, Winter...and Spring (2003)"	95%
19.	85	The Return (Vozvrashcheniye) (2003)	95%
20.	99	Lost in La Mancha (2003)	94%
21.	62	The Best of Youth (La meglio giovent¨´) (2003)	95%
22.	42	Los Angeles Plays Itself (2003)	95%
23.	166	Shattered Glass (2003)	91%
24.	49	Alien Saga (2003)	94%
25.	111	The Man on the Train (2003)	92%
26.	156	Cidade de Deus (City of God) (2003)	90%
27.	147	The Magdalene Sisters (2003)	90%
28.	146	Whale Rider (2003)	90%
29.	83	Saraband (2003)	92%
30.	173	In America (2003)	89%
31.	107	Baadasssss! (2003)	91%
32.	219	28 Days Later (2003)	87%
33.	211	Far From Heaven (2003)	87%
34.	173	A Mighty Wind (2003)	88%
35.	235	X2: X-Men United (2003)	86%
36.	75	Stevie (2003)	91%
37.	194	Mystic River (2003)	87%
38.	98	Io non ho paura (I'm Not Scared) (2003)	90%
39.	148	Freaky Friday (2003)	88%
40.	225	Kill Bill: Volume 1 (2003)	85%
41.	151	The Quiet American (2003)	87%
42.	210	Master and Commander: The Far Side of the World (2003)	85%
43.	65	Tokyo Godfathers (2003)	89%
44.	63	In This World (2003)	89%
45.	188	Elf (2003)	84%
46.	123	Zat_ichi (The Blind Swordsman: Zatoichi) (2003)	86%
47.	59	The Five Obstructions (2003)	88%
48.	57	The Son (2003)	88%
49.	150	Bend It like Beckham (2003)	85%
50.	42	Yossi & Jagger (2003)	88%
51.	102	Intimate Strangers (2003)	86%
52.	67	Lilja 4-ever (2003)	87%
53.	63	The Cuckoo (2003)	87%
54.	60	Dracula: Pages From a Virgin's Diary (2003)	87%
55.	151	Swimming Pool (2003)	84%
56.	53	Noi the Albino (N¨®i alb¨ªn¨®i) (2003)	87%
57.	147	Pieces of April (2003)	84%
58.	52	Ten (2003)	87%
59.	95	The Secret Lives of Dentists (2003)	85%
60.	182	Matchstick Men (2003)	82%
61.	49	Tibet: Cry of the Snow Lion (2003)	86%
62.	80	Monsieur Ibrahim et les fleurs du Coran (Monsieur Ibrahim) (2003)	85%
63.	59	A Tale of Two Sisters (2003)	85%
64.	52	Chaos (2003)	85%
65.	64	Gloomy Sunday (2003)	84%
66.	150	Thirteen (2003)	81%
67.	178	21 Grams (2003)	80%
68.	208	Pirates of the Caribbean: The Curse of the Black Pearl (2003)	79%
69.	130	The Barbarian Invasions (Les Invasions barbares) (2003)	81%
70.	213	Bad Santa (2003)	78%
71.	179	Open Range (2003)	79%
72.	48	Bukowski: Born into This (2003)	83%
73.	79	Step Into Liquid (2003)	82%
74.	40	Chihwaseon (2003)	83%
75.	65	Stone Reader (2003)	82%
76.	159	Confessions of a Dangerous Mind (2003)	79%
77.	61	Amandla! A Revolution in Four-Part Harmony (2003)	82%
78.	214	Big Fish (2003)	77%
79.	85	Blue Car (2003)	81%
80.	44	Charlotte Sometimes (2003)	82%
81.	201	Seabiscuit (2003)	77%
82.	166	25th Hour (2003)	78%
83.	100	Ghosts of the Abyss (2003)	80%
84.	68	Divine Intervention (2003)	81%
85.	82	I Capture the Castle (2003)	80%
86.	143	The Good Thief (2003)	78%
87.	171	The Cooler (2003)	77%
88.	104	Bubba Ho-Tep (2003)	79%
89.	69	Mondays in the Sun (Los Lunes al sol) (2003)	80%
90.	94	Owning Mahowny (2003)	79%
91.	141	Peter Pan (2003)	77%
92.	133	Holes (2003)	77%
93.	88	Tupac: Resurrection (2003)	78%
94.	180	Intolerable Cruelty (2003)	75%
95.	53	Friday Night (2003)	79%
96.	177	House of Sand and Fog (2003)	75%
97.	238	The Matrix Reloaded (2003)	73%
98.	47	Stoked: The Rise and Fall of Gator (2003)	79%
99.	90	L'Auberge Espagnole (2003)	77%
100.	60	Une femme de m¨¦nage (2003)	77%
1.	233	The Incredibles (2004)	97%
2.	223	Sideways (2004)	96%
3.	139	Maria Full of Grace (2004)	97%
4.	200	Hero (2004)	95%
5.	73	Moolaad¨¦ (2004)	99%
6.	261	Spider-Man 2 (2004)	93%
7.	68	The Twilight Samurai (Tasogare Seibei) (2004)	99%
8.	171	Before Sunset (2004)	95%
9.	233	Eternal Sunshine Of The Spotless Mind (2004)	93%
10.	55	Since Otar Left (2004)	98%
11.	53	Les Parapluies de Cherbourg (2004)	98%
12.	109	Control Room (2004)	96%
13.	106	Born Into Brothels (2004)	96%
14.	102	Osama (2004)	96%
15.	253	Million Dollar Baby (2004)	91%
16.	250	Harry Potter and the Prisoner of Azkaban (2004)	91%
17.	170	Super Size Me (2004)	93%
18.	201	Shaun of the Dead (2004)	92%
19.	48	Plagues & Pleasures on the Salton Sea (2004)	96%
20.	45	Lost Boys of Sudan (2004)	96%
21.	138	Touching the Void (2004)	93%
22.	102	The Story of the Weeping Camel (2004)	94%
23.	157	Vera Drake (2004)	92%
24.	62	End of the Century: The Story of the Ramones (2004)	95%
25.	71	The Agronomist (2004)	94%
26.	194	Kinsey (2004)	90%
27.	95	Riding Giants (2004)	93%
28.	189	Hotel Rwanda (2004)	90%
29.	92	Nobody Knows (Dare mo shiranai) (2004)	93%
30.	91	My Architect (2004)	93%
31.	233	Shrek 2 (2004)	88%
32.	136	Downfall (Der Untergang) (2004)	91%
33.	102	Tarnation (2004)	92%
34.	90	Shaolin Soccer (2004)	91%
35.	120	Mean Creek (2004)	90%
36.	213	The Aviator (2004)	87%
37.	51	La demoiselle d'honneur (The Bridesmaid) (2004)	92%
38.	110	The Corporation (2004)	90%
39.	107	"Good Bye, Lenin! (2004)"	90%
40.	167	House of Flying Daggers (2004)	88%
41.	228	Collateral (2004)	86%
42.	122	Metallica: Some Kind of Monster (2004)	89%
43.	87	My Summer of Love (2004)	90%
44.	43	Donnie Darko: The Director's Cut (2004)	91%
45.	137	Bad Education (2004)	88%
46.	69	Dig! (2004)	90%
47.	130	The Woodsman (2004)	88%
48.	187	Garden State (2004)	86%
49.	83	Going Upriver: The Long War of John Kerry (2004)	89%
50.	75	Kitchen Stories (2004)	89%
51.	72	Brothers (2004)	89%
52.	230	Kill Bill: Volume 2 (2004)	84%
53.	40	Last Life in the Universe (2004)	90%
54.	40	James' Journey to Jerusalem (2004)	90%
55.	229	Fahrenheit 9/11 (2004)	83%
56.	90	3-Iron (2004)	87%
57.	50	Touch The Sound (2004)	88%
58.	76	Mayor of the Sunset Strip (2004)	87%
59.	202	Finding Neverland (2004)	83%
60.	43	Uzak (Distant) (2004)	88%
61.	63	Lightning in a Bottle (2004)	87%
62.	154	The Motorcycle Diaries (2004)	84%
63.	175	Mean Girls (2004)	83%
64.	79	Wilbur Wants to Kill Himself (2004)	86%
65.	46	Guerrilla: The Taking of Patty Hearst (2004)	87%
66.	73	Crimson Gold (2004)	86%
67.	167	In Good Company (2004)	83%
68.	131	The Sea Inside (Mar Adentro) (The Sea Within) (2004)	84%
69.	58	Aileen: Life and Death of a Serial Killer (2004)	86%
70.	184	Monster (2004)	82%
71.	57	Bright Leaves (2004)	86%
72.	201	The Manchurian Candidate (2004)	81%
73.	198	Ray (2004)	81%
74.	198	Hellboy (2004)	81%
75.	190	The Bourne Supremacy (2004)	81%
76.	59	Outfoxed: Rupert Murdoch's War on Journalism (2004)	85%
77.	83	The Yes Men (2004)	84%
78.	168	Friday Night Lights (2004)	81%
79.	86	Red Lights (2004)	83%
80.	65	Up and Down (Horem P¨¢dem) (Loop the Loop) (2004)	83%
81.	64	Somersault (2004)	83%
82.	158	Miracle (2004)	80%
83.	46	Broadway: The Golden Age (2004)	83%
84.	194	Team America: World Police (2004)	77%
85.	144	A Very Long Engagement (2004)	78%
86.	227	Crash (2004)	75%
87.	114	Two Brothers (2004)	78%
88.	141	The Machinist (2004)	77%
89.	76	American Experience (2004)	79%
90.	41	Tae Guk Gi: The Brotherhood of War (2004)	80%
91.	101	The Saddest Music in the World (2004)	78%
92.	181	Dawn of the Dead (2004)	75%
93.	77	Overnight (2004)	78%
94.	123	Being Julia (2004)	76%
95.	88	The Mother (2004)	77%
96.	70	It's All Gone Pete Tong (2004)	77%
97.	95	Bon Voyage (2004)	76%
98.	147	Harold & Kumar Go to White Castle (2004)	74%
99.	208	Sky Captain and the World of Tomorrow (2004)	72%
100.	48	Uncovered: The War on Iraq (2004)	77%
1.	138	Murderball (2005)	98%
2.	176	Wallace & Gromit: The Curse of the Were-Rabbit (2005)	95%
3.	117	Enron: The Smartest Guys in the Room (2005)	97%
4.	216	"Good Night, And Good Luck (2005)"	93%
5.	180	March of the Penguins (2005)	94%
6.	98	The Wild Parrots of Telegraph Hill (2005)	95%
7.	141	The Squid and the Whale (2005)	93%
8.	136	Grizzly Man (2005)	93%
9.	246	Harry Potter and the Goblet of Fire (2005)	88%
10.	182	Capote (2005)	90%
11.	182	Kung Fu Hustle (2005)	90%
12.	234	Brokeback Mountain (2005)	87%
13.	61	Duma (2005)	93%
14.	61	Ushpizin (2005)	93%
15.	59	Travelers and Magicians (2005)	93%
16.	187	Broken Flowers (2005)	88%
17.	267	Batman Begins (2005)	85%
18.	207	A History of Violence (2005)	87%
19.	123	Tristram Shandy: A Cock & Bull Story (2005)	90%
20.	90	Water (2005)	91%
21.	52	Darwin's Nightmare (2005)	92%
22.	131	Cach¨¦ (2005)	89%
23.	48	Up for Grabs (2005)	92%
24.	257	King Kong (2005)	84%
25.	172	Howl's Moving Castle (2005)	87%
26.	58	Ballets Russes (2005)	91%
27.	83	Head-On (2005)	90%
28.	159	Millions (2005)	87%
29.	46	After Innocence (2005)	91%
30.	99	Paradise Now (2005)	89%
31.	51	New York Doll (2005)	90%
32.	181	The 40 Year Old Virgin (2005)	85%
33.	171	Pride and Prejudice (2005)	85%
34.	171	"Kiss Kiss, Bang Bang (2005)"	85%
35.	221	Charlie and the Chocolate Factory (2005)	83%
36.	53	Tony Takitani (2005)	89%
37.	183	The Constant Gardener (2005)	84%
38.	128	Junebug (2005)	86%
39.	72	Turtles Can Fly (2005)	88%
40.	98	Look at Me (2005)	87%
41.	124	The Proposition (2005)	86%
42.	64	Tell Them Who You Are (2005)	88%
43.	56	Rois et Reine (Kings and Queen) (2005)	88%
44.	83	Saving Face (2005)	87%
45.	51	The Cave of the Yellow Dog (Die Hohle des gelben Hundes) (2005)	88%
46.	187	Tim Burton's Corpse Bride (2005)	83%
47.	105	Ong-Bak (Ong Bak: Muay Thai Warrior) (2005)	86%
48.	49	Shake Hands with the Devil: The Journey of Romeo Dallaire (2005)	88%
49.	96	The Heart of the Game (2005)	86%
50.	41	The Syrian Bride (2005)	88%
51.	204	Walk the Line (2005)	82%
52.	283	Star Wars: Episode III - Revenge of the Sith (2005)	79%
53.	114	2046 (2005)	85%
54.	104	Gunner Palace (2005)	85%
55.	180	Serenity (2005)	82%
56.	95	De Battre mon Coeur s'est Arr¨ºt¨¦ (The Beat That My Heart Skipped) (2005)	85%
57.	117	Mad Hot Ballroom (2005)	84%
58.	50	Three Times (Zui hao de shi guang) (2005)	86%
59.	103	Mysterious Skin (2005)	84%
60.	155	Hustle & Flow (2005)	82%
61.	209	Cinderella Man (2005)	80%
62.	120	Inside Deep Throat (2005)	83%
63.	140	The World's Fastest Indian (2005)	82%
64.	245	Sin City (2005)	78%
65.	53	The Perfect Crime (El Crimen Perfecto)(Crimen ferpecto) (2005)	85%
66.	41	La Moustache (2005)	85%
67.	67	De Zaak Alzheimer (2005)	84%
68.	67	13 Tzameti (2005)	84%
69.	90	Rize (2005)	83%
70.	62	Beyond the Gates (2005)	84%
71.	62	Three...Extremes (Saam gaang yi) (2005)	84%
72.	61	Aliens of the Deep (2005)	84%
73.	135	Layer Cake (2005)	81%
74.	186	Red Eye (2005)	79%
75.	201	Munich (2005)	78%
76.	111	Me and You and Everyone We Know (2005)	81%
77.	110	Dear Frankie (2005)	81%
78.	133	Oldboy (2005)	80%
79.	77	Rock School (2005)	82%
80.	48	Lost Embrace (2005)	83%
81.	42	The Warrior (2005)	83%
82.	149	The Aristocrats (2005)	79%
83.	66	Control (2005)	82%
84.	61	Keane (2005)	82%
85.	210	"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe (2005)"	76%
86.	208	Match Point (2005)	76%
87.	251	War of the Worlds (2005)	74%
88.	86	Pooh's Heffalump Movie (2005)	79%
89.	129	The Sisterhood of the Traveling Pants (2005)	77%
90.	182	Wedding Crashers (2005)	75%
91.	163	In Her Shoes (2005)	75%
92.	158	Zathura (2005)	75%
93.	181	The Upside of Anger (2005)	74%
94.	65	CSA: The Confederate States of America (2005)	78%
95.	75	The Beautiful Country (2005)	77%
96.	172	Land of the Dead (2005)	73%
97.	62	Balzac and the Little Chinese Seamstress (2005)	77%
98.	192	Syriana (2005)	72%
99.	58	The Holy Girl (2005)	76%
100.	84	Nine Lives (2005)	75%
1.	246	Casino Royale (2006)	95%
2.	186	The Queen (2006)	97%
3.	224	Pan's Labyrinth (2006)	95%
4.	72	Deliver Us from Evil (2006)	100%
5.	237	Children of Men (2006)	92%
6.	263	The Departed (2006)	91%
7.	64	The War Tapes (2006)	98%
8.	212	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)	92%
9.	49	Mountain Patrol: Kekexili (2006)	98%
10.	49	Blindsight (2006)	98%
11.	121	Wordplay (2006)	95%
12.	159	An Inconvenient Truth (2006)	93%
13.	208	Little Miss Sunshine (2006)	91%
14.	152	The Lives of Others (2006)	93%
15.	203	United 93 (2006)	91%
16.	197	Letters from Iwo Jima (2006)	91%
17.	83	Offside (2006)	95%
18.	108	Ne le Dis ¨¤ Personne (Tell No One) (2006)	94%
19.	54	Deep Water (2006)	96%
20.	161	Volver (2006)	92%
21.	65	49 Up (2006)	95%
22.	125	Dave Chappelle's Block Party (2006)	92%
23.	50	American Experience (2006)	94%
24.	74	The Death of Mr. Lazarescu (2006)	93%
25.	154	Half Nelson (2006)	90%
26.	68	Lassie (2006)	93%
27.	56	Brand Upon the Brain! (2006)	93%
28.	45	Blame It on Fidel (La Faute a Fidel) (2006)	93%
29.	149	Venus (2006)	89%
30.	63	Fateless (2006)	92%
31.	48	Still Life (Sanxia Haoren) (2006)	92%
32.	181	The Last King of Scotland (2006)	87%
33.	98	Neil Young: Heart of Gold (2006)	90%
34.	65	Iraq in Fragments (2006)	91%
35.	198	Inside Man (2006)	86%
36.	171	Notes on a Scandal (2006)	87%
37.	106	The Devil and Daniel Johnston (2006)	89%
38.	73	Duck Season (Temporada de patos) (2006)	90%
39.	179	Thank You for Smoking (2006)	86%
40.	122	Dixie Chicks - Shut Up and Sing (2006)	88%
41.	104	Who Killed the Electric Car? (2006)	88%
42.	76	Starter for 10 (2006)	89%
43.	49	What She Knew (2006)	90%
44.	127	The Namesake (2006)	87%
45.	171	The Descent (2006)	85%
46.	136	Slither (2006)	86%
47.	80	Reprise (2006)	88%
48.	53	Sir! No Sir! (2006)	89%
49.	103	Efter brylluppet (After the Wedding) (2006)	87%
50.	101	Jesus Camp (2006)	87%
51.	46	El Aura (The Aura) (2006)	89%
52.	95	Sophie Scholl: The Final Days (2006)	87%
53.	140	The Three Burials of Melquiades Estrada (2006)	85%
54.	106	L'Enfant (2006)	86%
55.	51	Mutual Appreciation (2006)	88%
56.	48	Maxed Out (2006)	88%
57.	48	Man Push Cart (2006)	88%
58.	95	The Road To Guantanamo (2006)	86%
59.	95	Quincea_era (2006)	86%
60.	136	Akeelah and the Bee (2006)	84%
61.	54	The Beauty Academy of Kabul (2006)	87%
62.	47	The Ground Truth (2006)	87%
63.	117	This Film Is Not Yet Rated (2006)	84%
64.	86	Old Joy (2006)	85%
65.	191	A Prairie Home Companion (2006)	81%
66.	72	Sweet Land (2006)	85%
67.	43	Kr¨¢ska v Nesn¨¢z¨ªch (Beauty in Trouble) (2006)	86%
68.	65	Air Guitar Nation (2006)	85%
69.	85	Paprika (2006)	84%
70.	54	Bamako (2006)	85%
71.	128	Tsotsi (Thug) (2006)	82%
72.	158	Little Children (2006)	80%
73.	50	Independent Lens (2006)	84%
74.	258	Superman Returns (2006)	76%
75.	200	Dreamgirls (2006)	78%
76.	138	Brick (2006)	80%
77.	53	The Year My Parents Went on Vacation (O Ano em Que Meus Pais Sa¨ªram de F¨¦rias) (2006)	83%
78.	48	Come Early Morning (2006)	83%
79.	72	Priceless (2006)	82%
80.	60	Once in a Lifetime: The Extraordinary Story of the New York Cosmos (2006)	82%
81.	78	Sketches of Frank Gehry (2006)	81%
82.	143	Charlotte's Web (2006)	78%
83.	62	Fong juk (Exiled) (2006)	81%
84.	112	Why We Fight (2006)	79%
85.	111	District B13 (Banlieue 13) (2006)	79%
86.	188	The Prestige (2006)	76%
87.	75	Riding Alone for Thousands of Miles (2006)	80%
88.	47	Taxidermia (2006)	81%
89.	176	Rocky Balboa (2006)	76%
90.	187	The Devil Wears Prada (2006)	75%
91.	238	V for Vendetta (2006)	73%
92.	143	Catch a Fire (2006)	76%
93.	196	Cars (2006)	74%
94.	168	Over the Hedge (2006)	75%
95.	135	Transamerica (2006)	76%
