Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
20,20,Jurassic Park,Uni.,1029.2,402.5,626.7,1993^,"June 11, 1993",Sci-Fi Horror, 2 hrs. 7 min.,PG-13,63 ,47026828,David Koepp,Sam NeillJeff GoldblumLaura DernRichard AttenboroughSamuel L. Jackson*,John Williams,2566,8.1
21,21,Star Wars: Episode I - The Phantom Menace,Fox,1027.0,474.5,552.5,1999^,"May 19, 1999",Sci-Fi Fantasy, 2 hrs. 13 min.,PG,115 ,64820970,261 days / 37.3 weeks,George Lucas,Anthony DanielsIan McDiarmidLiam NeesonEwan McGregorNatalie PortmanSamuel L. Jackson*Keira Knightley*,3126,6.5
22,22,Alice in Wonderland (2010),BV,1025.5,334.2,691.3,2010,"March 5, 2010",Family Adventure, 1 hrs. 49 min.,PG,200 ,116101023,126 days / 18 weeks,Tim Burton,Mia WasikowskaJohnny DeppHelena Bonham CarterAnne HathawayCrispin GloverMichael Sheen (Voice)Alan Rickman (Voice)Timothy Spall (Voice),3739,6.5
23,23,The Hobbit: An Unexpected Journey,WB (NL),1021.1,303,718.1,2012,"December 14, 2012",Fantasy, 2 hrs. 46 min.,PG-13,,84617303,133 days / 19 weeks,Peter Jackson,Martin FreemanIan McKellenRichard ArmitageAndy Serkis (Voice)Cate BlanchettHugo WeavingChristopher Lee*Ian Holm*Elijah Wood*,4100,7.9
24,24,The Dark Knight,WB,1004.6,534.9,469.7,2008^,"July 18, 2008",Action / Adventure, 2 hrs. 30 min.,PG-13,185 ,158411483,231 days / 33 weeks,Christopher Nolan,Christian BaleHeath LedgerAaron EckhartMorgan FreemanMichael CaineGary OldmanMaggie GyllenhaalEric RobertsMichael Jai White*William Fichtner*Cillian Murphy*,4366,9.0
25,25,The Lion King,BV,987.5,422.8,564.7,1994^,"June 15, 1994",Animation, 1 hrs. 29 min.,G,45 ,"June 15 1994 (limited)
 June 24 1994 (wide)",,,,,8.5
26,26,Harry Potter and the Sorcerer's Stone,WB,974.8,317.6,657.2,2001,"November 16, 2001",Fantasy, 2 hrs. 33 min.,PG,125 ,90294621,Steve Kloves,Daniel RadcliffeEmma WatsonRupert GrintRobbie ColtraneAlan Rickman*,John Williams,3672,7.5
27,27,Despicable Me 2,Uni.,970.8,368.1,602.7,2013,"July 3, 2013",Animation, 1 hrs. 38 min.,PG,76 ,83517315,Pierre CoffinChris Renaud,Ken DaurioCinco Paul,Janet HealyChristopher Meledandri,4003,7.5
28,28,Pirates of the Caribbean: At World's End,BV,963.4,309.4,654.0,2007,"May 25, 2007",Period Adventure, 2 hrs. 48 min.,PG-13,300 ,114732820,133 days / 19 weeks,Gore Verbinski,Johnny DeppOrlando BloomKeira KnightleyChow Yun-FatGeoffrey RushJack DavenportBill NighyJonathan PryceStellan SkarsgardTom HollanderNaomie Harris,4362,7.1
29,29,Harry Potter and the Deathly Hallows Part 1,WB,960.3,296,664.3,2010,"November 19, 2010",Fantasy, 2 hrs. 30 min.,PG-13,,125017372,David Yates,Steve Kloves,Alexandre Desplat,4125,7.7
30,30,The Hobbit: The Desolation of Smaug,WB (NL),958.4,258.4,700.0,2013,"December 13, 2013",Fantasy, 2 hrs. 41 min.,PG-13,,73645197,126 days / 18 weeks,Peter Jackson,Martin FreemanIan McKellenRichard ArmitageOrlando BloomEvangeline LillyBenedict Cumberbatch (Voice)Luke EvansLee PaceCate Blanchett*,3928,7.9
31,31,The Hobbit: The Battle of the Five Armies,WB (NL),956.0,255.1,700.9,2014,"December 17, 2014",Fantasy, 2 hrs. 24 min.,PG-13,,54724334,107 days / 15.3 weeks,Peter Jackson,Ian McKellenMartin FreemanRichard ArmitageLee PaceLuke EvansOrlando BloomEvangeline LillyHugo WeavingChristopher LeeCate BlanchettBenedict Cumberbatch (Voice),3875,7.5
32,32,Harry Potter and the Order of the Phoenix,WB,939.9,292,647.9,2007,"July 11, 2007",Fantasy, 2 hrs. 19 min.,PG-13,150 ,77108414,156 days / 22.3 weeks,David Yates,Daniel RadcliffeRupert GrintEmma WatsonHelena Bonham Carter*Robbie Coltrane*Warwick Davis*Ralph FiennesMichael GambonBrendan Gleeson*Richard Griffiths*Jason Isaacs*Gary OldmanAlan Rickman*Fiona Shaw*Maggie Smith*Imelda StauntonDavid Thewlis*Emma Thompson*Julie Walters*Robert Pattinson*,4285,7.5
33,33,Finding Nemo,BV,936.7,380.8,555.9,2003^,"May 30, 2003",Animation, 1 hrs. 44 min.,G,94 ,70251710,203 days / 29 weeks,Andrew StantonLee Unkrich,Albert Brooks (Voice)Ellen DeGeneres (Voice)Willem Dafoe* (Voice)Eric Bana* (Voice)Geoffrey Rush* (Voice),3425,8.1
34,34,Harry Potter and the Half-Blood Prince,WB,934.4,302,632.5,2009,"July 15, 2009",Fantasy, 2 hrs. 33 min.,PG,250 ,77835727,156 days / 22.3 weeks,David Yates,Daniel RadcliffeRupert GrintEmma WatsonJim BroadbentHelena Bonham CarterRobbie Coltrane*Warwick Davis*Michael GambonAlan RickmanMaggie Smith*Timothy Spall*David Thewlis*Julie Walters*,4455,7.5
35,35,The Lord of the Rings: The Two Towers,NL,926.0,342.6,583.5,2002^,"December 18, 2002",Fantasy, 2 hrs. 59 min.,PG-13,94 ,926047111,,,,,8.7
36,36,Shrek 2,DW,919.8,441.2,478.6,2004,"May 19, 2004",Animation, 1 hrs. 33 min.,PG,150 ,108037878,149 days / 21.3 weeks,Andrew AdamsonKelly AsburyConrad Vernon,Mike Myers (Voice)Cameron Diaz (Voice)Eddie Murphy (Voice)Antonio Banderas (Voice)Julie Andrews* (Voice),4223,7.2
37,37,Harry Potter and the Goblet of Fire,WB,896.9,290,606.9,2005,"November 18, 2005",Fantasy, 2 hrs. 33 min.,PG-13,150 ,102685961,140 days / 20 weeks,Mike Newell,Warwick DavisDaniel RadcliffeEmma WatsonRupert GrintRalph FiennesBrendan GleesonRobert PattinsonGary Oldman*Alan Rickman*,3858,7.6
38,38,Spider-Man 3,Sony,890.9,336.5,554.3,2007,"May 4, 2007",Action / Adventure, 2 hrs. 20 min.,PG-13,258 ,151116516,112 days / 16 weeks,Sam Raimi,Tobey MaguireKirsten DunstJames FrancoThomas Haden ChurchTopher GraceBryce Dallas HowardElizabeth Banks*Willem Dafoe* (Cameo),4324,6.2
39,39,Ice Age: Dawn of the Dinosaurs,Fox,886.7,196.6,690.1,2009,"July 1, 2009",Animation, 1 hrs. 27 min.,PG,90 ,41690382,149 days / 21.3 weeks,Carlos Saldanha,Ray Romano (Voice)John Leguizamo (Voice)Denis Leary (Voice)Queen Latifah (Voice)Simon Pegg (Voice)Kristen Wiig* (Voice)Joey King*,4102,7.0
40,40,Spectre,Sony,879.5,199.8,679.7,2015,"November 6, 2015",Action, 2 hrs. 28 min.,PG-13,245 ,879499914,,,,,6.9
41,41,Harry Potter and the Chamber of Secrets,WB,879.0,262,617.0,2002,"November 15, 2002",Fantasy, 2 hrs. 41 min.,PG,100 ,88357488,171 days / 24.4 weeks,Chris Columbus,Warwick DavisDaniel RadcliffeRupert GrintEmma WatsonRobbie ColtraneKenneth BranaghAlan Rickman*,3682,7.4
42,42,Ice Age: Continental Drift,Fox,877.2,161.3,715.9,2012,"July 13, 2012",Animation, 1 hrs. 34 min.,PG,95 ,46629259,210 days / 30 weeks,Ray Romano (Voice)Queen Latifah (Voice)Denis Leary (Voice)John Leguizamo (Voice)Jennifer Lopez (Voice)Josh Peck* (Voice)Seann William Scott* (Voice)Alan Tudyk* (Voice)Nick Frost* (Voice)Aziz Ansari* (Voice)Nicki Minaj* (Voice)Rebel Wilson* (Voice),John Powell,3886,6.7
43,43,The Lord of the Rings: The Fellowship of the Ring,NL,871.5,315.5,556.0,2001^,"December 19, 2001",Fantasy, 2 hrs. 58 min.,PG-13,93 ,871530324,,,,,8.8
