"number" "rank" "title" "studio" "worldwide" "domestic" "overseas" "release_date" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "director2" "star1" "star2" "budget" "per" "title1" "sh" "shb" "series" "rn" "to_rating" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"64" 64 64 "The Hunger Games: Mockingjay - Part 1" "LGF" 755.4 337.1 418.2 "November 21" 2014 "AA" "PG-13" 4151 6.7 "AA" "" 121.9 123 17 "Francis Lawrence" "" "Jennifer Lawrence" "Josh Hutcherson" 125 "hs" "thehungergames:mockingjaypart1" 0 0 1 NA NA 2.7 "8.17" 358.97 129.81 133.11 3 5 106 16 157 20
"65" 65 65 "Shrek Forever After" "P/DW" 752.6 238.7 513.9 "May 21" 2010 "Animation" "PG" 4386 6.4 "Animation" "" NA 93 NA "Mike Mitchell" "" "Mike Myers" "Eddie Murphy" 165 "ss" "shrekforeverafter" 0 0 0 NA NA 1.45 "7.89" 263.21 NA 181.94 6 6 28 30 38 67
"66" 66 66 "X-Men: Days of Future Past" "Fox" 747.9 233.9 513.9 "May 23" 2014 "AA" "PG-13" 4001 8 "AA" "" 90.8 131 20 "Bryan Singer" "" "Hugh Jackman" "James McAvoy" 200 "ss" "xmen:daysoffuturepast" 4 1 1 274 80 1.17 "8.17" 249.07 96.69 212.97 14 20 20 11 71 25
"67" 67 67 "Madagascar 3: Europe's Most Wanted" "P/DW" 746.9 216.4 530.5 "June 8" 2012 "Animation" "PG" 4263 6.9 "Animation" "" 60.3 93 19 "Eric Darnell" "Tom McGrath" "Ben Stiller" "Chris Rock" 145 "ss" "madagascar3:europe'smostwanted" 0 0 1 NA NA 1.49 "7.96" 236.52 65.91 158.48 0 2 13 18 52 60
"68" 68 68 "The Chronicles of Narnia: The Lion the Witch and the Wardrobe" "BV" 745 291.7 453.3 "December 9" 2005 "Fantasy" "PG" 3853 6.9 "Fantasy" "" 65.6 132 22 "Andrew Adamson" "" "Georgie Henley" "Skandar Keynes" 180 "hs" "thechroniclesofnarnia:thelionthewitchandthewardrobe" 0 0 1 210 64 1.62 "6.41" 395.91 89.04 244.31 7 19 3 1 10 3
"69" 69 69 "Monsters University" "BV" 743.6 268.5 475.1 "June 21" 2013 "Animation" "G" 4004 7.4 "Animation" "" 82.4 107 26 "Dan Scanlon" "" "Billy Crystal" "John Goodman" NA "ss" "monstersuniversity" 0 0 0 NA NA NA "8.13" 287.32 88.18 NA NA NA 30 20 47 62
"70" 70 70 "The Matrix Reloaded" "WB" 742.1 281.6 460.6 "May 15" 2003 "Sci-Fi Action" "R" 3603 7.2 "Sci-Fi" "Action" 91.8 138 26.1 "Lana Wachowski" "Lilly Wachowski" "Ray Anthony" "Christine Anu" 150 "ns" "thematrixreloaded" 0 0 0 238 61 1.88 "6.03" 406.29 132.45 216.42 10 22 0 12 1 36
"71" 71 71 "Up" "BV" 731.3 293 438.3 "May 29" 2009 "Animation" "PG" 3886 8.3 "Animation" "" 68.1 96 23 "Pete Docter" "Bob Peterson" "Edward Asner" "Christopher Plummer" 175 "ss" "up" 0 0 0 48 85 1.67 "7.50" 339.88 79 203 41 56 24 43 24 53
"72" 72 72 "Gravity" "WB" 723.2 274.1 449.1 "October 4" 2013 "Sci-Fi Thriller" "PG-13" 3820 7.9 "Sci-Fi" "Thriller" 55.8 91 31 "Alfonso Cuar¨®n" "" "Sandra Bullock" "George Clooney" 100 "ns" "gravity" 0 0 0 306 86 2.74 "8.13" 293.32 59.71 107.01 100 89 72 87 102 193
"73" 73 73 "Captain America: The Winter Soldier" "BV" 714.4 259.8 454.7 "April 4" 2014 "AA" "PG-13" 3938 7.8 "AA" "" 95 136 20 "Anthony Russo" "Joe Russo" "Chris Evans" "Samuel L. Jackson" 170 "ns" "captainamerica:thewintersoldier" 1 1 1 254 78 1.53 "8.17" 276.65 101.16 181.03 2 26 4 31 26 76
"74" 74 74 "The Twilight Saga: Breaking Dawn Part 1" "Sum." 712.2 281.3 430.9 "November 18" 2011 "Romance" "PG-13" 4066 4.9 "Romance" "" 138.1 108 14 "Bill Condon" "" "Taylor Lautner" "Gil Birmingham" 110 "ns" "thetwilightsaga:breakingdawnpart1" 0 0 1 NA NA 2.56 "7.93" 308.61 151.51 120.68 19 40 18 1 28 0
"75" 75 75 "Dawn of the Planet of the Apes" "Fox" 710.6 208.5 502.1 "July 11" 2014 "Sci-Fi Action" "PG-13" 3969 7.6 "Sci-Fi" "Action" 72.6 130 21 "Matt Reeves" "" "Andy Serkis" "Jason Clarke" 170 "ss" "dawnoftheplanetoftheapes" 0 0 0 268 79 1.23 "8.17" 222.03 77.31 181.03 2 6 30 0 42 4
"76" 76 76 "The Twilight Saga: New Moon" "Sum." 709.7 296.6 413.1 "November 20" 2009 "Romance" "PG-13" 4124 4.6 "Romance" "" 142.8 130 19 "Chris Weitz" "" "Kristen Stewart" "Christina Jastrzembska" 50 "hs" "thetwilightsaga:newmoon" 0 0 1 NA NA 5.93 "7.50" 344.06 165.65 58 2 10 41 NA 53 NA
"77" 77 77 "Transformers" "P/DW" 709.7 319.2 390.5 "July 3" 2007 "Sci-Fi Action" "PG-13" 4050 7.1 "Sci-Fi" "Action" NA 143 NA "Michael Bay" "" "Shia LaBeouf" "Megan Fox" 150 "ss" "transformers" 0 0 0 NA NA 2.13 "6.88" 403.64 NA 189.68 7 10 11 6 38 18
"78" 78 78 "The Amazing Spider-Man 2" "Sony" 709 202.9 506.1 "May 2" 2014 "AA" "PG-13" 4324 6.8 "AA" "" 91.6 142 15.4 "Marc Webb" "" "Andrew Garfield" "Emma Stone" NA "ns" "theamazingspiderman2" 3 1 1 NA NA NA "8.17" 216.06 97.54 NA 3 4 11 36 51 76
"79" 79 79 "The Twilight Saga: Eclipse" "Sum." 698.5 300.5 398 "June 30" 2010 "Romance" "PG-13" 4468 4.9 "Romance" "" 64.8 124 16.3 "David Slade" "" "Xavier Samuel" "Kristen Stewart" 68 "ss" "thetwilightsaga:eclipse" 0 0 1 NA NA 4.42 "7.89" 331.35 71.45 74.98 4 16 1 41 3 53
"80" 80 80 "Mission: Impossible - Ghost Protocol" "Par." 694.7 209.4 485.3 "December 16" 2011 "Action" "PG-13" NA 7.4 "Action" "" NA 132 NA "Brad Bird" "" "Tom Cruise" "Paula Patton" 145 "hs" "mission:impossibleghostprotocol" 0 0 1 230 82 1.44 "7.93" 229.73 NA 159.08 30 25 39 1 76 11
"81" 81 81 "The Hunger Games" "LGF" 694.4 408 286.4 "March 23" 2012 "AA" "PG-13" 4137 7.3 "AA" "" 152.5 142 24 "Gary Ross" "" "Stanley Tucci" "Wes Bentley" 78 "ns" "thehungergames" 0 0 0 278 73 5.23 "7.96" 445.93 166.68 85.25 8 21 25 5 47 10
"82" 82 82 "Mission: Impossible - Rogue Nation" "Par." 682.3 195 487.3 "July 31" 2015 "Action" "PG-13" 3988 7.5 "Action" "" 55.5 130 13 "Christopher McQuarrie" "" "Tom Cruise" "Jeremy Renner" 150 "ss" "mission:impossibleroguenation" 0 0 1 263 82 1.3 "8.43" 201.25 57.28 154.8 8 3 39 30 76 53
"83" 83 83 "Forrest Gump" "Par." 677.9 330.3 347.7 "July 6" 1994 "Comedy / Drama" "PG-13" NA 8.8 "Comedy" "Drama" NA 141 NA "Robert Zemeckis" "" "Tom Hanks" "Rebecca Williams" 55 "ss" "forrestgump" 0 0 0 83 60 6.01 "4.18" 687.47 NA 114.47 33 33 76 NA 115 NA
"84" 84 84 "Interstellar" "Par." 675.1 188 487.1 "November 5" 2014 "Sci-Fi Adventure" "PG-13" NA 8.6 "Sci-Fi" "Adventure" NA 169 NA "Christopher Nolan" "" "Ellen Burstyn" "Matthew McConaughey" 165 "ns" "interstellar" 0 0 0 NA NA 1.14 "8.17" 200.2 NA 175.7 121 160 32 42 49 75
"85" 85 85 "The Sixth Sense" "BV" 672.8 293.5 379.3 "August 6" 1999 "Horror" "PG-13" 2821 8.1 "Horror" "" NA 107 NA "M. Night Shyamalan" "" "Bruce Willis" "Haley Joel Osment" 40 "ss" "thesixthsense" 0 0 0 149 74 7.34 "5.08" 502.65 NA 68.5 12 36 21 25 37 28
"86" 86 86 "Man of Steel" "WB" 668 291 377 "June 14" 2013 "AA" "PG-13" 4207 7.2 "AA" "" 116.6 143 14 "Zack Snyder" "" "Henry Cavill" "Amy Adams" 225 "ss" "manofsteel" 2 1 0 NA NA 1.29 "8.13" 311.4 124.77 240.77 3 7 1 54 5 146
"87" 87 87 "Kung Fu Panda 2" "P/DW" 665.7 165.2 500.4 "May 26" 2011 "Animation" "PG" NA 7.3 "Animation" "" NA 91 NA "Jennifer Yuh Nelson" "" "Jack Black" "Angelina Jolie" 150 "ss" "kungfupanda2" 0 0 1 167 70 1.1 "7.93" 181.24 NA 164.56 4 6 8 47 43 93
"88" 88 88 "Ice Age: The Meltdown" "Fox" 660.9 195.3 465.6 "March 31" 2006 "Animation" "PG" 3969 6.9 "Animation" "" 68 90 23 "Carlos Saldanha" "" "Ray Romano" "John Leguizamo" 80 "ns" "iceage:themeltdown" 0 0 1 NA NA 2.44 "6.55" 259.41 90.32 106.26 2 12 15 12 48 20
"89" 89 89 "Big Hero 6" "BV" 657.8 222.5 435.3 "November 7" 2014 "Animation" "PG" NA 7.9 "Animation" "" NA 108 NA "Don Hall" "Chris Williams" "Scott Adsit" "Ryan Potter" 165 "ns" "bighero6" 1 1 1 193 78 1.35 "8.17" 236.93 NA 175.7 5 7 1 0 12 3
"90" 90 90 "Pirates of the Caribbean: The Curse of the Black Pearl" "BV" 654.3 305.4 348.9 "July 9" 2003 "Period Adventure" "PG-13" 3416 8.1 "Period" "Adventure" 46.6 135 26.3 "Gore Verbinski" "" "Johnny Depp" "Geoffrey Rush" 140 "ss" "piratesofthecaribbean:thecurseoftheblackpearl" 0 0 1 208 67 2.18 "6.03" 440.63 67.23 201.99 7 10 65 43 115 75
"91" 91 91 "The Hunger Games: Mockingjay - Part 2" "LGF" 653 281.7 371.2 "November 20" 2015 "AA" "PG-13" NA 7 "AA" "" NA 137 NA "Francis Lawrence" "" "Jennifer Lawrence" "Josh Hutcherson" 160 "hs" "thehungergames:mockingjaypart2" 0 0 1 NA NA 1.76 "8.43" 290.72 NA 165.12 3 5 106 16 157 20
"92" 92 92 "Star Wars: Episode II - Attack of the Clones" "Fox" 649.4 310.7 338.7 "May 16" 2002 "Sci-Fi Fantasy" "PG" 3161 6.7 "Sci-Fi" "Fantasy" 80 132 24.6 "George Lucas" "" "Ewan McGregor" "Natalie Portman" 115 "ns" "starwars:attackoftheclones" 0 0 1 NA NA 2.7 "5.81" 465.25 119.79 172.2 40 31 24 58 38 85
"93" 93 93 "Thor: The Dark World" "BV" 644.6 206.4 438.2 "November 8" 2013 "AA" "PG-13" 3841 7.1 "AA" "" 85.7 120 23 "Alan Taylor" "" "Chris Hemsworth" "Natalie Portman" 170 "ns" "thor:thedarkworld" 6 1 1 NA NA 1.21 "8.13" 220.87 91.71 181.92 6 8 9 58 21 85
"94" 94 94 "Kung Fu Panda" "P/DW" 631.7 215.4 416.3 "June 6" 2008 "Animation" "PG" NA 7.6 "Animation" "" NA 91 NA "Mark Osborne" "John Stevenson" "Jack Black" "Dustin Hoffman" 130 "ss" "kungfupanda" 0 0 0 178 76 1.66 "7.18" 261 NA 157.52 15 5 8 58 43 49
"95" 95 95 "The Incredibles" "BV" 631.4 261.4 370 "November 5" 2004 "Animation" "PG" 3933 8 "Animation" "" 70.5 115 23 "Brad Bird" "" "Craig T. Nelson" "Holly Hunter" 92 "ns" "theincredibles" 1 1 0 233 86 2.84 "6.21" 366.21 98.77 128.89 30 25 5 38 16 52
"96" 96 96 "Fast Five" "Uni." 626.1 209.8 416.3 "April 29" 2011 "Action" "PG-13" 3793 7.3 "Action" "" 86.2 130 15 "Justin Lin" "" "Vin Diesel" "Paul Walker" 125 "ns" "fastfive" 0 0 0 NA NA 1.68 "7.93" 230.17 94.57 137.14 3 6 7 7 26 11
"97" 97 97 "Hancock" "Sony" 624.4 227.9 396.4 "July 2" 2008 "Fantasy Drama" "PG-13" 3965 6.4 "Fantasy" "Drama" 62.6 92 10.3 "Peter Berg" "" "Will Smith" "Charlize Theron" 150 "ss" "hancock" 3 1 0 NA NA 1.52 "7.18" 276.15 75.85 181.75 1 15 56 51 106 87
"98" 98 98 "MIB 3" "Sony" 624 179 445 "May 25" 2012 "Sci-Fi Comedy" "PG-13" NA 6.8 "Sci-Fi" "Comedy" NA 106 NA "Barry Sonnenfeld" "" "Will Smith" "Tommy Lee Jones" 108 "ss" "mib3" 0 0 1 NA NA 1.66 "7.96" 195.64 NA 118.04 7 7 56 40 106 89
"99" 99 99 "Iron Man 2" "Par." 623.9 312.4 311.5 "May 7" 2010 "AA" "PG-13" 4248 7 "AA" "" 54.6 125 15.4 "Jon Favreau" "" "Robert Downey Jr." "Gwyneth Paltrow" 225 "ns" "ironman2" 5 1 1 276 60 1.39 "7.89" 344.47 60.21 248.1 3 8 33 23 91 48
"100" 100 100 "Ratatouille" "BV" 623.7 206.4 417.3 "June 29" 2007 "Animation" "PG-13" 4390 8 "Animation" "" NA 111 NA "Brad Bird" "Jan Pinkava" "Patton Oswalt" "Ian Holm" 200 "ss" "ratatouille" 0 0 0 238 85 1.03 "6.88" 261 NA 252.91 30 25 3 21 17 22
"101" 101 101 "How to Train Your Dragon 2" "Fox" 621.5 177 444.5 "June 13" 2014 "Animation" "G" 3940 7.9 "Animation" "" 47 105 24 "Dean DeBlois" "" "Jay Baruchel" "Cate Blanchett" 150 "ss" "howtotrainyourdragon2" 0 0 1 161 80 1.18 "8.17" 188.48 50.05 159.73 7 22 5 144 10 177
"102" 102 102 "The Martian" "Fox" 619.7 228.3 391.4 "October 2" 2015 "Sci-Fi" "PG" 4268 8.1 "Sci-Fi" "" 49.5 141 26 "Ridley Scott" "" "Matt Damon" "Jessica Chastain" 145 "ns" "themartian" 0 0 0 293 81 1.57 "8.43" 235.61 51.09 149.64 31 87 34 70 122 94
"103" 103 103 "The Lost World: Jurassic Park" "Uni." 618.6 229.1 389.6 "May 23" 1997 "Sci-Fi Horror" "PG-13" 3565 6.5 "Sci-Fi" "Horror" NA 129 NA "Steven Spielberg" "" "Jeff Goldblum" "Julianne Moore" 73 "ss" "thelostworld:jurassicpark" 0 0 1 NA NA 3.14 "4.59" 434.24 NA 138.37 175 168 9 107 24 148
"104" 104 104 "The Passion of the Christ" "NM" 611.9 370.8 241.1 "February 25" 2004 "Historical Drama" "R" 3408 7.1 "Historical" "Drama" 83.8 126 22.3 "Mel Gibson" "" "Jim Caviezel" "Maia Morgenstern" 30 "ns" "thepassionofthechrist" 0 0 0 NA NA 12.36 "6.21" 519.48 117.4 42.03 32 30 4 6 6 0
"105" 105 105 "Mamma Mia!" "Uni." 609.8 144.1 465.7 "July 18" 2008 "Musical" "PG-13" NA 6.3 "Musical" "" NA 108 NA "Phyllida Lloyd" "" "Amanda Seyfried" "Stellan Skarsg_rd" 52 "ss" "mammamia!" 0 0 0 NA NA 2.77 "7.18" 174.61 NA 63.01 2 3 7 9 16 14
"106" 106 106 "Life of Pi" "Fox" 609 125 484 "November 21" 2012 "Adventure" "R" 3856 8 "Adventure" "" NA 126 NA "Ang Lee" "" "Suraj Sharma" "Irrfan Khan" 58 "hs" "lifeofpi" 0 0 0 228 75 2.16 "7.96" 136.62 NA 63.39 96 90 3 16 8 23
"107" 107 107 "Madagascar: Escape 2 Africa" "P/DW" 603.9 180 423.9 "November 7" 2008 "Animation" "PG" 2946 6.7 "Animation" "" 22.5 89 35.3 "Eric Darnell" "Tom McGrath" "Ben Stiller" "Chris Rock" 120 "ns" "madagascar:escape2africa" 0 0 1 NA NA 1.5 "7.18" 218.11 27.26 145.4 0 2 13 18 52 60
"108" 108 108 "Casino Royale" "Sony" 599 167.4 431.6 "November 17" 2006 "Action" "PG" 4065 8 "Action" "" 63.1 144 16 "Martin Campbell" "" "Daniel Craig" "Eva Green" 150 "ns" "casinoroyale" 0 0 0 246 84 1.12 "6.55" 222.35 83.81 199.24 2 10 13 3 27 15
"109" 109 109 "Tangled" "BV" 591.8 200.8 391 "November 24" 2010 "Animation" "PG-13" 3443 7.8 "Animation" "" 40.8 100 17.4 "Nathan Greno" "Byron Howard" "Mandy Moore" "Zachary Levi" 150 "hs" "tangled" 0 0 0 215 79 1.34 "7.89" 221.41 44.99 165.4 1 3 6 2 11 13
"110" 110 110 "War of the Worlds" "Par." 591.7 234.3 357.5 "June 29" 2005 "Sci-Fi Horror" "PG" 3603 6.5 "Sci-Fi" "Horror" 48.8 117 27.3 "Steven Spielberg" "" "Tom Cruise" "Dakota Fanning" 260 "ss" "waroftheworlds" 0 0 0 251 62 0.9 "6.41" 318 66.23 352.89 175 168 39 17 76 26
"111" 111 111 "Men in Black" "Sony" 589.4 250.7 338.7 "July 2" 1997 "Sci-Fi Comedy" "PG-13" 3910 7.3 "Sci-Fi" "Comedy" 64.9 97 21.3 "Barry Sonnenfeld" "" "Tommy Lee Jones" "Will Smith" 132 "ss" "meninblack" 0 0 0 85 81 1.9 "4.59" 475.18 123.01 250.2 7 7 40 56 89 106
"112" 112 112 "The Croods" "Fox" 587.2 187.2 400 "March 22" 2013 "Animation" "PG-13" 3180 7.3 "Animation" "" NA 98 NA "Kirk De Micco" "Chris Sanders" "Nicolas Cage" "Emma Stone" 90 "ns" "thecroods" 0 0 0 NA NA 2.08 "8.13" 200.32 NA 96.31 0 6 40 36 60 76
"113" 113 113 "The Hangover Part II" "WB" 586.8 254.5 332.3 "May 26" 2011 "Comedy" "PG" 4065 6.5 "Comedy" "" 43.6 102 26 "Todd Phillips" "" "Bradley Cooper" "Ed Helms" 135 "ss" "thehangoverpartii" 0 0 1 NA NA 1.89 "7.93" 279.21 47.83 148.11 5 4 29 4 65 12
"114" 114 114 "Quantum of Solace" "Sony" 586.1 168.4 417.7 "November 14" 2008 "Action" "R" 3675 6.7 "Action" "" 85.9 106 16.1 "Marc Forster" "" "Daniel Craig" "Olga Kurylenko" 80 "ns" "quantumofsolace" 0 0 0 280 53 2.1 "7.18" 204.05 104.08 96.94 6 13 13 2 27 5
"115" 115 115 "I Am Legend" "WB" 585.3 256.4 329 "December 14" 2007 "Sci-Fi Horror" "PG-13" 3501 7.2 "Sci-Fi" "Horror" 67.5 100 11 "Francis Lawrence" "" "Will Smith" "Alice Braga" 200 "hs" "iamlegend" 0 0 0 NA NA 1.28 "6.88" 324.23 85.36 252.91 3 5 56 9 106 6
"116" 116 116 "Iron Man" "Par." 585.2 318.4 266.8 "May 2" 2008 "AA" "PG-13" 3648 7.9 "AA" "" 77.2 126 17 "Jon Favreau" "" "Robert Downey Jr." "Terrence Howard" 150 "ns" "ironman" 5 1 0 266 83 2.12 "7.18" 385.81 93.54 181.75 3 8 33 33 91 46
"117" 117 117 "Night at the Museum" "Fox" 574.5 250.9 323.6 "December 22" 2006 "Family Adventure" "PG-13" 4154 6.4 "Family" "Adventure" NA 108 NA "Shawn Levy" "" "Ben Stiller" "Carla Gugino" 140 "hs" "nightatthemuseum" 0 0 0 NA NA 1.79 "6.55" 333.26 NA 185.95 3 1 13 1 52 8
"118" 118 118 "Fifty Shades of Grey" "Uni." 571 166.2 404.8 "February 13" 2015 "Romance" "PG" NA 4.1 "Romance" "" NA 125 NA "Sam Taylor-Johnson" "" "Dakota Johnson" "Jamie Dornan" NA "ns" "fiftyshadesofgrey" 0 0 0 NA NA NA "8.43" 171.52 NA NA 5 11 7 6 8 3
"119" 119 119 "The Smurfs" "Sony" 563.7 142.6 421.1 "July 29" 2011 "Family Comedy" "R" 3655 5.5 "Family" "Comedy" 85.2 86 12 "Raja Gosnell" "" "Hank Azaria" "Neil Patrick Harris" 40 "ss" "thesmurfs" 0 0 0 NA NA 3.56 "7.93" 156.45 93.47 43.88 NA NA 15 21 25 50
"120" 120 120 "Monsters Inc." "BV" 562.8 289.9 272.9 "November 2" 2001 "Animation" "PG" 3427 8.1 "Animation" "" 35.6 90 20 "Pete Docter" "David Silverman" "John Goodman" "Billy Crystal" 110 "ns" "monstersinc." 0 0 0 192 85 2.64 "5.66" 445.61 54.72 169.08 41 56 20 30 62 47
"121" 121 121 "Cars 2" "BV" 559.9 191.5 368.4 "June 24" 2011 "Animation" "G" 3649 6.3 "Animation" "" 62.6 113 47 "John Lasseter" "Brad Lewis" "Larry the Cable Guy" "Owen Wilson" 115 "ss" "cars2" 0 0 1 NA NA 1.67 "7.93" 210.09 68.68 126.17 36 26 1 14 7 45
"122" 122 122 "Puss in Boots" "P/DW" 555 149.3 405.7 "October 28" 2011 "Animation" "G" 4115 6.7 "Animation" "" 66.1 90 25 "Chris Miller" "" "Antonio Banderas" "Salma Hayek" 200 "ns" "pussinboots" 0 0 0 142 73 0.75 "7.93" 163.8 72.52 219.42 12 12 33 12 39 38
"123" 123 123 "Armageddon" "BV" 553.7 201.6 352.1 "July 1" 1998 "Sci-Fi Action" "PG" 3963 6.6 "Sci-Fi" "Action" 34.1 144 18 "Michael Bay" "" "Bruce Willis" "Billy Bob Thornton" 130 "ss" "armageddon" 0 0 0 115 27 1.55 "4.69" 373.97 63.26 241.15 7 10 21 30 37 49
"124" 124 124 "King Kong" "Uni." 550.5 218.1 332.4 "February 12" 2016 "Action" "PG-13" 3184 7.2 "Action" "" NA 106 NA "Peter Jackson" "" "Naomi Watts" "Jack Black" 140 "ns" "kingkong" 0 0 0 257 73 1.56 "0" Inf NA Inf 129 120 52 8 81 43
"125" 125 125 "Ted" "Uni." 549.4 218.8 330.6 "December 14" 2005 "Period Adventure" "PG-13" 3627 7 "Period" "Adventure" 50.1 187 16.3 "Seth MacFarlane" "" "Mark Wahlberg" "Mila Kunis" 207 "hs" "ted" 0 0 0 43 67 1.06 "6.41" 296.97 68 280.95 15 46 20 12 60 49
"126" 126 126 "American Sniper" "WB" 547.4 350.1 197.3 "June 29" 2012 "Comedy" "R" 3303 7.3 "Comedy" "" NA 106 NA "Clint Eastwood" "" "Bradley Cooper" "Kyle Gallner" 50 "ss" "americansniper" 0 0 0 NA NA 7 "7.96" 382.65 NA 54.65 143 148 29 2 65 2
"127" 127 127 "Mission: Impossible II" "Par." 546.4 215.4 331 "December 25" 2014 "Drama" "R" NA 6.1 "Drama" "" NA 132 NA "John Woo" "" "Tom Cruise" "Dougray Scott" 58.8 "hs" "mission:impossibleii" 0 0 1 NA NA 3.66 "8.17" 229.37 NA 62.61 18 15 39 1 76 8
"128" 128 128 "Sherlock Holmes: A Game of Shadows" "WB" 545.4 186.8 358.6 "May 24" 2000 "Action" "PG-13" 3669 7.5 "Action" "" 57.8 123 21.3 "Guy Ritchie" "" "Robert Downey Jr." "Jude Law" 125 "ss" "sherlockholmes:agameofshadows" 0 0 1 NA NA 1.49 "5.39" 301.51 93.29 201.76 8 9 33 16 91 50
"129" 129 129 "The Day After Tomorrow" "Fox" 544.3 186.7 357.5 "December 16" 2011 "Adventure" "PG-13" 3703 6.4 "Adventure" "" 39.6 128 16 "Roland Emmerich" "" "Dennis Quaid" "Jake Gyllenhaal" NA "hs" "thedayaftertomorrow" 0 0 0 NA NA NA "7.93" 204.83 43.45 NA 13 14 12 34 26 82
"130" 130 130 "Despicable Me" "Uni." 543.1 251.5 291.6 "May 28" 2004 "Action Drama" "PG-13" 3444 7.7 "Action" "Drama" 68.7 124 23 "Pierre Coffin" "Chris Renaud" "Steve Carell" "Jason Segel" 125 "ss" "despicableme" 0 0 0 192 70 2.01 "6.21" 352.34 96.25 175.12 0 18 32 7 115 27
"131" 131 131 "Cinderella" "BV" 542.7 201.2 341.5 "July 9" 2010 "Animation" "PG" NA 7 "Animation" "" NA 95 NA "Kenneth Branagh" "" "Cate Blanchett" "Lily James" 69 "ss" "cinderella" 0 0 0 64 80 2.92 "7.89" 221.86 NA 76.08 29 60 144 3 177 2
"132" 132 132 "World War Z" "Par." 540 202.4 337.6 "March 13" 2015 "Fantasy" "PG" 3848 7 "Fantasy" "" 67.9 112 27 "Marc Forster" "" "Brad Pitt" "Mireille Enos" 95 "ns" "worldwarz" 0 0 0 NA NA 2.13 "8.43" 208.88 70.07 98.04 6 13 64 0 136 7
"133" 133 133 "Brave" "BV" 539 237.3 301.7 "June 21" 2013 "Action Horror" "PG-13" 3607 7.2 "Action" "Horror" 66.4 116 16 "Mark Andrews" "Brenda Chapman" "Kelly Macdonald" "Billy Connolly" 190 "ss" "brave" 0 0 0 65 66 1.25 "8.13" 253.94 71.06 203.32 5 8 16 2 33 9
"134" 134 134 "The Empire Strikes Back" "Fox" 538.4 290.5 247.9 "June 22" 2012 "Animation" "PG" 4164 8.8 "Animation" "" 66.3 100 30 "Irvin Kershner" "" "Mark Hamill" "Harrison Ford" 185 "ss" "theempirestrikesback" 0 0 0 NA NA 1.57 "7.96" 317.51 72.46 202.2 5 2 11 32 13 36
"135" 135 135 "Madagascar" "DW" 532.7 193.6 339.1 "May 21" 1980 "Sci-Fi Fantasy" "PG" NA 6.9 "Sci-Fi" "Fantasy" NA 129 NA "Eric Darnell" "Tom McGrath" "Ben Stiller" "Chris Rock" 18 "ss" "madagascar" 0 0 0 NA NA 10.76 "2.69" 626.14 NA 58.22 0 2 13 18 52 60
"136" 136 136 "Deadpool" "Fox" 529.6 263.1 266.5 "May 27" 2005 "Animation" "PG" 4142 8.5 "Animation" "" NA 86 NA "Tim Miller" "" "Ryan Reynolds" "Karan Soni" NA "ss" "deadpool" 0 0 0 NA NA NA "6.41" 357.09 NA NA NA NA 8 0 32 1
"137" 137 137 "Godzilla" "WB" 529.1 200.7 328.4 "May 16" 2014 "Sci-Fi Action" "PG-13" 3952 6 "Sci-Fi" "Action" 93.2 123 15 "Takao Okawara" "" "Takehiro Murata" "Hiroshi Abe" 160 "ns" "godzilla" 0 0 0 68 44 1.25 "8.17" 213.72 99.25 170.38 0 1 4 4 1 2
"138" 138 138 "The Simpsons Movie" "Fox" 527.1 183.1 343.9 "July 27" 2007 "Animation" "PG-13" 3926 7.4 "Animation" "" 74 87 21 "David Silverman" "" "Dan Castellaneta" "Julie Kavner" 75 "ss" "thesimpsonsmovie" 0 0 0 218 78 2.44 "6.88" 231.54 93.58 94.84 6 15 8 5 18 25
"139" 139 139 "Sherlock Holmes" "WB" 524 209 315 "December 25" 2009 "Adventure" "PG-13" 3626 7.6 "Adventure" "" 62.3 134 18 "Guy Ritchie" "" "Robert Downey Jr." "Jude Law" 90 "hs" "sherlockholmes" 0 0 0 NA NA 2.32 "7.50" 242.44 72.27 104.4 8 9 33 16 91 50
"140" 140 140 "WALL-E" "BV" 521.3 223.8 297.5 "June 27" 2008 "Animation" "G" 3992 8.4 "Animation" "" 63.1 97 28 "Andrew Stanton" "" "Ben Burtt" "Elissa Knight" 180 "ss" "walle" 0 0 0 244 85 1.24 "7.18" 271.18 76.46 218.11 32 50 16 NA 37 NA
"141" 141 141 "Terminator 2: Judgment Day" "TriS" 519.8 204.8 315 "July 3" 1991 "Sci-Fi Action" "R" NA 8.5 "Sci-Fi" "Action" NA 137 NA "James Cameron" "" "Arnold Schwarzenegger" "Linda Hamilton" 102 "ss" "terminator2:judgmentday" 0 0 1 67 82 2.01 "4.21" 423.22 NA 210.78 65 54 23 9 31 7
"142" 142 142 "Ant-Man" "BV" 519.3 180.2 339 "July 17" 2015 "AA" "PG-13" NA 7.4 "AA" "" NA 117 NA "Peyton Reed" "" "Paul Rudd" "Michael Douglas" 130 "ss" "antman" 1 1 0 NA NA 1.39 "8.43" 185.97 NA 134.16 2 3 7 58 19 36
