"number" "rank" "title" "studio" "worldwide" "domestic" "overseas" "release_date" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "director2" "star1" "star2" "budget" "per" "title1" "sh" "shb" "series" "rn" "to_rating" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"17" 17 17 "Pirates of the Caribbean: Dead Man's Chest" "BV" 1066.2 423.3 642.9 "July 7" 2006 "Period Adventure" "PG-13" 4133 7.3 "Period" "Adventure" 135.6 151 22 "Gore Verbinski" "" "Johnny Depp" "Orlando Bloom" 225 "ss" "piratesofthecaribbean:deadman'schest" 0 0 1 NA NA 1.88 "6.55" 562.25 180.11 298.85 7 10 65 24 115 25
"18" 18 18 "Toy Story 3" "BV" 1063.2 415 648.2 "June 18" 2010 "Animation" "G" 4028 8.4 "Animation" "" 110.3 103 24 "Lee Unkrich" "" "Tom Hanks" "Tim Allen" 200 "ss" "toystory3" 0 0 1 287 88 2.08 "7.89" 457.6 121.62 220.53 14 23 76 23 115 32
"19" 19 19 "Pirates of the Caribbean: On Stranger Tides" "BV" 1045.7 241.1 804.6 "May 20" 2011 "Period Adventure" "PG-13" 4164 6.7 "Period" "Adventure" 90.2 137 19 "Rob Marshall" "" "Johnny Depp" "Pen¨¦lope Cruz" 250 "ss" "piratesofthecaribbean:onstrangertides" 0 0 1 NA NA 0.96 "7.93" 264.51 98.96 274.27 14 21 65 49 115 92
"20" 20 20 "Jurassic Park" "Uni." 1029.2 402.5 626.7 "June 11" 1993 "Sci-Fi Horror" "PG-13" 2566 8.1 "Sci-Fi" "Horror" NA 127 NA "Steven Spielberg" "" "Sam Neill" "Laura Dern" 63 "ss" "jurassicpark" 0 0 0 116 82 6.39 "4.14" 845.83 NA 132.39 175 168 3 12 25 42
"21" 21 21 "Star Wars: Episode I - The Phantom Menace" "Fox" 1027 474.5 552.5 "May 19" 1999 "Sci-Fi Fantasy" "PG" 3126 6.5 "Sci-Fi" "Fantasy" 64.8 133 37.3 "George Lucas" "" "Liam Neeson" "Ewan McGregor" 115 "ns" "starwars:thephantommenace" 0 0 1 212 44 4.13 "5.08" 812.63 110.98 196.95 40 31 15 24 35 38
"22" 22 22 "Alice in Wonderland" "BV" 1025.5 334.2 691.3 "March 5" 2010 "Family Adventure" "PG" 3739 6.5 "Family" "Adventure" 116.1 109 18 "Tim Burton" "" "Johnny Depp" "Mia Wasikowska" 200 "ns" "aliceinwonderland" 0 0 0 NA NA 1.67 "7.89" 368.51 128.02 220.53 20 58 65 6 115 39
"23" 23 23 "The Hobbit: An Unexpected Journey" "WB (NL)" 1021.1 303 718.1 "December 14" 2012 "Fantasy" "PG-13" 4100 7.9 "Fantasy" "" 84.6 166 19 "Peter Jackson" "" "Ian McKellen" "Martin Freeman" NA "hs" "thehobbit:anunexpectedjourney" 0 0 1 NA NA NA "7.96" 331.17 92.46 NA 129 120 46 7 57 26
"24" 24 24 "The Dark Knight" "WB" 1004.6 534.9 469.7 "July 18" 2008 "AA" "PG-13" 4366 9 "AA" "" 158.4 150 33 "Christopher Nolan" "" "Christian Bale" "Heath Ledger" 185 "ss" "thedarkknight" 2 1 0 314 83 2.89 "7.18" 648.14 191.93 224.16 121 160 64 74 76 53
"25" 25 25 "The Lion King" "BV" 987.5 422.8 564.7 "June 15" 1994 "Animation" "G" NA 8.5 "Animation" "" NA 89 NA "Roger Allers" "Rob Minkoff" "Matthew Broderick" "Jonathan Taylor Thomas" 45 "ss" "thelionking" 0 0 0 113 80 9.4 "4.18" 879.99 NA 93.66 1 6 2 5 13 11
"26" 26 26 "Harry Potter and the Sorcerer's Stone" "WB" 974.8 317.6 657.2 "November 16" 2001 "Fantasy" "PG" 3672 7.5 "Fantasy" "" NA 153 NA "Chris Columbus" "" "Richard Harris" "Maggie Smith" 125 "ns" "harrypotterandthesorcerer'sstone" 0 0 0 194 69 2.54 "5.66" 488.18 NA 192.14 6 18 10 44 15 91
