Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	Imdb_id	star1	star2	director1	director2
174	174	Lucy	Uni.	463.4	126.7	0.273	336.7	0.727	2014	6.4	tt2872732	Scarlett Johansson	Morgan Freeman	Luc Besson	
175	175	Cars	BV	462	244.1	0.528	217.9	0.472	2006	7.2	tt0317219	Owen Wilson	Paul Newman	John Lasseter	Joe Ranft
176	176	X-Men: The Last Stand	Fox	459.4	234.4	0.51	225	0.49	2006	6.8	tt0376994	Hugh Jackman	Halle Berry	Brett Ratner	
177	177	Mission: Impossible	Par.	457.7	181	0.395	276.7	0.605	1996	7.1	tt0117060	Tom Cruise	Jon Voight	Brian De Palma	
178	178	Gladiator	DW	457.6	187.7	0.41	269.9	0.59	2000	8.5	tt0172495	Russell Crowe	Joaquin Phoenix	Ridley Scott	
179	179	National Treasure: Book of Secrets	BV	457.4	220	0.481	237.4	0.519	2007	6.5	tt0465234	Nicolas Cage	Justin Bartha	Jon Turteltaub	
180	180	The Last Samurai	WB	456.8	111.1	0.243	345.6	0.757	2003	7.7	tt0325710	Ken Watanabe	Tom Cruise	Edward Zwick	
181	181	300	WB	456.1	210.6	0.462	245.5	0.538	2007	7.7	tt0416449	Gerard Butler	Lena Headey	Zack Snyder	
182	182	Ocean's Eleven	WB	450.7	183.4	0.407	267.3	0.593	2001	7.8	tt0240772	George Clooney	Cecelia Ann Birt	Steven Soderbergh	
183	183	Thor	Par.	449.3	181	0.403	268.3	0.597	2011	7	tt0800369	Chris Hemsworth	Natalie Portman	Kenneth Branagh	
184	184	Pearl Harbor	BV	449.2	198.5	0.442	250.7	0.558	2001	6	tt0213149	Ben Affleck	Josh Hartnett	Michael Bay	
185	185	Tarzan	BV	448.2	171.1	0.382	277.1	0.618	1999	7.2	tt0120855	Brian Blessed	Glenn Close	Chris Buck	Kevin Lima
186	186	Alvin and the Chipmunks: The Squeakquel	Fox	443.1	219.6	0.496	223.5	0.504	2009	4.5	tt1231580	Zachary Levi	David Cross	Betty Thomas	
187	187	The Bourne Ultimatum	Uni.	442.8	227.5	0.514	215.4	0.486	2007	8.1	tt0440963	Matt Damon	Julia Stiles	Paul Greengrass	
188	188	Men in Black II	Sony	441.8	190.4	0.431	251.4	0.569	2002	6.1	tt0120912	Tommy Lee Jones	Will Smith	Barry Sonnenfeld	
189	189	Les Miserables (2012)	Uni.	441.8	148.8	0.337	293	0.663	2012	7.6	tt1707386	Hugh Jackman	Russell Crowe	Tom Hooper	
190	190	The Exorcist	WB	441.3	232.9	0.528	208.4	0.472	1973^	8	tt0070047	Ellen Burstyn	Max von Sydow	William Friedkin	
191	191	Mrs. Doubtfire	Fox	441.3	219.2	0.497	222.1	0.503	1993	6.9	tt0107614	Robin Williams	Sally Field	Chris Columbus	
192	192	Terminator: Genisys	Par.	440.6	89.8	0.204	350.8	0.796	2015	6.6	tt1340138	Arnold Schwarzenegger	Jason Clarke	Alan Taylor	
193	193	Terminator 3: Rise of the Machines	WB	433.4	150.4	0.347	283	0.653	2003	6.4	tt0181852	Arnold Schwarzenegger	Nick Stahl	Jonathan Mostow	
194	194	The Mummy Returns	Uni.	433	202	0.467	231	0.533	2001	6.3	tt0209163	Brendan Fraser	Rachel Weisz	Stephen Sommers	
195	195	Die Another Day	MGM	432	160.9	0.373	271	0.627	2002	6.1	tt0246460	Pierce Brosnan	Halle Berry	Lee Tamahori	
196	196	Cast Away	Fox	429.6	233.6	0.544	196	0.456	2000	7.7	tt0162222	Paul Sanchez	Lari White	Robert Zemeckis	
197	197	The Matrix Revolutions	WB	427.3	139.3	0.326	288	0.674	2003	6.7	tt0242653	Mary Alice	Tanveer K. Atwal	Lana Wachowski	Lilly Wachowski
198	198	The Intouchables (U.S.-only)	Wein.	426.6	10.2	0.024	416.4	0.976	2012	5.8	tt2017382	"Prime Video
Unlimited Streamingof Movies & TV"	Tanveer K. Atwal	Lana Wachowski	
199	199	Django Unchained	Wein.	425.4	162.8	0.383	262.6	0.617	2012	8.5	tt1853728	Jamie Foxx	Christoph Waltz	Quentin Tarantino	
200	200	Beauty and the Beast	BV	425	219	0.515	206	0.485	1991^	8	tt0101414	Robby Benson	Jesse Corti	Gary Trousdale	Kirk Wise
201	201	Dances with Wolves	Orion	424.2	184.2	0.434	240	0.566	1990	8	tt0099348	Kevin Costner	Mary McDonnell	Kevin Costner	
202	202	The Chronicles of Narnia: Prince Caspian	BV	419.7	141.6	0.337	278	0.663	2008	6.6	tt0499448	Ben Barnes	Georgie Henley	Andrew Adamson	
203	203	The Mummy	Uni.	415.9	155.4	0.374	260.5	0.626	1999	7	tt0120616	Brendan Fraser	Rachel Weisz	Stephen Sommers	
204	204	The Chronicles of Narnia: The Voyage of the Dawn Treader	Fox	415.7	104.4	0.251	311.3	0.749	2010	6.3	tt0980970	Georgie Henley	Skandar Keynes	Michael Apted	
205	205	Sex and the City	WB (NL)	415.3	152.6	0.368	262.6	0.632	2008	6.9	tt0159206	Sarah Jessica Parker	Kim Cattrall	Darren Star	
206	206	The Wolverine	Fox	414.8	132.6	0.32	282.3	0.68	2013	6.7	tt1430132	Hugh Jackman	Tao Okamoto	James Mangold	
207	207	Kingsman: The Secret Service	Fox	414.4	128.3	0.31	286.1	0.69	2015	7.8	tt2802144	Adrian Quinton	Colin Firth	Matthew Vaughn	
208	208	The King's Speech	Wein.	414.2	138.8	0.335	275.4	0.665	2010^	8	tt1504320	Colin Firth	Helena Bonham Carter	Tom Hooper	
209	209	Night at the Museum: Battle of the Smithsonian	Fox	413.1	177.2	0.429	235.9	0.571	2009	5.9	tt1078912	Ben Stiller	Amy Adams	Shawn Levy	
210	210	Batman	WB	411.3	251.2	0.611	160.2	0.389	1989	7.6	tt0096895	Michael Keaton	Jack Nicholson	Tim Burton	
211	211	The Bodyguard	WB	411	122	0.297	289	0.703	1992^	6.1	tt0103855	Kevin Costner	Whitney Houston	Mick Jackson	
212	212	Pacific Rim	WB	411	101.8	0.248	309.2	0.752	2013	7	tt1663662	Charlie Hunnam	Diego Klattenhoff	Guillermo del Toro	
213	213	Signs	BV	408.2	228	0.558	180.3	0.442	2002	6.7	tt0286106	Mel Gibson	Joaquin Phoenix	M. Night Shyamalan	
214	214	X2: X-Men United	Fox	407.7	214.9	0.527	192.8	0.473	2003	7.5	tt0290334	Patrick Stewart	Hugh Jackman	Bryan Singer	
215	215	Prometheus	Fox	403.4	126.5	0.314	276.9	0.686	2012	7	tt1446714	Noomi Rapace	Michael Fassbender	Ridley Scott	
216	216	The Mummy: Tomb of the Dragon Emperor	Uni.	401.1	102.5	0.256	298.6	0.744	2008	5.2	tt0859163	Brendan Fraser	Jet Li	Rob Cohen	
217	217	Gone with the Wind	MGM	400.2	198.7	0.496	201.5	0.504	1939^	8.2	tt0031381	Thomas Mitchell	Barbara O'Neil	Victor Fleming	George Cukor
218	218	Tron Legacy	BV	400.1	172.1	0.43	228	0.57	2010	6.8	tt1104001	Jeff Bridges	Garrett Hedlund	Joseph Kosinski	
219	219	Mission: Impossible III	Par.	397.9	134	0.337	263.8	0.663	2006	6.9	tt0317919	Tom Cruise	Philip Seymour Hoffman	J.J. Abrams	
220	220	Snow White and the Huntsman	Uni.	396.6	155.3	0.392	241.3	0.608	2012	6.1	tt1735898	Kristen Stewart	Chris Hemsworth	Rupert Sanders	
221	221	Grease	Par.	395	188.8	0.478	206.2	0.522	1978^	7.2	tt0077631	John Travolta	Olivia Newton-John	Randal Kleiser	
222	222	Twilight	Sum.	393.6	192.8	0.49	200.8	0.51	2008	5.2	tt1099212	Kristen Stewart	Sarah Clarke	Catherine Hardwicke	
223	223	The Wolf of Wall Street	Par.	392	116.9	0.298	275.1	0.702	2013	8.2	tt0993846	Leonardo DiCaprio	Jonah Hill	Martin Scorsese	
224	224	Superman Returns	WB	391.1	200.1	0.512	191	0.488	2006	6.1	tt0348150	Brandon Routh	Kate Bosworth	Bryan Singer	
225	225	Robin Hood: Prince of Thieves	WB	390.5	165.5	0.424	225	0.576	1991	6.9	tt0102798	Kevin Costner	Morgan Freeman	Kevin Reynolds	
226	226	Raiders of the Lost Ark	Par.	389.9	248.2	0.636	141.8	0.364	1981^	8.5	tt0082971	Harrison Ford	Karen Allen	Steven Spielberg	
227	227	Home (2015)	Fox	386	177.4	0.46	208.6	0.54	2015	6.7	tt2224026	Jim Parsons	Rihanna	Tim Johnson	
228	228	Star Trek	Par.	385.7	257.7	0.668	128	0.332	2009	8	tt0796366	Chris Pine	Zachary Quinto	J.J. Abrams	
229	229	Monster Hunt	FR	385.3	$32.8k	0	385.2	1	2016	6.2	tt3781476	Baihe Bai	Boran Jing	Raman Hui	
230	230	The Revenant	Fox	385	167.7	0.436	217.3	0.564	2015	8.2	tt1663202	Leonardo DiCaprio	Tom Hardy	Alejandro Gonz¨¢lez I_¨¢rritu	
231	231	Happy Feet	WB	384.3	198	0.515	186.3	0.485	2006	6.5	tt0366548	Carlos Alazraqui	Lombardo Boyar	George Miller	Warren Coleman
232	232	Live Free or Die Hard	Fox	383.5	134.5	0.351	249	0.649	2007	7.2	tt0337978	Bruce Willis	Timothy Olyphant	Len Wiseman	
233	233	Ice Age	Fox	383.3	176.4	0.46	206.9	0.54	2002	7.6	tt0268380	Ray Romano	John Leguizamo	Chris Wedge	Carlos Saldanha
234	234	Monsters Vs. Aliens	P/DW	381.5	198.4	0.52	183.2	0.48	2009	6.6	tt0892782	Reese Witherspoon	Seth Rogen	Rob Letterman	Conrad Vernon
235	235	Back to the Future	Uni.	381.1	210.6	0.553	170.5	0.447	1985	8.5	tt0088763	Michael J. Fox	Christopher Lloyd	Robert Zemeckis	
236	236	Godzilla	Sony	379	136.3	0.36	242.7	0.64	1998	6.5	tt0831387	Aaron Taylor-Johnson	CJ Adams	Gareth Edwards	
237	237	True Lies	Fox	378.9	146.3	0.386	232.6	0.614	1994	7.2	tt0111503	Arnold Schwarzenegger	Jamie Lee Curtis	James Cameron	
238	238	Slumdog Millionaire	FoxS	377.9	141.3	0.374	236.6	0.626	2008	8	tt1010048	Dev Patel	Saurabh Shukla	Danny Boyle	Loveleen Tandan
239	239	Mad Max: Fury Road	WB	377.6	153.6	0.407	224	0.593	2015	8.2	tt1392190	Tom Hardy	Charlize Theron	George Miller	
240	240	Taken 2	Fox	376.1	139.9	0.372	236.3	0.628	2012	6.3	tt1397280	Liam Neeson	Maggie Grace	Olivier Megaton	
241	241	G.I. Joe: Retaliation	Par.	375.7	122.5	0.326	253.2	0.674	2013	5.8	tt1583421	Dwayne Johnson	Jonathan Pryce	Jon M. Chu	
242	242	Batman Begins	WB	374.2	206.9	0.553	167.4	0.447	2005^	8.3	tt0372784	Christian Bale	Michael Caine	Christopher Nolan	
243	243	What Women Want	Par.	374.1	182.8	0.489	191.3	0.511	2000	6.4	tt0207201	Mel Gibson	Helen Hunt	Nancy Meyers	
244	244	The Adventures of Tintin	Par.	374	77.6	0.207	296.4	0.793	2011	7.4	tt0983193	Jamie Bell	Andy Serkis	Steven Spielberg	
245	245	X-Men Origins: Wolverine	Fox	373.1	179.9	0.482	193.2	0.518	2009	6.7	tt0458525	Hugh Jackman	Liev Schreiber	Gavin Hood	
246	246	Penguins of Madagascar	Fox	373	83.4	0.223	289.7	0.777	2014	6.7	tt1911658	Tom McGrath	Chris Miller	Eric Darnell	Simon J. Smith
247	247	The Golden Compass	NL	372.2	70.1	0.188	302.1	0.812	2007	6.1	tt0385752	Nicole Kidman	Daniel Craig	Chris Weitz	
248	248	Terminator Salvation	WB	371.4	125.3	0.337	246	0.663	2009	6.6	tt0438488	Christian Bale	Sam Worthington	McG	
249	249	Captain America: The First Avenger	Par.	370.6	176.7	0.477	193.9	0.523	2011	6.8	tt0458339	Chris Evans	Hayley Atwell	Joe Johnston	
250	250	Edge of Tomorrow	WB	370.5	100.2	0.27	270.3	0.73	2014	7.9	tt1631867	Tom Cruise	Emily Blunt	Doug Liman	
251	251	There's Something About Mary	Fox	369.9	176.5	0.477	193.4	0.523	1998	7.1	tt0129387	Cameron Diaz	Matt Dillon	Bobby Farrelly	Peter Farrelly
252	252	Gone Girl	Fox	369.3	167.8	0.454	201.6	0.546	2014	8.1	tt2267998	Ben Affleck	Rosamund Pike	David Fincher	
253	253	The Fugitive	WB	368.9	183.9	0.498	185	0.502	1993	7.8	tt0106977	Harrison Ford	Tommy Lee Jones	Andrew Davis	
254	254	Jurassic Park III	Uni.	368.8	181.2	0.491	187.6	0.509	2001	5.9	tt0163025	Sam Neill	William H. Macy	Joe Johnston	
255	255	My Big Fat Greek Wedding	IFC	368.7	241.4	0.655	127.3	0.345	2002	6.6	tt0259446	Nia Vardalos	Michael Constantine	Joel Zwick	
256	256	Hitch	Sony	368.1	179.5	0.488	188.6	0.512	2005	6.7	tt0386588	Will Smith	Eva Mendes	Andy Tennant	
257	257	Shark Tale	DW	367.3	160.9	0.438	206.4	0.562	2004	6	tt0307453	Will Smith	Robert De Niro	Bibo Bergeron	Vicky Jenson
258	258	Die Hard: With A Vengeance	Fox	366.1	100	0.273	266.1	0.727	1995	7.6	tt0112864	Bruce Willis	Jeremy Irons	John McTiernan	
259	259	Notting Hill	Uni.	363.9	116.1	0.319	247.8	0.681	1999	7	tt0125439	Julia Roberts	Hugh Grant	Roger Michell	
260	260	A Bug's Life	BV	363.4	162.8	0.448	200.6	0.552	1998	7.2	tt0120623	Dave Foley	Kevin Spacey	John Lasseter	Andrew Stanton
261	261	Night at the Museum: Secret of the Tomb	Fox	363.2	113.7	0.313	249.5	0.687	2014	6.2	tt2692250	Ben Stiller	Robin Williams	Shawn Levy	
262	262	Fast and Furious	Uni.	363.2	155.1	0.427	208.1	0.573	2009	6.6	tt1013752	Vin Diesel	Paul Walker	Justin Lin	
263	263	Ocean's Twelve	WB	362.7	125.5	0.346	237.2	0.654	2004	6.4	tt0349903	Brad Pitt	Catherine Zeta-Jones	Steven Soderbergh	
264	264	Noah	Par.	362.6	101.2	0.279	261.4	0.721	2014	5.8	tt1959490	Russell Crowe	Jennifer Connelly	Darren Aronofsky	
265	265	Planet of the Apes (2001)	Fox	362.2	180	0.497	182.2	0.503	2001		tt5043564	Anders Arentoft	Jennifer Connelly	Thomas Eikrem	
266	266	The Hangover Part III	WB	362	112.2	0.31	249.8	0.69	2013	5.9	tt1951261	Bradley Cooper	Ed Helms	Todd Phillips	
267	267	Toy Story	BV	362	191.8	0.53	170.2	0.47	1995^	8.3	tt0114709	Tom Hanks	Tim Allen	John Lasseter	
268	268	The World Is Not Enough	MGM	361.8	126.9	0.351	234.9	0.649	1999	6.4	tt0143145	Pierce Brosnan	Sophie Marceau	Michael Apted	
269	269	Alvin and the Chipmunks	Fox	361.3	217.3	0.601	144	0.399	2007	5.3	tt0952640	Jason Lee	David Cross	Tim Hill	
270	270	The Karate Kid	Sony	359.1	176.6	0.492	182.5	0.508	2010	7.2	tt0087538	Ralph Macchio	Pat Morita	John G. Avildsen	
271	271	Home Alone 2: Lost in New York	Fox	359	173.6	0.484	185.4	0.516	1992	6.6	tt0104431	Macaulay Culkin	Joe Pesci	Chris Columbus	
272	272	Hotel Transylvania	Sony	358.4	148.3	0.414	210.1	0.586	2012	7.1	tt0837562	Adam Sandler	Andy Samberg	Genndy Tartakovsky	
273	273	Minority Report	Fox	358.4	132.1	0.369	226.3	0.631	2002	7.7	tt0181689	Tom Cruise	Max von Sydow	Steven Spielberg	
274	274	Top Gun	Par.	356.8	179.8	0.504	177	0.496	1986^	6.9	tt0092099	Tom Cruise	Kelly McGillis	Tony Scott	
275	275	American Beauty	DW	356.3	130.1	0.365	226.2	0.635	1999	8.4	tt0169547	Kevin Spacey	Annette Bening	Sam Mendes	
276	276	Apollo 13	Uni.	355.2	173.8	0.489	181.4	0.511	1995^	7.6	tt0112384	Tom Hanks	Bill Paxton	Ron Howard	
277	277	Rain Man	MGM	354.8	172.8	0.487	182	0.513	1988	8	tt0095953	Dustin Hoffman	Tom Cruise	Barry Levinson	
278	278	X-Men: First Class	Fox	353.6	146.4	0.414	207.2	0.586	2011	7.8	tt1270798	James McAvoy	Laurence Belcher	Matthew Vaughn	
279	279	Basic Instinct	TriS	352.9	117.7	0.334	235.2	0.666	1992	6.9	tt0103772	Michael Douglas	Sharon Stone	Paul Verhoeven	
280	280	GoldenEye	MGM	352.2	106.4	0.302	245.8	0.698	1995	7.2	tt0113189	Pierce Brosnan	Sean Bean	Martin Campbell	
281	281	Catch Me If You Can	DW	352.1	164.6	0.468	187.5	0.532	2002	8	tt0264464	Leonardo DiCaprio	Tom Hanks	Steven Spielberg	
282	282	Now You See Me	LG/S	351.7	117.7	0.335	234	0.665	2013	7.3	tt1670345	Jesse Eisenberg	Mark Ruffalo	Louis Leterrier	
283	283	Hannibal	MGM	351.7	165.1	0.469	186.6	0.531	2001	8.6	tt2243973	Hugh Dancy	Mads Mikkelsen	Bryan Fuller	
284	284	The Mask	NL	351.6	119.9	0.341	231.6	0.659	1994	6.9	tt0110475	Jim Carrey	Peter Riegert	Chuck Russell	
285	285	The Great Gatsby (2013)	WB	351	144.8	0.413	206.2	0.587	2013	7.3	tt1343092	Lisa Adam	Frank Aldridge	Baz Luhrmann	
286	286	Speed	Fox	350.4	121.2	0.346	229.2	0.654	1994	7.2	tt0111257	Keanu Reeves	Dennis Hopper	Jan de Bont	
287	287	Dinosaur	BV	349.8	137.7	0.394	212.1	0.606	2000	6.4	tt0130623	D.B. Sweeney	Alfre Woodard	Eric Leighton	Ralph Zondag
288	288	Deep Impact	Par.	349.5	140.5	0.402	209	0.598	1998	6.1	tt0120647	Robert Duvall	T¨¦a Leoni	Mimi Leder	
289	289	Dr. Seuss' The Lorax	Uni.	348.8	214	0.614	134.8	0.386	2012	6.5	tt1482459	Danny DeVito	Ed Helms	Chris Renaud	Kyle Balda
290	290	The Maze Runner	Fox	348.3	102.4	0.294	245.9	0.706	2014	6.8	tt1790864	Dylan O'Brien	Aml Ameen	Wes Ball	
291	291	The Smurfs 2	Sony	347.5	71	0.204	276.5	0.796	2013	5.4	tt2017020	Hank Azaria	Neil Patrick Harris	Raja Gosnell	
292	292	National Treasure	BV	347.5	173	0.498	174.5	0.502	2004	6.9	tt0368891	Nicolas Cage	Diane Kruger	Jon Turteltaub	
293	293	Rush Hour 2	NL	347.3	226.2	0.651	121.2	0.349	2001	6.6	tt0266915	Jackie Chan	Chris Tucker	Brett Ratner	
294	294	"I, Robot"	Fox	347.2	144.8	0.417	202.4	0.583	2004	7.1	tt0343818	Will Smith	Bridget Moynahan	Alex Proyas	
295	295	Pocahontas	BV	346.1	141.6	0.409	204.5	0.591	1995	6.6	tt0114148	Irene Bedard	Judy Kuhn	Mike Gabriel	Eric Goldberg
296	296	How the Grinch Stole Christmas	Uni.	345.1	260	0.753	85.1	0.247	2000	6	tt0170016	Jim Carrey	Taylor Momsen	Ron Howard	
297	297	Alvin and the Chipmunks: Chipwrecked	Fox	342.7	133.1	0.388	209.6	0.612	2011	4.4	tt1615918	Jason Lee	David Cross	Mike Mitchell	
298	298	The Flintstones	Uni.	341.6	130.5	0.382	211.1	0.618	1994	7.5	tt0053502	Jean Vander Pyl	Alan Reed	Joseph Barbera	William Hanna
299	299	Wanted	Uni.	341.4	134.5	0.394	206.9	0.606	2008	6.7	tt0493464	James McAvoy	Morgan Freeman	Timur Bekmambetov	
300	300	Enchanted	BV	340.5	127.8	0.375	212.7	0.625	2007	7.1	tt0461770	Amy Adams	Patrick Dempsey	Kevin Lima	
301	301	300: Rise of An Empire	WB	337.6	106.6	0.316	231	0.684	2014	6.3	tt1253863	Sullivan Stapleton	Eva Green	Noam Murro	
302	302	Batman Forever	WB	336.5	184	0.547	152.5	0.453	1995	5.4	tt0112462	Val Kilmer	Tommy Lee Jones	Joel Schumacher	
303	303	Prince of Persia: The Sands of Time	BV	336.4	90.8	0.27	245.6	0.73	2010	6.6	tt0473075	Jake Gyllenhaal	Gemma Arterton	Mike Newell	
304	304	Over the Hedge	P/DW	336	155	0.461	181	0.539	2006	6.8	tt0327084	Bruce Willis	Garry Shandling	Tim Johnson	Karey Kirkpatrick
305	305	Journey 2: The Mysterious Island	WB (NL)	335.3	103.9	0.31	231.4	0.69	2012	5.8	tt1397514	Dwayne Johnson	Michael Caine	Brad Peyton	
306	306	The Rock	BV	335.1	134.1	0.4	201	0.6	1996	7.4	tt0117500	Sean Connery	Nicolas Cage	Michael Bay	
307	307	The Curious Case of Benjamin Button	Par.	333.9	127.5	0.382	206.4	0.618	2008	7.8	tt0421715	Cate Blanchett	Brad Pitt	David Fincher	
308	308	Indiana Jones and the Temple of Doom	Par.	333.1	179.9	0.54	153.2	0.46	1984	7.6	tt0087469	Harrison Ford	Kate Capshaw	Steven Spielberg	
309	309	Tomorrow Never Dies	MGM	333	125.3	0.376	207.7	0.624	1997	6.5	tt0120347	Pierce Brosnan	Jonathan Pryce	Roger Spottiswoode	
310	310	Back to the Future Part II	Uni.	332	118.5	0.357	213.5	0.643	1989	7.8	tt0096874	Michael J. Fox	Christopher Lloyd	Robert Zemeckis	
311	311	22 Jump Street	Sony	331.3	191.7	0.579	139.6	0.421	2014	7.1	tt2294449	Jonah Hill	Channing Tatum	Phil Lord	Christopher Miller
312	312	Fantastic Four (2005)	Fox	330.6	154.7	0.468	175.9	0.532	2005	5.7	tt0120667	Ioan Gruffudd	Jessica Alba	Tim Story	
313	313	Meet the Parents	Uni.	330.4	166.2	0.503	164.2	0.497	2000	7	tt0212338	Robert De Niro	Ben Stiller	Jay Roach	
314	314	Who Framed Roger Rabbit	BV	329.8	156.5	0.474	173.4	0.526	1988	7.7	tt0096438	Bob Hoskins	Christopher Lloyd	Robert Zemeckis	
315	315	Black Swan	FoxS	329.4	107	0.325	222.4	0.675	2010	8	tt0947798	Natalie Portman	Mila Kunis	Darren Aronofsky	
316	316	The Perfect Storm	WB	328.7	182.6	0.556	146.1	0.444	2000	6.4	tt0177971	George Clooney	Mark Wahlberg	Wolfgang Petersen	
317	317	Crocodile Dundee	Par.	328.2	174.8	0.533	153.4	0.467	1986	6.5	tt0090555	Paul Hogan	Linda Kozlowski	Peter Faiman	
318	318	Seven	NL	327.3	100.1	0.306	227.2	0.694	1995	8.6	tt0114369	Morgan Freeman	Andrew Kevin Walker	David Fincher	
319	319	The Devil Wears Prada	Fox	326.6	124.7	0.382	201.8	0.618	2006	6.8	tt0458352	Meryl Streep	Anne Hathaway	David Frankel	
320	320	Taken 3	Fox	326.5	89.3	0.273	237.2	0.727	2015	6	tt2446042	Liam Neeson	Forest Whitaker	Olivier Megaton	
321	321	The Hunchback of Notre Dame	BV	325.3	100.1	0.308	225.2	0.692	1996	6.9	tt0116583	Jason Alexander	Tom Hulce	Gary Trousdale	Kirk Wise
322	322	A Christmas Carol (2009)	BV	325.3	137.9	0.424	187.4	0.576	2009		tt3873984	James Barratt	Tom Hulce	James Barratt	
323	323	The SpongeBob Movie: Sponge Out of Water	Par.	323.4	163	0.504	160.4	0.496	2015	6	tt2279373	Antonio Banderas	Eric Bauza	Paul Tibbitt	Mike Mitchell
324	324	Megamind	P/DW	321.9	148.4	0.461	173.5	0.539	2010	7.3	tt1001526	Will Ferrell	Brad Pitt	Tom McGrath	
325	325	Lethal Weapon 3	WB	321.7	144.7	0.45	177	0.55	1992	6.7	tt0104714	Mel Gibson	Danny Glover	Richard Donner	
326	326	Robin Hood	Uni.	321.7	105.3	0.327	216.4	0.673	2010	6.7	tt0955308	Russell Crowe	Cate Blanchett	Ridley Scott	
327	327	Inglourious Basterds	Wein.	321.5	120.5	0.375	200.9	0.625	2009	8.3	tt0361748	Brad Pitt	M¨¦lanie Laurent	Quentin Tarantino	Eli Roth
328	328	Schindler's List	Uni.	321.3	96.1	0.299	225.2	0.701	1993	8.9	tt0108052	Liam Neeson	Ben Kingsley	Steven Spielberg	
329	329	101 Dalmatians (1996)	BV	320.7	136.2	0.425	184.5	0.575	1996	7	tt0350741	Rick Adamson	Martin Sheen	Dominik Sedlar	Jakov Sedlar
330	330	Fatal Attraction	Par.	320.1	156.6	0.489	163.5	0.511	1987	6.9	tt0093010	Michael Douglas	Glenn Close	Adrian Lyne	
331	331	The Last Airbender	Par.	319.7	131.8	0.412	187.9	0.588	2010	4.2	tt0938283	Noah Ringer	Dev Patel	M. Night Shyamalan	
332	332	The Conjuring	WB (NL)	318	137.4	0.432	180.6	0.568	2013	7.5	tt1457767	Vera Farmiga	Patrick Wilson	James Wan	
333	333	The Proposal	BV	317.4	164	0.517	153.4	0.483	2009	6.7	tt1041829	Sandra Bullock	Ryan Reynolds	Anne Fletcher	
334	334	Beverly Hills Cop	Par.	316.4	234.8	0.742	81.6	0.258	1984	7.3	tt0086960	Eddie Murphy	Judge Reinhold	Martin Brest	
335	335	Air Force One	Sony	315.2	173	0.549	142.2	0.451	1997	6.4	tt0118571	Harrison Ford	Gary Oldman	Wolfgang Petersen	
336	336	Chicken Little	BV	314.4	135.4	0.431	179	0.569	2005	5.8	tt0371606	Zach Braff	Garry Marshall	Mark Dindal	
337	337	As Good as It Gets	Sony	314.2	148.5	0.473	165.7	0.527	1997	7.7	tt0119822	Jack Nicholson	Helen Hunt	James L. Brooks	
338	338	A Beautiful Mind	Uni.	313.5	170.7	0.545	142.8	0.455	2001	8.2	tt0268978	Russell Crowe	Ed Harris	Ron Howard	
339	339	The Good Dinosaur	BV	313.3	122	0.389	191.3	0.611	2015	6.9	tt1979388	Jeffrey Wright	Frances McDormand	Peter Sohn	
340	340	Maze Runner: The Scorch Trials	Fox	312.3	81.7	0.262	230.6	0.738	2015	6.4	tt4046784	Dylan O'Brien	Ki Hong Lee	Wes Ball	
341	341	Austin Powers: The Spy Who Shagged Me	NL	312	206	0.66	106	0.34	1999	6.6	tt0145660	Mike Myers	Heather Graham	Jay Roach	
342	342	Ocean's Thirteen	WB	311.3	117.2	0.376	194.2	0.624	2007	6.9	tt0496806	George Clooney	Brad Pitt	Steven Soderbergh	
343	343	Little Fockers	Uni.	310.7	148.4	0.478	162.2	0.522	2010	5.5	tt0970866	Robert De Niro	Ben Stiller	Paul Weitz	
344	344	Bolt	BV	310	114.1	0.368	195.9	0.632	2008	6.9	tt0397892	John Travolta	Miley Cyrus	Byron Howard	Chris Williams
345	345	Ransom	BV	309.5	136.5	0.441	173	0.559	1996	6.6	tt0117438	Mel Gibson	Rene Russo	Ron Howard	
346	346	Runaway Bride	Par.	309.5	152.3	0.492	157.2	0.508	1999	5.4	tt0163187	Julia Roberts	Richard Gere	Garry Marshall	
347	347	The Blind Side	WB	309.2	256	0.828	53.2	0.172	2009	7.7	tt0878804	Sandra Bullock	Tim McGraw	John Lee Hancock	
348	348	The Polar Express	WB	307.5	183.4	0.596	124.1	0.404	2004^	6.6	tt0338348	Tom Hanks	Leslie Zemeckis	Robert Zemeckis	
349	349	The Fault in our Stars	Fox	307.2	124.9	0.407	182.3	0.593	2014	7.9	tt2582846	Shailene Woodley	Ansel Elgort	Josh Boone	
350	350	The Pursuit of Happyness	Sony	307.1	163.6	0.533	143.5	0.467	2006	7.9	tt0454921	Will Smith	Jaden Smith	Gabriele Muccino	
351	351	Rise of the Guardians	P/DW	306.9	103.4	0.337	203.5	0.663	2012	7.3	tt1446192	Chris Pine	Alec Baldwin	Peter Ramsey	
352	352	Chicago	Mira.	306.8	170.7	0.556	136.1	0.444	2002	7.2	tt0299658	Taye Diggs	Cliff Saunders	Rob Marshall	
353	353	The Expendables 2	LGF	305.4	85	0.278	220.4	0.722	2012	6.7	tt1764651	Sylvester Stallone	Jason Statham	Simon West	
354	354	Wrath of the Titans	WB	305.3	83.7	0.274	221.6	0.726	2012	5.8	tt1646987	Sam Worthington	Liam Neeson	Jonathan Liebesman	
