Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	Imdb_id	star1	star2	director1	director2
40	40	Spectre	Sony	879.5	199.8	0.227	679.7	0.773	2015	6.9	tt2379713	Daniel Craig	Christoph Waltz	Sam Mendes	
41	41	Harry Potter and the Chamber of Secrets	WB	879	262	0.298	617	0.702	2002	7.4	tt0295297	Daniel Radcliffe	Rupert Grint	Chris Columbus	
42	42	Ice Age: Continental Drift	Fox	877.2	161.3	0.184	715.9	0.816	2012	6.7	tt1667889	Aziz Ansari	Joy Behar	Steve Martino	Mike Thurmeier
43	43	The Lord of the Rings: The Fellowship of the Ring	NL	871.5	315.5	0.362	556	0.638	2001^	8.8	tt0120737	Alan Howard	Noel Appleby	Peter Jackson	
44	44	The Hunger Games: Catching Fire	LGF	865	424.7	0.491	440.3	0.509	2013	7.6	tt1951264	Jennifer Lawrence	Liam Hemsworth	Francis Lawrence	
45	45	Inside Out	BV	856.8	356.5	0.416	500.3	0.584	2015	8.3	tt2096673	Amy Poehler	Phyllis Smith	Pete Docter	Ronnie Del Carmen
46	46	Star Wars: Episode III - Revenge of the Sith	Fox	848.8	380.3	0.448	468.5	0.552	2005^	7.6	tt0121766	Ewan McGregor	Natalie Portman	George Lucas	
47	47	Transformers: Revenge of the Fallen	P/DW	836.3	402.1	0.481	434.2	0.519	2009	6	tt1055369	Shia LaBeouf	Megan Fox	Michael Bay	
48	48	The Twilight Saga: Breaking Dawn Part 2	LG/S	829.7	292.3	0.352	537.4	0.648	2012	5.5	tt1673434	Kristen Stewart	Robert Pattinson	Bill Condon	
49	49	Inception	WB	825.5	292.6	0.354	533	0.646	2010	8.8	tt1375666	Leonardo DiCaprio	Joseph Gordon-Levitt	Christopher Nolan	
50	50	Spider-Man	Sony	821.7	403.7	0.491	418	0.509	2002	7.3	tt0145487	Tobey Maguire	Willem Dafoe	Sam Raimi	
51	51	Independence Day	Fox	817.4	306.2	0.375	511.2	0.625	1996^	6.9	tt0116629	Will Smith	Bill Pullman	Roland Emmerich	
52	52	Shrek the Third	P/DW	799	322.7	0.404	476.2	0.596	2007	6.1	tt0413267	Mike Myers	Eddie Murphy	Chris Miller	Raman Hui
53	53	Harry Potter and the Prisoner of Azkaban	WB	796.7	249.5	0.313	547.1	0.687	2004	7.8	tt0304141	Daniel Radcliffe	Richard Griffiths	Alfonso Cuar¨®n	
54	54	E.T.: The Extra-Terrestrial	Uni.	792.9	435.1	0.549	357.8	0.451	1982^	7.8	tt0083866	Dee Wallace	Henry Thomas	Steven Spielberg	
55	55	Fast & Furious 6	Uni.	788.7	238.7	0.303	550	0.697	2013	7.2	tt1905041	Vin Diesel	Paul Walker	Justin Lin	
56	56	Indiana Jones and the Kingdom of the Crystal Skull	Par.	786.6	317.1	0.403	469.5	0.597	2008	6.2	tt0367882	Harrison Ford	Cate Blanchett	Steven Spielberg	
57	57	Spider-Man 2	Sony	783.8	373.6	0.477	410.2	0.523	2004	7.3	tt0316654	Tobey Maguire	Kirsten Dunst	Sam Raimi	
58	58	Star Wars	Fox	775.4	461	0.595	314.4	0.405	1977^	8.7	tt0076759	Mark Hamill	Harrison Ford	George Lucas	
59	59	Guardians of the Galaxy	BV	773.3	333.2	0.431	440.1	0.569	2014	8.1	tt2015381	Chris Pratt	Zoe Saldana	James Gunn	
60	60	2012	Sony	769.7	166.1	0.216	603.6	0.784	2009	5.8	tt1190080	John Cusack	Amanda Peet	Roland Emmerich	
61	61	Maleficent	BV	758.5	241.4	0.318	517.1	0.682	2014	7	tt1587310	Angelina Jolie	Elle Fanning	Robert Stromberg	
62	62	The Da Vinci Code	Sony	758.2	217.5	0.287	540.7	0.713	2006	6.5	tt0382625	Tom Hanks	Audrey Tautou	Ron Howard	
63	63	The Amazing Spider-Man	Sony	757.9	262	0.346	495.9	0.654	2012	7.3	tt0316654	Tobey Maguire	Kirsten Dunst	Sam Raimi	
64	64	The Hunger Games: Mockingjay - Part 1	LGF	755.4	337.1	0.446	418.2	0.554	2014	6.7	tt1951265	Jennifer Lawrence	Josh Hutcherson	Francis Lawrence	
65	65	Shrek Forever After	P/DW	752.6	238.7	0.317	513.9	0.683	2010	6.4	tt0892791	Mike Myers	Eddie Murphy	Mike Mitchell	
66	66	X-Men: Days of Future Past	Fox	747.9	233.9	0.313	513.9	0.687	2014	8	tt1877832	Hugh Jackman	James McAvoy	Bryan Singer	
67	67	Madagascar 3: Europe's Most Wanted	P/DW	746.9	216.4	0.29	530.5	0.71	2012	6.9	tt1277953	Ben Stiller	Chris Rock	Eric Darnell	Tom McGrath
68	68	"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"	BV	745	291.7	0.392	453.3	0.608	2005	6.9	tt0363771	Georgie Henley	Skandar Keynes	Andrew Adamson	
69	69	Monsters University	BV	743.6	268.5	0.361	475.1	0.639	2013	7.4	tt1453405	Billy Crystal	John Goodman	Dan Scanlon	
70	70	The Matrix Reloaded	WB	742.1	281.6	0.379	460.6	0.621	2003	7.2	tt0234215	Ray Anthony	Christine Anu	Lana Wachowski	Lilly Wachowski
71	71	Up	BV	731.3	293	0.401	438.3	0.599	2009	8.3	tt1049413	Edward Asner	Christopher Plummer	Pete Docter	Bob Peterson
72	72	Gravity	WB	723.2	274.1	0.379	449.1	0.621	2013	7.9	tt1454468	Sandra Bullock	George Clooney	Alfonso Cuar¨®n	
73	73	Captain America: The Winter Soldier	BV	714.4	259.8	0.364	454.7	0.636	2014	7.8	tt1843866	Chris Evans	Samuel L. Jackson	Anthony Russo	Joe Russo
74	74	The Twilight Saga: Breaking Dawn Part 1	Sum.	712.2	281.3	0.395	430.9	0.605	2011	4.9	tt1324999	Taylor Lautner	Gil Birmingham	Bill Condon	
75	75	Dawn of the Planet of the Apes	Fox	710.6	208.5	0.293	502.1	0.707	2014	7.6	tt2103281	Andy Serkis	Jason Clarke	Matt Reeves	
76	76	The Twilight Saga: New Moon	Sum.	709.7	296.6	0.418	413.1	0.582	2009	4.6	tt1259571	Kristen Stewart	Christina Jastrzembska	Chris Weitz	
77	77	Transformers	P/DW	709.7	319.2	0.45	390.5	0.55	2007	7.1	tt0418279	Shia LaBeouf	Megan Fox	Michael Bay	
78	78	The Amazing Spider-Man 2	Sony	709	202.9	0.286	506.1	0.714	2014	6.8	tt1872181	Andrew Garfield	Emma Stone	Marc Webb	
79	79	The Twilight Saga: Eclipse	Sum.	698.5	300.5	0.43	398	0.57	2010	4.9	tt1325004	Xavier Samuel	Kristen Stewart	David Slade	
80	80	Mission: Impossible - Ghost Protocol	Par.	694.7	209.4	0.301	485.3	0.699	2011	7.4	tt1229238	Tom Cruise	Paula Patton	Brad Bird	
81	81	The Hunger Games	LGF	694.4	408	0.588	286.4	0.412	2012	7.3	tt1392170	Stanley Tucci	Wes Bentley	Gary Ross	
82	82	Mission: Impossible - Rogue Nation	Par.	682.3	195	0.286	487.3	0.714	2015	7.5	tt2381249	Tom Cruise	Jeremy Renner	Christopher McQuarrie	
83	83	Forrest Gump	Par.	677.9	330.3	0.487	347.7	0.513	1994^	8.8	tt0109830	Tom Hanks	Rebecca Williams	Robert Zemeckis	
84	84	Interstellar	Par.	675.1	188	0.278	487.1	0.722	2014	8.6	tt0816692	Ellen Burstyn	Matthew McConaughey	Christopher Nolan	
85	85	The Sixth Sense	BV	672.8	293.5	0.436	379.3	0.564	1999	8.1	tt0167404	Bruce Willis	Haley Joel Osment	M. Night Shyamalan	
86	86	Man of Steel	WB	668	291	0.436	377	0.564	2013	7.2	tt0770828	Henry Cavill	Amy Adams	Zack Snyder	
87	87	Kung Fu Panda 2	P/DW	665.7	165.2	0.248	500.4	0.752	2011	7.3	tt1302011	Jack Black	Angelina Jolie	Jennifer Yuh Nelson	
88	88	Ice Age: The Meltdown	Fox	660.9	195.3	0.296	465.6	0.704	2006	6.9	tt0438097	Ray Romano	John Leguizamo	Carlos Saldanha	
89	89	Big Hero 6	BV	657.8	222.5	0.338	435.3	0.662	2014	7.9	tt2245084	Scott Adsit	Ryan Potter	Don Hall	Chris Williams
90	90	Pirates of the Caribbean: The Curse of the Black Pearl	BV	654.3	305.4	0.467	348.9	0.533	2003	8.1	tt0325980	Johnny Depp	Geoffrey Rush	Gore Verbinski	
91	91	The Hunger Games: Mockingjay - Part 2	LGF	653	281.7	0.431	371.2	0.569	2015	7	tt1951266	Jennifer Lawrence	Josh Hutcherson	Francis Lawrence	
