"rank"	"reviewnum"	"title"	"tomato_rating"	"year"	"title1"
"360"	34	59	"The Butcher Boy "	"78%"	"1997"	"thebutcherboy"
"361"	35	62	"Amistad "	"76%"	"1997"	"amistad"
"362"	36	58	"Kundun "	"76%"	"1997"	"kundun"
"363"	37	61	"Cop Land "	"72%"	"1997"	"copland"
"364"	38	53	"The Game "	"72%"	"1997"	"thegame"
"365"	39	50	"In & Out "	"72%"	"1997"	"in&out"
"366"	40	59	"The Fifth Element "	"71%"	"1997"	"thefifthelement"
"367"	41	56	"My Best Friend's Wedding "	"71%"	"1997"	"mybestfriend'swedding"
"368"	42	60	"Austin Powers: International Man of Mystery "	"70%"	"1997"	"austinpowers:internationalmanofmystery"
"369"	43	53	"Romy and Michele's High School Reunion "	"70%"	"1997"	"romyandmichele'shighschoolreunion"
"370"	44	47	"The Devil's Advocate "	"66%"	"1997"	"thedevil'sadvocate"
"371"	45	41	"She's So Lovely "	"66%"	"1997"	"she'ssolovely"
"372"	46	47	"Zero Effect "	"64%"	"1997"	"zeroeffect"
"373"	47	59	"Starship Troopers "	"63%"	"1997"	"starshiptroopers"
"374"	48	63	"Contact "	"62%"	"1997"	"contact"
"375"	49	47	"The Edge "	"60%"	"1997"	"theedge"
"376"	50	43	"Dream with the Fishes "	"60%"	"1997"	"dreamwiththefishes"
"377"	51	42	"Lost Highway "	"60%"	"1997"	"losthighway"
"378"	52	82	"Tomorrow Never Dies "	"57%"	"1997"	"tomorrowneverdies"
"379"	53	40	"The Gingerbread Man "	"60%"	"1997"	"thegingerbreadman"
"380"	54	49	"U-Turn "	"59%"	"1997"	"u-turn"
"381"	55	49	"Another Day in Paradise "	"57%"	"1997"	"anotherdayinparadise"
"382"	56	52	"George of the Jungle "	"56%"	"1997"	"georgeofthejungle"
"383"	57	71	"Alien Resurrection "	"54%"	"1997"	"alienresurrection"
"384"	58	63	"Con Air "	"54%"	"1997"	"conair"
"385"	59	68	"The Lost World - Jurassic Park "	"51%"	"1997"	"thelostworld-jurassicpark"
"386"	60	42	"Conspiracy Theory "	"52%"	"1997"	"conspiracytheory"
"387"	61	42	"Picture Perfect "	"48%"	"1997"	"pictureperfect"
"388"	62	44	"Blues Brothers "	"45%"	"2000 (*1997"	"bluesbrothers"
"389"	63	42	"Absolute Power "	"45%"	"1997"	"absolutepower"
"390"	64	57	"Fallen "	"40%"	"1997"	"fallen"
"391"	65	48	"Anaconda "	"38%"	"1997"	"anaconda"
"392"	66	42	"I Know What You Did Last Summer "	"36%"	"1997"	"iknowwhatyoudidlastsummer"
"393"	67	44	"The Saint "	"30%"	"1997"	"thesaint"
"394"	68	41	"Hard Rain "	"29%"	"1997"	"hardrain"
"395"	69	59	"Fathers' Day "	"25%"	"1997"	"fathers'day"
"396"	70	48	"A Thousand Acres "	"23%"	"1997"	"athousandacres"
"397"	71	41	"Jungle 2 Jungle "	"20%"	"1997"	"jungle2jungle"
"398"	72	42	"Spawn "	"19%"	"1997"	"spawn"
"399"	73	42	"Jingle All the Way "	"17%"	"1997"	"jinglealltheway"
"400"	74	85	"Batman & Robin "	"11%"	"1997"	"batman&robin"
"401"	75	68	"Speed 2 - Cruise Control "	"3%"	"1997"	"speed2-cruisecontrol"
"402"	1	125	"The Truman Show "	"94%"	"1998"	"thetrumanshow"
"403"	2	89	"Antz "	"96%"	"1998"	"antz"
"404"	3	130	"Saving Private Ryan "	"92%"	"1998"	"savingprivateryan"
"405"	4	130	"Shakespeare in Love "	"92%"	"1998"	"shakespeareinlove"
"406"	5	62	"Gods and Monsters "	"95%"	"1998"	"godsandmonsters"
"407"	6	88	"Out of Sight "	"93%"	"1998"	"outofsight"
"408"	7	86	"A Bug's Life "	"92%"	"1998"	"abug'slife"
"409"	8	49	"Central Station Central do Brasil) "	"94%"	"1998"	"centralstationcentraldobrasil)"
"410"	9	43	"The Dreamlife of Angels "	"93%"	"1998"	"thedreamlifeofangels"
"411"	10	102	"Rushmore "	"89%"	"1998"	"rushmore"
"412"	11	64	"Ever After: A Cinderella Story "	"91%"	"1998"	"everafter:acinderellastory"
"413"	12	67	"A Simple Plan "	"90%"	"1998"	"asimpleplan"
"414"	13	45	"Cure "	"91%"	"1998"	"cure"
"415"	14	45	"The Apostle "	"91%"	"1998"	"theapostle"
"416"	15	61	"One True Thing "	"89%"	"1998"	"onetruething"
"417"	16	73	"Mulan "	"86%"	"1998"	"mulan"
"418"	17	55	"Pi "	"87%"	"1998"	"pi"
"419"	18	94	"Pleasantville "	"84%"	"1998"	"pleasantville"
"420"	19	57	"Hilary and Jackie "	"86%"	"1998"	"hilaryandjackie"
"421"	20	50	"The Parent Trap "	"86%"	"1998"	"theparenttrap"
"422"	21	83	"There's Something About Mary "	"83%"	"1998"	"there'ssomethingaboutmary"
"423"	22	82	"American History X "	"83%"	"1998"	"americanhistoryx"
"424"	23	46	"Happiness "	"85%"	"1998"	"happiness"
"425"	24	69	"The Mask of Zorro "	"83%"	"1998"	"themaskofzorro"
"426"	25	49	"Last Night "	"84%"	"1998"	"lastnight"
"427"	26	59	"Waking Ned Devine "	"83%"	"1998"	"wakingneddevine"
"428"	27	60	"Elizabeth "	"82%"	"1998"	"elizabeth"
"429"	28	87	"The Big Lebowski "	"80%"	"1998"	"thebiglebowski"
"430"	29	91	"The Thin Red Line "	"79%"	"1998"	"thethinredline"
"431"	30	75	"Primary Colors "	"80%"	"1998"	"primarycolors"
"432"	31	85	"The Prince of Egypt "	"79%"	"1998"	"theprinceofegypt"
"433"	32	48	"The General "	"81%"	"1998"	"thegeneral"
"434"	33	61	"He Got Game "	"80%"	"1998"	"hegotgame"
"435"	34	60	"Slums of Beverly Hills "	"80%"	"1998"	"slumsofbeverlyhills"
"436"	35	41	"The Opposite of Sex "	"80%"	"1998"	"theoppositeofsex"
"437"	36	40	"Live Flesh Carne trü¾Ž†„¼ü¾¦„¼mula) "	"80%"	"1998"	"livefleshcarnetrü¾Ž†„¼ü¾¦„¼mula)"
"438"	37	67	"Beloved "	"78%"	"1998"	"beloved"
"439"	38	48	"Little Voice "	"79%"	"1998"	"littlevoice"
"440"	39	57	"Your Friends & Neighbors "	"77%"	"1998"	"yourfriends&neighbors"
"441"	40	41	"Buffalo '66 "	"78%"	"1998"	"buffalo'66"
"442"	41	81	"Dark City "	"74%"	"1998"	"darkcity"
"443"	42	65	"Bulworth "	"75%"	"1998"	"bulworth"
"444"	43	56	"The Negotiator "	"75%"	"1998"	"thenegotiator"
"445"	44	40	"The Mighty "	"75%"	"1998"	"themighty"
"446"	45	43	"Les Miserables "	"74%"	"1998"	"lesmiserables"
"447"	46	43	"Next Stop Wonderland "	"74%"	"1998"	"nextstopwonderland"
"448"	47	56	"The Horse Whisperer "	"73%"	"1998"	"thehorsewhisperer"
"449"	48	84	"Enemy of the State "	"71%"	"1998"	"enemyofthestate"
"450"	49	43	"High Art "	"72%"	"1998"	"highart"
"451"	50	56	"Last Days of Disco "	"71%"	"1998"	"lastdaysofdisco"
"452"	51	83	"You've Got Mail "	"69%"	"1998"	"you'vegotmail"
"453"	52	49	"Wilde "	"71%"	"1998"	"wilde"
"454"	53	45	"Return to Paradise "	"71%"	"1998"	"returntoparadise"
"455"	54	60	"Ronin "	"68%"	"1998"	"ronin"
"456"	55	61	"The Wedding Singer "	"67%"	"1998"	"theweddingsinger"
"457"	56	79	"Rounders "	"65%"	"1998"	"rounders"
"458"	57	69	"The X-Files - Fight the Future "	"64%"	"1998"	"thex-files-fightthefuture"
"459"	58	52	"Hideous Kinky "	"65%"	"1998"	"hideouskinky"
"460"	59	58	"Wild Things "	"64%"	"1998"	"wildthings"
"461"	60	52	"Clay Pigeons "	"63%"	"1998"	"claypigeons"
"462"	61	51	"Kurt and Courtney "	"63%"	"1998"	"kurtandcourtney"
"463"	62	49	"Sliding Doors "	"63%"	"1998"	"slidingdoors"
"464"	63	61	"Babe: Pig in the City "	"62%"	"1998"	"babe:piginthecity"
"465"	64	70	"Rush Hour "	"60%"	"1998"	"rushhour"
"466"	65	68	"A Civil Action "	"60%"	"1998"	"acivilaction"
"467"	66	53	"Playing by Heart "	"60%"	"1998"	"playingbyheart"
"468"	67	52	"Permanent Midnight "	"60%"	"1998"	"permanentmidnight"
"469"	68	61	"City of Angels "	"59%"	"1998"	"cityofangels"
"470"	69	54	"Twilight "	"59%"	"1998"	"twilight"
"471"	70	49	"The Rugrats Movie "	"59%"	"1998"	"therugratsmovie"
"472"	71	93	"Blade "	"54%"	"1998"	"blade"
"473"	72	67	"Star Trek: Insurrection "	"55%"	"1998"	"startrek:insurrection"
"474"	73	41	"Velvet Goldmine "	"56%"	"1998"	"velvetgoldmine"
"475"	74	69	"What Dreams May Come "	"54%"	"1998"	"whatdreamsmaycome"
"476"	75	51	"A Perfect Murder "	"55%"	"1998"	"aperfectmurder"
"477"	76	54	"Why Do Fools Fall In Love "	"54%"	"1998"	"whydofoolsfallinlove"
"478"	77	50	"The Faculty "	"54%"	"1998"	"thefaculty"
"479"	78	55	"Apt Pupil Un _lü¾Ž†„¼ü¾Ž†„¼ve Douü¾Ž†„¼ü¾¦„¼) "	"53%"	"1998"	"aptpupilun_lü¾Ž†„¼ü¾Ž†„¼vedouü¾Ž†„¼ü¾¦„¼)"
"480"	79	66	"Lethal Weapon 4 "	"52%"	"1998"	"lethalweapon4"
"481"	80	60	"Two Girls and a Guy "	"52%"	"1998"	"twogirlsandaguy"
"482"	81	46	"Mighty Joe Young "	"52%"	"1998"	"mightyjoeyoung"
"483"	82	44	"Pecker "	"52%"	"1998"	"pecker"
"484"	83	57	"Halloween H2O "	"51%"	"1998"	"halloweenh2o"
"485"	84	65	"Fear and Loathing in Las Vegas "	"49%"	"1998"	"fearandloathinginlasvegas"
"486"	85	42	"Dance with Me "	"50%"	"1998"	"dancewithme"
"487"	86	49	"The Object of My Affection "	"49%"	"1998"	"theobjectofmyaffection"
"488"	87	47	"The Corruptor "	"49%"	"1998"	"thecorruptor"
"489"	88	52	"Deep Impact "	"48%"	"1998"	"deepimpact"
"490"	89	48	"How Stella Got Her Groove Back "	"48%"	"1998"	"howstellagothergrooveback"
"491"	90	44	"Small Soldiers "	"48%"	"1998"	"smallsoldiers"
"492"	91	60	"The Siege "	"45%"	"1998"	"thesiege"
"493"	92	55	"Stepmom "	"44%"	"1998"	"stepmom"
"494"	93	52	"Very Bad Things "	"44%"	"1998"	"verybadthings"
"495"	94	115	"Armageddon "	"39%"	"1998"	"armageddon"
"496"	95	51	"Dr. Dolittle "	"43%"	"1998"	"dr.dolittle"
"497"	96	50	"BASEketball "	"42%"	"1998"	"baseketball"
"498"	97	65	"Snake Eyes "	"40%"	"1998"	"snakeeyes"
"499"	98	58	"Can't Hardly Wait "	"40%"	"1998"	"can'thardlywait"
"500"	99	76	"Psycho "	"37%"	"1998"	"psycho"
"501"	100	75	"The Waterboy "	"35%"	"1998"	"thewaterboy"
"502"	1	163	"Toy Story 2 "	"100%"	"1999"	"toystory2"
"503"	2	134	"The Iron Giant "	"96%"	"1999"	"theirongiant"
"504"	3	132	"The Insider "	"96%"	"1999"	"theinsider"
"505"	4	81	"Todo sobre mi madre All About My Mother) "	"98%"	"1999"	"todosobremimadreallaboutmymother)"
"506"	5	40	"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. "	"100%"	"1999"	"mr.death:theriseandfalloffreda.leuchter,jr."
"507"	6	129	"Three Kings "	"94%"	"1999"	"threekings"
"508"	7	89	"The Straight Story "	"96%"	"1999"	"thestraightstory"
"509"	8	123	"Being John Malkovich "	"93%"	"1999"	"beingjohnmalkovich"
"510"	9	105	"Princess Mononoke "	"92%"	"1999"	"princessmononoke"
"511"	10	104	"Election "	"92%"	"1999"	"election"
"512"	11	180	"American Beauty "	"88%"	"1999"	"americanbeauty"
"513"	12	80	"The Limey "	"93%"	"1999"	"thelimey"
"514"	13	80	"Run Lola Run "	"93%"	"1999"	"runlolarun"
"515"	14	47	"American Movie "	"94%"	"1999"	"americanmovie"
"516"	15	115	"Galaxy Quest "	"90%"	"1999"	"galaxyquest"
"517"	16	72	"Go "	"92%"	"1999"	"go"
"518"	17	141	"The Matrix "	"87%"	"1999"	"thematrix"
"519"	18	155	"The Blair Witch Project "	"86%"	"1999"	"theblairwitchproject"
"520"	19	73	"October Sky "	"90%"	"1999"	"octobersky"
"521"	20	104	"Tarzan "	"88%"	"1999"	"tarzan"
"522"	21	84	"Topsy-Turvy "	"89%"	"1999"	"topsy-turvy"
"523"	22	44	"Buena Vista Social Club "	"91%"	"1999"	"buenavistasocialclub"
"524"	23	149	"The Sixth Sense "	"85%"	"1999"	"thesixthsense"
"525"	24	40	"Show Me Love "	"90%"	"1999"	"showmelove"
"526"	25	40	"Girl on the Bridge La Fille sur le Pont) "	"90%"	"1999"	"girlonthebridgelafillesurlepont)"
"527"	26	76	"Boys Don't Cry "	"88%"	"1999"	"boysdon'tcry"
"528"	27	53	"Himalaya L'Enfance d'un Chef) Caravan) "	"89%"	"1999"	"himalayal'enfanced'unchef)caravan)"
"529"	28	141	"Magnolia "	"84%"	"1999"	"magnolia"
"530"	29	41	"Felicia's Journey "	"88%"	"1999"	"felicia'sjourney"
"531"	30	127	"The Talented Mr. Ripley "	"83%"	"1999"	"thetalentedmr.ripley"
"532"	31	46	"Liberty Heights "	"87%"	"1999"	"libertyheights"
"533"	32	56	"Cookie's Fortune "	"86%"	"1999"	"cookie'sfortune"
"534"	33	113	"The Hurricane "	"83%"	"1999"	"thehurricane"
"535"	34	65	"An Ideal Husband "	"85%"	"1999"	"anidealhusband"
"536"	35	42	"Trekkies "	"86%"	"1999"	"trekkies"
"537"	36	98	"Notting Hill "	"83%"	"1999"	"nottinghill"
"538"	37	46	"Abre los Ojos "	"85%"	"1999"	"abrelosojos"
"539"	38	162	"Fight Club "	"79%"	"1999"	"fightclub"
"540"	39	132	"The Green Mile "	"80%"	"1999"	"thegreenmile"
"541"	40	108	"Bowfinger "	"81%"	"1999"	"bowfinger"
"542"	41	66	"Tumbleweeds "	"83%"	"1999"	"tumbleweeds"
"543"	42	94	"South Park: Bigger, Longer & Uncut "	"81%"	"1999"	"southpark:bigger,longer&uncut"
"544"	43	66	"Beyond the Mat "	"82%"	"1999"	"beyondthemat"
"545"	44	96	"Office Space "	"79%"	"1999"	"officespace"
"546"	45	52	"Happy, Texas "	"81%"	"1999"	"happy,texas"
"547"	46	70	"Audition _dishon) "	"80%"	"1999"	"audition_dishon)"
"548"	47	47	"Jesus' Son "	"81%"	"1999"	"jesus'son"
"549"	48	146	"Eyes Wide Shut "	"74%"	"1999"	"eyeswideshut"
"550"	49	60	"Sweet and Lowdown "	"78%"	"1999"	"sweetandlowdown"
"551"	50	46	"Get Real "	"78%"	"1999"	"getreal"
"552"	51	45	"Twin Falls Idaho "	"78%"	"1999"	"twinfallsidaho"
"553"	52	68	"Mansfield Park "	"76%"	"1999"	"mansfieldpark"
"554"	53	43	"The Adventures of Elmo in Grouchland "	"77%"	"1999"	"theadventuresofelmoingrouchland"
"555"	54	59	"Lock, Stock and Two Smoking Barrels "	"76%"	"1999"	"lock,stockandtwosmokingbarrels"
"556"	55	48	"Besieged "	"75%"	"1999"	"besieged"
"557"	56	111	"The Cider House Rules "	"71%"	"1999"	"theciderhouserules"
"558"	57	105	"Bringing Out the Dead "	"71%"	"1999"	"bringingoutthedead"
"559"	58	71	"The Best Man "	"72%"	"1999"	"thebestman"
"560"	59	45	"The Dinner Game Le D_ner de cons) "	"73%"	"1999"	"thedinnergameled_nerdecons)"
"561"	60	41	"The Red Violin Le violon rouge) "	"73%"	"1999"	"theredviolinleviolonrouge)"
"562"	61	99	"The Thomas Crown Affair "	"70%"	"1999"	"thethomascrownaffair"
"563"	62	63	"Existenz "	"71%"	"1999"	"existenz"
"564"	63	101	"Analyze This "	"69%"	"1999"	"analyzethis"
"565"	64	71	"Dick "	"70%"	"1999"	"dick"
"566"	65	126	"Dogma "	"67%"	"1999"	"dogma"
"567"	66	126	"Sleepy Hollow "	"67%"	"1999"	"sleepyhollow"
"568"	67	103	"Stir of Echoes "	"67%"	"1999"	"stirofechoes"
"569"	68	75	"Titus "	"68%"	"1999"	"titus"
"570"	69	78	"William Shakespeare's 'A Midsummer Night's Dream' "	"67%"	"1999"	"williamshakespeare's'amidsummernight'sdream'"
"571"	70	97	"Stuart Little "	"66%"	"1999"	"stuartlittle"
"572"	71	66	"The End of the Affair "	"67%"	"1999"	"theendoftheaffair"
"573"	72	118	"Man on the Moon "	"63%"	"1999"	"manonthemoon"
"574"	73	68	"Cradle Will Rock "	"65%"	"1999"	"cradlewillrock"
"575"	74	55	"A Map of the World "	"65%"	"1999"	"amapoftheworld"
"576"	75	89	"Music of the Heart "	"63%"	"1999"	"musicoftheheart"
"577"	76	123	"American Pie "	"61%"	"1999"	"americanpie"
"578"	77	212	"Star Wars: Episode I - The Phantom Menace "	"56%"	"1999"	"starwars:episodei-thephantommenace"
"579"	78	89	"Arlington Road "	"62%"	"1999"	"arlingtonroad"
"580"	79	65	"Ride With the Devil "	"63%"	"1999"	"ridewiththedevil"
"581"	80	56	"Muppets From Space "	"63%"	"1999"	"muppetsfromspace"
"582"	81	46	"EDtv "	"63%"	"1999"	"edtv"
"583"	82	103	"Mystery Men "	"60%"	"1999"	"mysterymen"
"584"	83	62	"10 Things I Hate About You "	"61%"	"1999"	"10thingsihateaboutyou"
"585"	84	56	"The Wood "	"61%"	"1999"	"thewood"
"586"	85	79	"Blast From the Past "	"58%"	"1999"	"blastfromthepast"
"587"	86	81	"Never Been Kissed "	"57%"	"1999"	"neverbeenkissed"
"588"	87	91	"Deep Blue Sea "	"56%"	"1999"	"deepbluesea"
"589"	88	77	"Mumford "	"56%"	"1999"	"mumford"
"590"	89	112	"Girl, Interrupted "	"54%"	"1999"	"girl,interrupted"
"591"	90	83	"The Mummy "	"55%"	"1999"	"themummy"
"592"	91	136	"The World Is Not Enough "	"51%"	"1999"	"theworldisnotenough"
"593"	92	74	"Payback "	"54%"	"1999"	"payback"
"594"	93	120	"Any Given Sunday "	"51%"	"1999"	"anygivensunday"
"595"	94	40	"True Crime "	"55%"	"1999"	"truecrime"
"596"	95	85	"Angela's Ashes "	"52%"	"1999"	"angela'sashes"
"597"	96	77	"The Muse "	"52%"	"1999"	"themuse"
"598"	97	85	"Austin Powers: The Spy Who Shagged Me "	"51%"	"1999"	"austinpowers:thespywhoshaggedme"
"599"	98	96	"Summer of Sam "	"50%"	"1999"	"summerofsam"
"600"	99	74	"Outside Providence "	"50%"	"1999"	"outsideprovidence"
"601"	100	78	"Cruel Intentions "	"49%"	"1999"	"cruelintentions"
"602"	1	170	"Chicken Run "	"97%"	"2000"	"chickenrun"
"603"	2	58	"Le go_t des autres The Taste of Others) "	"100%"	"2000"	"lego_tdesautresthetasteofothers)"
"604"	3	54	"Croupier "	"98%"	"2000"	"croupier"
"605"	4	65	"The Life and Times of Hank Greenberg "	"97%"	"2000"	"thelifeandtimesofhankgreenberg"
"606"	5	110	"Best in Show "	"95%"	"2000"	"bestinshow"
"607"	6	78	"Yi Yi "	"96%"	"2000"	"yiyi"
"608"	7	101	"You Can Count On Me "	"95%"	"2000"	"youcancountonme"
"609"	8	168	"Memento "	"92%"	"2000"	"memento"
"610"	9	155	"Traffic "	"92%"	"2000"	"traffic"
"611"	10	164	"High Fidelity "	"91%"	"2000"	"highfidelity"
"612"	11	43	"Not One Less "	"95%"	"2000"	"notoneless"
"613"	12	67	"Dark Days "	"94%"	"2000"	"darkdays"
"614"	13	154	"Cast Away "	"90%"	"2000"	"castaway"
"615"	14	165	"Almost Famous "	"88%"	"2000"	"almostfamous"
"616"	15	56	"Panic "	"91%"	"2000"	"panic"
"617"	16	48	"Aimü¾Ž†„¼ü¾¦„¼e & Jaguar "	"90%"	"2000"	"aimü¾Ž†„¼ü¾¦„¼e&jaguar"
"618"	17	81	"Exorcist: The Version You've Never Seen "	"88%"	"2000"	"exorcist:theversionyou'veneverseen"
"619"	18	128	"Sexy Beast "	"86%"	"2000"	"sexybeast"
"620"	19	76	"The Widow of Saint-Pierre The Widow of St. Pierre) La veuve de Saint-Pierre) "	"88%"	"2000"	"thewidowofsaint-pierrethewidowofst.pierre)laveuvedesaint-pierre)"
"621"	20	94	"Girlfight "	"87%"	"2000"	"girlfight"
"622"	21	115	"State and Main "	"86%"	"2000"	"stateandmain"
"623"	22	127	"The Emperor's New Groove "	"85%"	"2000"	"theemperor'snewgroove"
"624"	23	146	"Meet the Parents "	"84%"	"2000"	"meettheparents"
"625"	24	143	"Erin Brockovich "	"84%"	"2000"	"erinbrockovich"
"626"	25	115	"Billy Elliot "	"85%"	"2000"	"billyelliot"
"627"	26	88	"The Original Kings of Comedy "	"86%"	"2000"	"theoriginalkingsofcomedy"
"628"	27	130	"Nurse Betty "	"84%"	"2000"	"nursebetty"
"629"	28	52	"Nico and Dani Krü¾Ž†„¼ü¾Œ¦„¼mpack) "	"87%"	"2000"	"nicoanddanikrü¾Ž†„¼ü¾Œ¦„¼mpack)"
"630"	29	86	"Chuck & Buck "	"85%"	"2000"	"chuck&buck"
"631"	30	43	"Battle Royale 3D "	"86%"	"2000"	"battleroyale3d"
"632"	31	118	"Thirteen Days "	"83%"	"2000"	"thirteendays"
"633"	32	42	"Chunhyangdyun "	"86%"	"2000"	"chunhyangdyun"
"634"	33	166	"X-Men "	"81%"	"2000"	"x-men"
"635"	34	61	"George Washington "	"84%"	"2000"	"georgewashington"
"636"	35	135	"Shadow of the Vampire "	"81%"	"2000"	"shadowofthevampire"
"637"	36	51	"Merci pour le chocolat "	"84%"	"2000"	"mercipourlechocolat"
"638"	37	124	"Wonder Boys "	"81%"	"2000"	"wonderboys"
"639"	38	94	"Ghost Dog - The Way of the Samurai "	"82%"	"2000"	"ghostdog-thewayofthesamurai"
"640"	39	87	"Love and Basketball "	"82%"	"2000"	"loveandbasketball"
"641"	40	82	"Fantasia "	"82%"	"2000 (*2000"	"fantasia"
"642"	41	107	"Pollock "	"81%"	"2000"	"pollock"
"643"	42	96	"The House of Mirth "	"81%"	"2000"	"thehouseofmirth"
"644"	43	42	"Lakeboat "	"83%"	"2000"	"lakeboat"
"645"	44	133	"Shanghai Noon "	"79%"	"2000"	"shanghainoon"
"646"	45	55	"The Vertical Ray of the Sun At the Height of Summer) Mua he chieu thang dung) "	"82%"	"2000"	"theverticalrayofthesunattheheightofsummer)muahechieuthangdung)"
"647"	46	186	"Gladiator "	"76%"	"2000"	"gladiator"
"648"	47	133	"Requiem for a Dream "	"78%"	"2000"	"requiemforadream"
"649"	48	148	"O Brother, Where Art Thou? "	"77%"	"2000"	"obrother,whereartthou?"
"650"	49	119	"Space Cowboys "	"78%"	"2000"	"spacecowboys"
"651"	50	49	"The Tao of Steve "	"80%"	"2000"	"thetaoofsteve"
"652"	51	129	"The Contender "	"76%"	"2000"	"thecontender"
"653"	52	50	"Keep the River on Your Right "	"78%"	"2000"	"keeptheriveronyourright"
"654"	53	125	"Quills "	"75%"	"2000"	"quills"
"655"	54	95	"The Virgin Suicides "	"76%"	"2000"	"thevirginsuicides"
"656"	55	125	"Finding Forrester "	"74%"	"2000"	"findingforrester"
"657"	56	132	"Remember the Titans "	"73%"	"2000"	"rememberthetitans"
"658"	57	73	"Rugrats in Paris - The Movie "	"75%"	"2000"	"rugratsinparis-themovie"
"659"	58	46	"Tigerland "	"76%"	"2000"	"tigerland"
"660"	59	77	"The Big Kahuna "	"74%"	"2000"	"thebigkahuna"
"661"	60	82	"My Dog Skip "	"73%"	"2000"	"mydogskip"
"662"	61	53	"Sunshine "	"74%"	"2000"	"sunshine"
"663"	62	50	"Code Unknown Code inconnu: Rü¾Ž†„¼ü¾¦„¼cit incomplet de divers voyages) "	"74%"	"2000"	"codeunknowncodeinconnu:rü¾Ž†„¼ü¾¦„¼citincompletdediversvoyages)"
"664"	63	124	"Frequency "	"70%"	"2000"	"frequency"
"665"	64	161	"Unbreakable "	"68%"	"2000"	"unbreakable"
"666"	65	115	"Keeping the Faith "	"69%"	"2000"	"keepingthefaith"
"667"	66	52	"Gangster No. 1 "	"71%"	"2000"	"gangsterno.1"
"668"	67	49	"Shadow Magic "	"71%"	"2000"	"shadowmagic"
"669"	68	142	"American Psycho "	"67%"	"2000"	"americanpsycho"
"670"	69	141	"Charlie's Angels "	"67%"	"2000"	"charlie'sangels"
"671"	70	115	"Dancer in the Dark "	"68%"	"2000"	"dancerinthedark"
"672"	71	115	"U-571 "	"68%"	"2000"	"u-571"
"673"	72	112	"Shaft "	"68%"	"2000"	"shaft"
"674"	73	43	"Grateful Dawg "	"70%"	"2000"	"gratefuldawg"
"675"	74	81	"Timecode "	"68%"	"2000"	"timecode"
"676"	75	99	"Boiler Room "	"67%"	"2000"	"boilerroom"
"677"	76	99	"Small Time Crooks "	"67%"	"2000"	"smalltimecrooks"
"678"	77	57	"About Adam "	"68%"	"2000"	"aboutadam"
"679"	78	122	"Dinosaur "	"65%"	"2000"	"dinosaur"
"680"	79	95	"The Yards "	"64%"	"2000"	"theyards"
"681"	80	117	"Bring It On "	"63%"	"2000"	"bringiton"
"682"	81	115	"Chocolat "	"63%"	"2000"	"chocolat"
"683"	82	89	"Anywhere but Here "	"64%"	"2000"	"anywherebuthere"
"684"	83	89	"Saving Grace "	"63%"	"2000"	"savinggrace"
"685"	84	134	"The Patriot "	"61%"	"2000"	"thepatriot"
"686"	85	70	"Wonderland "	"63%"	"2000"	"wonderland"
"687"	86	84	"The Claim "	"62%"	"2000"	"theclaim"
"688"	87	73	"The Tigger Movie "	"62%"	"2000"	"thetiggermovie"
"689"	88	98	"Return to Me "	"61%"	"2000"	"returntome"
"690"	89	83	"Der Krieger und die Kaiserin The Princess and the Warrior) "	"61%"	"2000"	"derkriegerunddiekaiserintheprincessandthewarrior)"
"691"	90	144	"Mission: Impossible 2 "	"57%"	"2000"	"mission:impossible2"
"692"	91	43	"Alice et Martin "	"60%"	"2000"	"aliceetmartin"
"693"	92	118	"The Gift "	"57%"	"2000"	"thegift"
"694"	93	107	"Dr. T and the Women "	"57%"	"2000"	"dr.tandthewomen"
"695"	94	104	"Pitch Black "	"57%"	"2000"	"pitchblack"
"696"	95	49	"Kikujiro "	"59%"	"2000"	"kikujiro"
"697"	96	91	"Road Trip "	"57%"	"2000"	"roadtrip"
"698"	97	68	"Godzilla "	"56%"	"2000 (*2000"	"godzilla"
"699"	98	85	"Hamlet "	"55%"	"2000"	"hamlet"
"700"	99	130	"Dr. Seuss' How the Grinch Stole Christmas "	"53%"	"2000"	"dr.seuss'howthegrinchstolechristmas"
"701"	100	128	"The Family Man "	"53%"	"2000"	"thefamilyman"
"702"	1	179	"Spirited Away "	"97%"	"2001"	"spiritedaway"
"703"	2	192	"Monsters, Inc. "	"96%"	"2001"	"monsters,inc."
"704"	3	151	"Crouching Tiger, Hidden Dragon "	"97%"	"2001"	"crouchingtiger,hiddendragon"
"705"	4	98	"The Dish "	"96%"	"2001"	"thedish"
"706"	5	90	"With a Friend like Harry... "	"96%"	"2001"	"withafriendlikeharry..."
"707"	6	225	"The Lord of the Rings: The Fellowship of the Ring "	"91%"	"2001"	"thelordoftherings:thefellowshipofthering"
"708"	7	82	"Time Out L' Emploi du temps) "	"96%"	"2001"	"timeoutl'emploidutemps)"
"709"	8	138	"In the Bedroom "	"93%"	"2001"	"inthebedroom"
"710"	9	53	"I'm Going Home "	"96%"	"2001"	"i'mgoinghome"
"711"	10	126	"Spy Kids "	"93%"	"2001"	"spykids"
"712"	11	153	"Ghost World "	"92%"	"2001"	"ghostworld"
"713"	12	65	"The Endurance "	"95%"	"2001"	"theendurance"
"714"	13	59	"Lagaan: Once Upon a Time in India "	"95%"	"2001"	"lagaan:onceuponatimeinindia"
