"rank"	"reviewnum"	"title"	"tomato_rating"	"year"	"title1"
"81"	16	47	"Jungle Fever "	"81%"	"1991"	"junglefever"
"82"	17	46	"Cape Fear "	"76%"	"1991"	"capefear"
"83"	18	41	"Fried Green Tomatoes "	"73%"	"1991"	"friedgreentomatoes"
"84"	19	41	"Father of the Bride "	"73%"	"1991"	"fatherofthebride"
"85"	20	42	"Backdraft "	"71%"	"1991"	"backdraft"
"86"	21	57	"Point Break "	"68%"	"1991"	"pointbreak"
"87"	22	57	"The Rocketeer "	"61%"	"1991"	"therocketeer"
"88"	23	40	"The Addams Family "	"60%"	"1991"	"theaddamsfamily"
"89"	24	59	"The Doors "	"54%"	"1991"	"thedoors"
"90"	25	52	"Robin Hood: Prince of Thieves "	"50%"	"1991"	"robinhood:princeofthieves"
"91"	26	40	"Teenage Mutant Ninja Turtles II - The Secret of the Ooze "	"33%"	"1991"	"teenagemutantninjaturtlesii-thesecretoftheooze"
"92"	27	40	"Hook "	"30%"	"1991"	"hook"
"93"	1	54	"The Player "	"98%"	"1992"	"theplayer"
"94"	2	62	"The Crying Game "	"97%"	"1992"	"thecryinggame"
"95"	3	84	"Unforgiven "	"95%"	"1992"	"unforgiven"
"96"	4	45	"One False Move "	"98%"	"1992"	"onefalsemove"
"97"	5	48	"Supercop "	"96%"	"1992"	"supercop"
"98"	6	68	"Aladdin "	"94%"	"1992"	"aladdin"
"99"	7	52	"Glengarry Glen Ross "	"94%"	"1992"	"glengarryglenross"
"100"	8	55	"Malcolm X "	"91%"	"1992"	"malcolmx"
"101"	9	62	"Reservoir Dogs "	"90%"	"1992"	"reservoirdogs"
"102"	10	42	"Scent of a Woman "	"88%"	"1992"	"scentofawoman"
"103"	11	52	"My Cousin Vinny "	"85%"	"1992"	"mycousinvinny"
"104"	12	47	"Wayne's World "	"85%"	"1992"	"wayne'sworld"
"105"	13	53	"Orlando "	"83%"	"1992"	"orlando"
"106"	14	40	"A River Runs Through It "	"83%"	"1992"	"ariverrunsthroughit"
"107"	15	70	"Batman Returns "	"80%"	"1992"	"batmanreturns"
"108"	16	57	"A Few Good Men "	"81%"	"1992"	"afewgoodmen"
"109"	17	47	"Sneakers "	"81%"	"1992"	"sneakers"
"110"	18	50	"Singles "	"80%"	"1992"	"singles"
"111"	19	48	"Bram Stoker's Dracula "	"79%"	"1992"	"bramstoker'sdracula"
"112"	20	57	"A League of Their Own "	"77%"	"1992"	"aleagueoftheirown"
"113"	21	51	"White Men Can't Jump "	"76%"	"1992"	"whitemencan'tjump"
"114"	22	41	"Candyman "	"71%"	"1992"	"candyman"
"115"	23	63	"Twin Peaks - Fire Walk with Me "	"62%"	"1992"	"twinpeaks-firewalkwithme"
"116"	24	46	"The Hand that Rocks the Cradle "	"63%"	"1992"	"thehandthatrocksthecradle"
