Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	star1	star2	director1	dir_win	dir_nomi	st1_won	st1_nomi	st2_won	st2_nomi
38	38	Spider-Man 3	Sony	890.9	336.5	0.378	554.3	0.622	2007	6.2	Tobey Maguire	Kirsten Dunst	Sam Raimi	10	16	7	30	28	56
39	39	Ice Age: Dawn of the Dinosaurs	Fox	886.7	196.6	0.222	690.1	0.778	2009	7	Eunice Cho	Karen Disher	Carlos Saldanha	2	12	 	 	 	 
40	40	Spectre	Sony	879.5	199.8	0.227	679.7	0.773	2015	6.9	Daniel Craig	Christoph Waltz	Sam Mendes	39	25	13	27	81	37
41	41	Harry Potter and the Chamber of Secrets	WB	879	262	0.298	617	0.702	2002	7.4	Daniel Radcliffe	Rupert Grint	Chris Columbus	6	18	13	38	3	11
42	42	Ice Age: Continental Drift	Fox	877.2	161.3	0.184	715.9	0.816	2012	6.7	Aziz Ansari	Joy Behar	Steve Martino	22	39	0	11	5	24
43	43	The Lord of the Rings: The Fellowship of the Ring	NL	871.5	315.5	0.362	556	0.638	2001^	8.8	Alan Howard	Noel Appleby	Peter Jackson	129	120	0	1	1	0
44	44	The Hunger Games: Catching Fire	LGF	865	424.7	0.491	440.3	0.509	2013	7.6	Jennifer Lawrence	Liam Hemsworth	Francis Lawrence	3	5	106	157	6	14
45	45	Inside Out	BV	856.8	356.5	0.416	500.3	0.584	2015	8.3	Amy Poehler	Phyllis Smith	Pete Docter	41	56	18	72	5	8
46	46	Star Wars: Episode III - Revenge of the Sith	Fox	848.8	380.3	0.448	468.5	0.552	2005^	7.6	Ewan McGregor	Natalie Portman	George Lucas	40	31	24	38	58	85
47	47	Transformers: Revenge of the Fallen	P/DW	836.3	402.1	0.481	434.2	0.519	2009	6	Shia LaBeouf	Megan Fox	Michael Bay	7	10	11	38	6	18
48	48	The Twilight Saga: Breaking Dawn Part 2	LG/S	829.7	292.3	0.352	537.4	0.648	2012	5.5	Kristen Stewart	Robert Pattinson	Bill Condon	19	40	41	53	31	30
49	49	Inception	WB	825.5	292.6	0.354	533	0.646	2010	8.8	Leonardo DiCaprio	Joseph Gordon-Levitt	Christopher Nolan	121	160	85	195	23	60
50	50	Spider-Man	Sony	821.7	403.7	0.491	418	0.509	2002	7.3	Tobey Maguire	Willem Dafoe	Sam Raimi	10	16	7	30	28	36
51	51	Independence Day	Fox	817.4	306.2	0.375	511.2	0.625	1996^	6.9	Will Smith	Bill Pullman	Roland Emmerich	13	14	56	106	5	2
52	52	Shrek the Third	P/DW	799	322.7	0.404	476.2	0.596	2007	6.1	Mike Myers	Eddie Murphy	Chris Miller	12	12	28	38	30	67
53	53	Harry Potter and the Prisoner of Azkaban	WB	796.7	249.5	0.313	547.1	0.687	2004	7.8	Daniel Radcliffe	Richard Griffiths	Alfonso Cuar¨®n	100	89	13	38	0	4
54	54	E.T.: The Extra-Terrestrial	Uni.	792.9	435.1	0.549	357.8	0.451	1982^	7.8	Dee Wallace	Henry Thomas	Steven Spielberg	175	168	2	2	2	8
55	55	Fast & Furious 6	Uni.	788.7	238.7	0.303	550	0.697	2013	7.2	Vin Diesel	Paul Walker	Justin Lin	3	6	7	26	7	11
56	56	Indiana Jones and the Kingdom of the Crystal Skull	Par.	786.6	317.1	0.403	469.5	0.597	2008	6.2	Harrison Ford	Cate Blanchett	Steven Spielberg	175	168	32	36	144	177
