Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	star1	star2	director1	dir_win	dir_nomi	st1_won	st1_nomi	st2_won	st2_nomi
164	164	Indiana Jones and the Last Crusade	Par.	474.2	197.2	0.416	277	0.584	1989	8.3	Harrison Ford	Sean Connery	Steven Spielberg	175	168	32	36	37	27
165	165	San Andreas	WB	473.8	155.2	0.328	318.6	0.672	2015	6.1	Dwayne Johnson	Carla Gugino	Brad Peyton	0	2	3	28	1	8
166	166	Wreck-It Ralph	BV	471.2	189.4	0.402	281.8	0.598	2012	7.8	John C. Reilly	Sarah Silverman	Rich Moore	0	1	17	42	5	14
167	167	Jaws	Uni.	470.7	260	0.552	210.7	0.448	1975	8.1	Roy Scheider	Robert Shaw	Steven Spielberg	175	168	2	9	2	4
168	168	The LEGO Movie	WB	469.2	257.8	0.549	211.4	0.451	2014	7.8	Will Arnett	Elizabeth Banks	Phil Lord	11	12	5	20	11	32
169	169	Hotel Transylvania 2	Sony	469	169.7	0.362	299.4	0.638	2015	6.8	Adam Sandler	Andy Samberg	Genndy Tartakovsky	6	15	50	68	5	24
170	170	The Hangover	WB	467.5	277.3	0.593	190.2	0.407	2009	7.8	Bradley Cooper	Ed Helms	Todd Phillips	5	4	29	65	4	12
171	171	Star Trek Into Darkness	Par.	467.4	228.8	0.489	238.6	0.511	2013	7.8	Chris Pine	Zachary Quinto	J.J. Abrams	18	41	6	15	9	20
172	172	The Matrix	WB	463.5	171.5	0.37	292	0.63	1999	8.7	Keanu Reeves	Laurence Fishburne	Lana Wachowski	10	22	11	20	21	45
173	173	Pretty Woman	BV	463.4	178.4	0.385	285	0.615	1990	6.9	Richard Gere	Julia Roberts	Garry Marshall	13	14	20	26	51	86
174	174	Lucy	Uni.	463.4	126.7	0.273	336.7	0.727	2014	6.4	Scarlett Johansson	Morgan Freeman	Luc Besson	24	22	34	119	56	69
175	175	Cars	BV	462	244.1	0.528	217.9	0.472	2006	7.2	Owen Wilson	Paul Newman	John Lasseter	36	26	14	45	37	64
176	176	X-Men: The Last Stand	Fox	459.4	234.4	0.51	225	0.49	2006	6.8	Hugh Jackman	Halle Berry	Brett Ratner	3	4	20	71	41	79
177	177	Mission: Impossible	Par.	457.7	181	0.395	276.7	0.605	1996	7.1	Tom Cruise	Jon Voight	Brian De Palma	10	21	39	76	24	30
178	178	Gladiator	DW	457.6	187.7	0.41	269.9	0.59	2000	8.5	Russell Crowe	Joaquin Phoenix	Ridley Scott	31	87	36	66	30	110
179	179	National Treasure: Book of Secrets	BV	457.4	220	0.481	237.4	0.519	2007	6.5	Nicolas Cage	Justin Bartha	Jon Turteltaub	0	2	40	60	0	2
180	180	The Last Samurai	WB	456.8	111.1	0.243	345.6	0.757	2003	7.7	Ken Watanabe	Tom Cruise	Edward Zwick	23	21	9	19	39	76
181	181	300	WB	456.1	210.6	0.462	245.5	0.538	2007	7.7	Gerard Butler	Lena Headey	Zack Snyder	3	7	2	12	3	28
182	182	Ocean's Eleven	WB	450.7	183.4	0.407	267.3	0.593	2001	7.8	George Clooney	Cecelia Ann Birt	Steven Soderbergh	29	74	 	 	 	 
183	183	Thor	Par.	449.3	181	0.403	268.3	0.597	2011	7	Chris Hemsworth	Natalie Portman	Kenneth Branagh	29	60	9	21	58	85
184	184	Pearl Harbor	BV	449.2	198.5	0.442	250.7	0.558	2001	6	Ben Affleck	Josh Hartnett	Michael Bay	7	10	67	95	2	16
185	185	Tarzan	BV	448.2	171.1	0.382	277.1	0.618	1999	7.2	Brian Blessed	Glenn Close	Chris Buck	9	10	1	1	49	91
186	186	Alvin and the Chipmunks: The Squeakquel	Fox	443.1	219.6	0.496	223.5	0.504	2009	4.5	Zachary Levi	David Cross	Betty Thomas	8	13	2	13	7	15
187	187	The Bourne Ultimatum	Uni.	442.8	227.5	0.514	215.4	0.486	2007	8.1	Matt Damon	Julia Stiles	Paul Greengrass	34	62	34	122	13	17
188	188	Men in Black II	Sony	441.8	190.4	0.431	251.4	0.569	2002	6.1	Tommy Lee Jones	Will Smith	Barry Sonnenfeld	7	7	40	89	56	106
189	189	Les Miserables (2012)	Uni.	441.8	148.8	0.337	293	0.663	2012	7.6	Hugh Jackman	Russell Crowe	Tom Hooper	28	47	20	71	36	66
190	190	The Exorcist	WB	441.3	232.9	0.528	208.4	0.472	1973^	8	Ellen Burstyn	Max von Sydow	William Friedkin	19	14	32	49	21	22
191	191	Mrs. Doubtfire	Fox	441.3	219.2	0.497	222.1	0.503	1993	6.9	Robin Williams	Sally Field	Chris Columbus	6	18	63	80	43	70
192	192	Terminator: Genisys	Par.	440.6	89.8	0.204	350.8	0.796	2015	6.6	Arnold Schwarzenegger	Jason Clarke	Alan Taylor	6	8	23	31	0	4
193	193	Terminator 3: Rise of the Machines	WB	433.4	150.4	0.347	283	0.653	2003	6.4	Arnold Schwarzenegger	Nick Stahl	Jonathan Mostow	1	1	23	31	1	9
194	194	The Mummy Returns	Uni.	433	202	0.467	231	0.533	2001	6.3	Brendan Fraser	Rachel Weisz	Stephen Sommers	1	3	8	10	15	30
195	195	Die Another Day	MGM	432	160.9	0.373	271	0.627	2002	6.1	Pierce Brosnan	Halle Berry	Lee Tamahori	11	1	17	20	41	79
196	196	Cast Away	Fox	429.6	233.6	0.544	196	0.456	2000	7.7	Paul Sanchez	Lari White	Robert Zemeckis	33	33	 	 	 	 
197	197	The Matrix Revolutions	WB	427.3	139.3	0.326	288	0.674	2003	6.7	Mary Alice	Tanveer K. Atwal	Lana Wachowski	10	22	 	 	 	 
198	198	The Intouchables (U.S.-only)	Wein.	426.6	10.2	0.024	416.4	0.976	2012	5.8	"Prime Video
Unlimited Streamingof Movies & TV"	Tanveer K. Atwal	Lana Wachowski	10	22	 	 	 	 
199	199	Django Unchained	Wein.	425.4	162.8	0.383	262.6	0.617	2012	8.5	Jamie Foxx	Christoph Waltz	Quentin Tarantino	120	163	45	74	81	37
200	200	Beauty and the Beast	BV	425	219	0.515	206	0.485	1991^	8	Robby Benson	Jesse Corti	Gary Trousdale	1	5	3	7	1	1
201	201	Dances with Wolves	Orion	424.2	184.2	0.434	240	0.566	1990	8	Kevin Costner	Mary McDonnell	Kevin Costner	46	49	46	49	3	13
202	202	The Chronicles of Narnia: Prince Caspian	BV	419.7	141.6	0.337	278	0.663	2008	6.6	Ben Barnes	Georgie Henley	Andrew Adamson	7	19	0	4	3	10
203	203	The Mummy	Uni.	415.9	155.4	0.374	260.5	0.626	1999	7	Brendan Fraser	Rachel Weisz	Stephen Sommers	1	3	8	10	15	30
204	204	The Chronicles of Narnia: The Voyage of the Dawn Treader	Fox	415.7	104.4	0.251	311.3	0.749	2010	6.3	Georgie Henley	Skandar Keynes	Michael Apted	20	15	3	10	1	3
205	205	Sex and the City	WB (NL)	415.3	152.6	0.368	262.6	0.632	2008	6.9	Sarah Jessica Parker	Kim Cattrall	Darren Star	2	2	28	43	9	24
206	206	The Wolverine	Fox	414.8	132.6	0.32	282.3	0.68	2013	6.7	Hugh Jackman	Tao Okamoto	James Mangold	5	4	20	71	 	 
207	207	Kingsman: The Secret Service	Fox	414.4	128.3	0.31	286.1	0.69	2015	7.8	Adrian Quinton	Colin Firth	Matthew Vaughn	5	16	 	 	64	52
208	208	The King's Speech	Wein.	414.2	138.8	0.335	275.4	0.665	2010^	8	Colin Firth	Helena Bonham Carter	Tom Hooper	28	47	64	52	42	80
209	209	Night at the Museum: Battle of the Smithsonian	Fox	413.1	177.2	0.429	235.9	0.571	2009	5.9	Ben Stiller	Amy Adams	Shawn Levy	3	1	13	52	54	146
210	210	Batman	WB	411.3	251.2	0.611	160.2	0.389	1989	7.6	Michael Keaton	Jack Nicholson	Tim Burton	20	58	58	36	84	95
211	211	The Bodyguard	WB	411	122	0.297	289	0.703	1992^	6.1	Kevin Costner	Whitney Houston	Mick Jackson	14	9	46	49	9	27
212	212	Pacific Rim	WB	411	101.8	0.248	309.2	0.752	2013	7	Charlie Hunnam	Diego Klattenhoff	Guillermo del Toro	49	48	1	4	0	1
213	213	Signs	BV	408.2	228	0.558	180.3	0.442	2002	6.7	Mel Gibson	Joaquin Phoenix	M. Night Shyamalan	12	36	32	30	30	110
214	214	X2: X-Men United	Fox	407.7	214.9	0.527	192.8	0.473	2003	7.5	Patrick Stewart	Hugh Jackman	Bryan Singer	14	20	9	36	20	71
215	215	Prometheus	Fox	403.4	126.5	0.314	276.9	0.686	2012	7	Noomi Rapace	Michael Fassbender	Ridley Scott	31	87	13	17	70	131
216	216	The Mummy: Tomb of the Dragon Emperor	Uni.	401.1	102.5	0.256	298.6	0.744	2008	5.2	Brendan Fraser	Jet Li	Rob Cohen	3	1	8	10	4	15
217	217	Gone with the Wind	MGM	400.2	198.7	0.496	201.5	0.504	1939^	8.2	Thomas Mitchell	Barbara O'Neil	Victor Fleming	2	4	4	4	0	1
218	218	Tron Legacy	BV	400.1	172.1	0.43	228	0.57	2010	6.8	Jeff Bridges	Garrett Hedlund	Joseph Kosinski	 	 	31	67	1	3
219	219	Mission: Impossible III	Par.	397.9	134	0.337	263.8	0.663	2006	6.9	Tom Cruise	Philip Seymour Hoffman	J.J. Abrams	18	41	39	76	89	98
220	220	Snow White and the Huntsman	Uni.	396.6	155.3	0.392	241.3	0.608	2012	6.1	Kristen Stewart	Chris Hemsworth	Rupert Sanders	1	2	41	53	9	21
221	221	Grease	Par.	395	188.8	0.478	206.2	0.522	1978^	7.2	John Travolta	Olivia Newton-John	Randal Kleiser	1	3	40	49	6	7
222	222	Twilight	Sum.	393.6	192.8	0.49	200.8	0.51	2008	5.2	Kristen Stewart	Sarah Clarke	Catherine Hardwicke	8	12	41	53	1	2
223	223	The Wolf of Wall Street	Par.	392	116.9	0.298	275.1	0.702	2013	8.2	Leonardo DiCaprio	Jonah Hill	Martin Scorsese	135	185	85	195	5	56
224	224	Superman Returns	WB	391.1	200.1	0.512	191	0.488	2006	6.1	Brandon Routh	Kate Bosworth	Bryan Singer	14	20	6	6	3	10
225	225	Robin Hood: Prince of Thieves	WB	390.5	165.5	0.424	225	0.576	1991	6.9	Kevin Costner	Morgan Freeman	Kevin Reynolds	2	5	46	49	56	69
226	226	Raiders of the Lost Ark	Par.	389.9	248.2	0.636	141.8	0.364	1981^	8.5	Harrison Ford	Karen Allen	Steven Spielberg	175	168	32	36	1	4
227	227	Home (2015)	Fox	386	177.4	0.46	208.6	0.54	2015	6.7	Jim Parsons	Rihanna	Tim Johnson	2	1	18	54	21	52
228	228	Star Trek	Par.	385.7	257.7	0.668	128	0.332	2009	8	Chris Pine	Zachary Quinto	J.J. Abrams	18	41	6	15	9	20
229	229	Monster Hunt	FR	385.3	$32.8k	0	385.2	1	2016	6.2	Baihe Bai	Boran Jing	Raman Hui	2	4	1	5	0	2
230	230	The Revenant	Fox	385	167.7	0.436	217.3	0.564	2015	8.2	Leonardo DiCaprio	Tom Hardy	Alejandro Gonz¨¢lez I_¨¢rritu	110	139	85	195	16	70
231	231	Happy Feet	WB	384.3	198	0.515	186.3	0.485	2006	6.5	Carlos Alazraqui	Lombardo Boyar	George Miller	64	52	2	5	 	 
232	232	Live Free or Die Hard	Fox	383.5	134.5	0.351	249	0.649	2007	7.2	Bruce Willis	Timothy Olyphant	Len Wiseman	 	 	21	37	3	21
233	233	Ice Age	Fox	383.3	176.4	0.46	206.9	0.54	2002	7.6	Ray Romano	John Leguizamo	Chris Wedge	6	6	15	48	12	20
234	234	Monsters Vs. Aliens	P/DW	381.5	198.4	0.52	183.2	0.48	2009	6.6	Reese Witherspoon	Seth Rogen	Rob Letterman	0	2	50	87	11	26
235	235	Back to the Future	Uni.	381.1	210.6	0.553	170.5	0.447	1985	8.5	Michael J. Fox	Christopher Lloyd	Robert Zemeckis	33	33	29	55	30	16
236	236	Godzilla	Sony	379	136.3	0.36	242.7	0.64	1998	6.5	Aaron Taylor-Johnson	CJ Adams	Gareth Edwards	10	11	1	10	9	18
237	237	True Lies	Fox	378.9	146.3	0.386	232.6	0.614	1994	7.2	Arnold Schwarzenegger	Jamie Lee Curtis	James Cameron	65	54	23	31	12	24
238	238	Slumdog Millionaire	FoxS	377.9	141.3	0.374	236.6	0.626	2008	8	Dev Patel	Saurabh Shukla	Danny Boyle	79	79	12	22	2	4
239	239	Mad Max: Fury Road	WB	377.6	153.6	0.407	224	0.593	2015	8.2	Tom Hardy	Charlize Theron	George Miller	64	52	16	70	51	87
240	240	Taken 2	Fox	376.1	139.9	0.372	236.3	0.628	2012	6.3	Liam Neeson	Maggie Grace	Olivier Megaton	2	2	15	35	1	5
241	241	G.I. Joe: Retaliation	Par.	375.7	122.5	0.326	253.2	0.674	2013	5.8	Dwayne Johnson	Jonathan Pryce	Jon M. Chu	15	7	3	28	6	14
242	242	Batman Begins	WB	374.2	206.9	0.553	167.4	0.447	2005^	8.3	Christian Bale	Michael Caine	Christopher Nolan	121	160	64	76	37	60
243	243	What Women Want	Par.	374.1	182.8	0.489	191.3	0.511	2000	6.4	Mel Gibson	Helen Hunt	Nancy Meyers	6	5	32	30	47	65
244	244	The Adventures of Tintin	Par.	374	77.6	0.207	296.4	0.793	2011	7.4	Jamie Bell	Andy Serkis	Steven Spielberg	175	168	17	19	30	42
245	245	X-Men Origins: Wolverine	Fox	373.1	179.9	0.482	193.2	0.518	2009	6.7	Hugh Jackman	Liev Schreiber	Gavin Hood	26	7	20	71	11	25
246	246	Penguins of Madagascar	Fox	373	83.4	0.223	289.7	0.777	2014	6.7	Tom McGrath	Chris Miller	Eric Darnell	0	2	0	8	12	12
247	247	The Golden Compass	NL	372.2	70.1	0.188	302.1	0.812	2007	6.1	Nicole Kidman	Daniel Craig	Chris Weitz	2	10	65	148	13	27
248	248	Terminator Salvation	WB	371.4	125.3	0.337	246	0.663	2009	6.6	Christian Bale	Sam Worthington	McG	24	38	64	76	6	14
249	249	Captain America: The First Avenger	Par.	370.6	176.7	0.477	193.9	0.523	2011	6.8	Chris Evans	Hayley Atwell	Joe Johnston	2	6	4	26	0	9
250	250	Edge of Tomorrow	WB	370.5	100.2	0.27	270.3	0.73	2014	7.9	Tom Cruise	Emily Blunt	Doug Liman	2	6	39	76	16	56
251	251	There's Something About Mary	Fox	369.9	176.5	0.477	193.4	0.523	1998	7.1	Cameron Diaz	Matt Dillon	Bobby Farrelly	3	4	28	82	18	22
252	252	Gone Girl	Fox	369.3	167.8	0.454	201.6	0.546	2014	8.1	Ben Affleck	Rosamund Pike	David Fincher	57	101	67	95	28	50
253	253	The Fugitive	WB	368.9	183.9	0.498	185	0.502	1993	7.8	Harrison Ford	Tommy Lee Jones	Andrew Davis	0	4	32	36	40	89
254	254	Jurassic Park III	Uni.	368.8	181.2	0.491	187.6	0.509	2001	5.9	Sam Neill	William H. Macy	Joe Johnston	2	6	3	25	34	58
255	255	My Big Fat Greek Wedding	IFC	368.7	241.4	0.655	127.3	0.345	2002	6.6	Nia Vardalos	Michael Constantine	Joel Zwick	3	1	7	16	2	5
256	256	Hitch	Sony	368.1	179.5	0.488	188.6	0.512	2005	6.7	Will Smith	Eva Mendes	Andy Tennant	1	0	56	106	2	15
257	257	Shark Tale	DW	367.3	160.9	0.438	206.4	0.562	2004	6	Will Smith	Robert De Niro	Bibo Bergeron	0	1	56	106	48	82
258	258	Die Hard: With A Vengeance	Fox	366.1	100	0.273	266.1	0.727	1995	7.6	Bruce Willis	Jeremy Irons	John McTiernan	4	5	21	37	27	30
259	259	Notting Hill	Uni.	363.9	116.1	0.319	247.8	0.681	1999	7	Julia Roberts	Hugh Grant	Roger Michell	6	15	51	86	15	18
260	260	A Bug's Life	BV	363.4	162.8	0.448	200.6	0.552	1998	7.2	Dave Foley	Kevin Spacey	John Lasseter	36	26	6	21	54	72
261	261	Night at the Museum: Secret of the Tomb	Fox	363.2	113.7	0.313	249.5	0.687	2014	6.2	Ben Stiller	Robin Williams	Shawn Levy	3	1	13	52	63	80
262	262	Fast and Furious	Uni.	363.2	155.1	0.427	208.1	0.573	2009	6.6	Vin Diesel	Paul Walker	Justin Lin	3	6	7	26	7	11
263	263	Ocean's Twelve	WB	362.7	125.5	0.346	237.2	0.654	2004	6.4	Brad Pitt	Catherine Zeta-Jones	Steven Soderbergh	29	74	64	136	18	32
264	264	Noah	Par.	362.6	101.2	0.279	261.4	0.721	2014	5.8	Russell Crowe	Jennifer Connelly	Darren Aronofsky	32	73	36	66	15	25
265	265	Planet of the Apes (2001)	Fox	362.2	180	0.497	182.2	0.503	2001		Anders Arentoft	Jennifer Connelly	Thomas Eikrem	 	 	 	 	 	 
266	266	The Hangover Part III	WB	362	112.2	0.31	249.8	0.69	2013	5.9	Bradley Cooper	Ed Helms	Todd Phillips	5	4	29	65	4	12
267	267	Toy Story	BV	362	191.8	0.53	170.2	0.47	1995^	8.3	Tom Hanks	Tim Allen	John Lasseter	36	26	76	115	23	32
268	268	The World Is Not Enough	MGM	361.8	126.9	0.351	234.9	0.649	1999	6.4	Pierce Brosnan	Sophie Marceau	Michael Apted	20	15	17	20	8	2
269	269	Alvin and the Chipmunks	Fox	361.3	217.3	0.601	144	0.399	2007	5.3	Jason Lee	David Cross	Tim Hill	1	1	2	22	7	15
270	270	The Karate Kid	Sony	359.1	176.6	0.492	182.5	0.508	2010	7.2	Ralph Macchio	Pat Morita	John G. Avildsen	5	6	3	3	1	5
271	271	Home Alone 2: Lost in New York	Fox	359	173.6	0.484	185.4	0.516	1992	6.6	Macaulay Culkin	Joe Pesci	Chris Columbus	6	18	4	7	13	11
272	272	Hotel Transylvania	Sony	358.4	148.3	0.414	210.1	0.586	2012	7.1	Adam Sandler	Andy Samberg	Genndy Tartakovsky	6	15	50	68	5	24
273	273	Minority Report	Fox	358.4	132.1	0.369	226.3	0.631	2002	7.7	Tom Cruise	Max von Sydow	Steven Spielberg	175	168	39	76	21	22
274	274	Top Gun	Par.	356.8	179.8	0.504	177	0.496	1986^	6.9	Tom Cruise	Kelly McGillis	Tony Scott	5	13	39	76	1	2
275	275	American Beauty	DW	356.3	130.1	0.365	226.2	0.635	1999	8.4	Kevin Spacey	Annette Bening	Sam Mendes	39	25	54	72	42	81
276	276	Apollo 13	Uni.	355.2	173.8	0.489	181.4	0.511	1995^	7.6	Tom Hanks	Bill Paxton	Ron Howard	38	65	76	115	6	22
277	277	Rain Man	MGM	354.8	172.8	0.487	182	0.513	1988	8	Dustin Hoffman	Tom Cruise	Barry Levinson	29	37	58	49	39	76
278	278	X-Men: First Class	Fox	353.6	146.4	0.414	207.2	0.586	2011	7.8	James McAvoy	Laurence Belcher	Matthew Vaughn	5	16	11	25	 	 
279	279	Basic Instinct	TriS	352.9	117.7	0.334	235.2	0.666	1992	6.9	Michael Douglas	Sharon Stone	Paul Verhoeven	25	19	58	36	19	33
280	280	GoldenEye	MGM	352.2	106.4	0.302	245.8	0.698	1995	7.2	Pierce Brosnan	Sean Bean	Martin Campbell	2	10	17	20	13	11
281	281	Catch Me If You Can	DW	352.1	164.6	0.468	187.5	0.532	2002	8	Leonardo DiCaprio	Tom Hanks	Steven Spielberg	175	168	85	195	76	115
282	282	Now You See Me	LG/S	351.7	117.7	0.335	234	0.665	2013	7.3	Jesse Eisenberg	Mark Ruffalo	Louis Leterrier	 	 	20	54	26	108
283	283	Hannibal	MGM	351.7	165.1	0.469	186.6	0.531	2001	8.6	Hugh Dancy	Mads Mikkelsen	Bryan Fuller	2	9	1	14	25	34
284	284	The Mask	NL	351.6	119.9	0.341	231.6	0.659	1994	6.9	Jim Carrey	Peter Riegert	Chuck Russell	1	5	45	88	3	3
285	285	The Great Gatsby (2013)	WB	351	144.8	0.413	206.2	0.587	2013	7.3	Lisa Adam	Frank Aldridge	Baz Luhrmann	33	49	 	 	 	 
286	286	Speed	Fox	350.4	121.2	0.346	229.2	0.654	1994	7.2	Keanu Reeves	Dennis Hopper	Jan de Bont	0	7	11	20	23	16
287	287	Dinosaur	BV	349.8	137.7	0.394	212.1	0.606	2000	6.4	D.B. Sweeney	Alfre Woodard	Eric Leighton	0	4	14	1	30	67
288	288	Deep Impact	Par.	349.5	140.5	0.402	209	0.598	1998	6.1	Robert Duvall	T¨¦a Leoni	Mimi Leder	4	11	56	59	1	8
289	289	Dr. Seuss' The Lorax	Uni.	348.8	214	0.614	134.8	0.386	2012	6.5	Danny DeVito	Ed Helms	Chris Renaud	0	15	11	39	4	12
290	290	The Maze Runner	Fox	348.3	102.4	0.294	245.9	0.706	2014	6.8	Dylan O'Brien	Aml Ameen	Wes Ball	2	0	6	3	 	 
291	291	The Smurfs 2	Sony	347.5	71	0.204	276.5	0.796	2013	5.4	Hank Azaria	Neil Patrick Harris	Raja Gosnell	 	 	15	25	21	50
292	292	National Treasure	BV	347.5	173	0.498	174.5	0.502	2004	6.9	Nicolas Cage	Diane Kruger	Jon Turteltaub	0	2	40	60	10	15
293	293	Rush Hour 2	NL	347.3	226.2	0.651	121.2	0.349	2001	6.6	Jackie Chan	Chris Tucker	Brett Ratner	3	4	36	44	8	24
294	294	"I, Robot"	Fox	347.2	144.8	0.417	202.4	0.583	2004	7.1	Will Smith	Bridget Moynahan	Alex Proyas	6	5	56	`106	 	 
295	295	Pocahontas	BV	346.1	141.6	0.409	204.5	0.591	1995	6.6	Irene Bedard	Judy Kuhn	Mike Gabriel	3	1	6	2	 	 
296	296	How the Grinch Stole Christmas	Uni.	345.1	260	0.753	85.1	0.247	2000	6	Jim Carrey	Taylor Momsen	Ron Howard	38	65	45	88	0	7
297	297	Alvin and the Chipmunks: Chipwrecked	Fox	342.7	133.1	0.388	209.6	0.612	2011	4.4	Jason Lee	David Cross	Mike Mitchell	6	6	2	22	7	15
298	298	The Flintstones	Uni.	341.6	130.5	0.382	211.1	0.618	1994	7.5	Jean Vander Pyl	Alan Reed	Joseph Barbera	8	15	1	0	 	 
299	299	Wanted	Uni.	341.4	134.5	0.394	206.9	0.606	2008	6.7	James McAvoy	Morgan Freeman	Timur Bekmambetov	3	9	11	25	56	69
300	300	Enchanted	BV	340.5	127.8	0.375	212.7	0.625	2007	7.1	Amy Adams	Patrick Dempsey	Kevin Lima	2	4	54	146	8	20
301	301	300: Rise of An Empire	WB	337.6	106.6	0.316	231	0.684	2014	6.3	Sullivan Stapleton	Eva Green	Noam Murro	2	7	0	4	3	15
302	302	Batman Forever	WB	336.5	184	0.547	152.5	0.453	1995	5.4	Val Kilmer	Tommy Lee Jones	Joel Schumacher	9	8	5	13	40	89
303	303	Prince of Persia: The Sands of Time	BV	336.4	90.8	0.27	245.6	0.73	2010	6.6	Jake Gyllenhaal	Gemma Arterton	Mike Newell	13	10	34	82	1	7
304	304	Over the Hedge	P/DW	336	155	0.461	181	0.539	2006	6.8	Bruce Willis	Garry Shandling	Tim Johnson	2	1	21	37	17	44
305	305	Journey 2: The Mysterious Island	WB (NL)	335.3	103.9	0.31	231.4	0.69	2012	5.8	Dwayne Johnson	Michael Caine	Brad Peyton	0	2	3	28	37	60
306	306	The Rock	BV	335.1	134.1	0.4	201	0.6	1996	7.4	Sean Connery	Nicolas Cage	Michael Bay	7	10	37	27	40	60
307	307	The Curious Case of Benjamin Button	Par.	333.9	127.5	0.382	206.4	0.618	2008	7.8	Cate Blanchett	Brad Pitt	David Fincher	57	101	144	177	64	136
308	308	Indiana Jones and the Temple of Doom	Par.	333.1	179.9	0.54	153.2	0.46	1984	7.6	Harrison Ford	Kate Capshaw	Steven Spielberg	175	168	32	36	 	 
309	309	Tomorrow Never Dies	MGM	333	125.3	0.376	207.7	0.624	1997	6.5	Pierce Brosnan	Jonathan Pryce	Roger Spottiswoode	7	6	17	20	6	14
310	310	Back to the Future Part II	Uni.	332	118.5	0.357	213.5	0.643	1989	7.8	Michael J. Fox	Christopher Lloyd	Robert Zemeckis	33	33	29	55	30	16
311	311	22 Jump Street	Sony	331.3	191.7	0.579	139.6	0.421	2014	7.1	Jonah Hill	Channing Tatum	Phil Lord	11	12	5	56	19	53
312	312	Fantastic Four (2005)	Fox	330.6	154.7	0.468	175.9	0.532	2005	5.7	Ioan Gruffudd	Jessica Alba	Tim Story	0	6	2	4	14	37
313	313	Meet the Parents	Uni.	330.4	166.2	0.503	164.2	0.497	2000	7	Robert De Niro	Ben Stiller	Jay Roach	9	5	48	82	13	52
314	314	Who Framed Roger Rabbit	BV	329.8	156.5	0.474	173.4	0.526	1988	7.7	Bob Hoskins	Christopher Lloyd	Robert Zemeckis	33	33	23	15	30	16
315	315	Black Swan	FoxS	329.4	107	0.325	222.4	0.675	2010	8	Natalie Portman	Mila Kunis	Darren Aronofsky	32	73	58	85	12	49
316	316	The Perfect Storm	WB	328.7	182.6	0.556	146.1	0.444	2000	6.4	George Clooney	Mark Wahlberg	Wolfgang Petersen	10	8	87	193	20	60
317	317	Crocodile Dundee	Par.	328.2	174.8	0.533	153.4	0.467	1986	6.5	Paul Hogan	Linda Kozlowski	Peter Faiman	 	 	3	16	0	1
318	318	Seven	NL	327.3	100.1	0.306	227.2	0.694	1995	8.6	Morgan Freeman	Andrew Kevin Walker	David Fincher	57	101	56	69	2	3
319	319	The Devil Wears Prada	Fox	326.6	124.7	0.382	201.8	0.618	2006	6.8	Meryl Streep	Anne Hathaway	David Frankel	7	6	163	321	65	95
320	320	Taken 3	Fox	326.5	89.3	0.273	237.2	0.727	2015	6	Liam Neeson	Forest Whitaker	Olivier Megaton	2	2	15	35	57	48
321	321	The Hunchback of Notre Dame	BV	325.3	100.1	0.308	225.2	0.692	1996	6.9	Jason Alexander	Tom Hulce	Gary Trousdale	1	5	7	37	4	10
322	322	A Christmas Carol (2009)	BV	325.3	137.9	0.424	187.4	0.576	2009		James Barratt	Tom Hulce	James Barratt	 	 	 	 	 	 
323	323	The SpongeBob Movie: Sponge Out of Water	Par.	323.4	163	0.504	160.4	0.496	2015	6	Antonio Banderas	Eric Bauza	Paul Tibbitt	2	10	33	39	4	13
324	324	Megamind	P/DW	321.9	148.4	0.461	173.5	0.539	2010	7.3	Will Ferrell	Brad Pitt	Tom McGrath	0	8	9	61	64	136
325	325	Lethal Weapon 3	WB	321.7	144.7	0.45	177	0.55	1992	6.7	Mel Gibson	Danny Glover	Richard Donner	9	7	32	30	22	41
326	326	Robin Hood	Uni.	321.7	105.3	0.327	216.4	0.673	2010	6.7	Russell Crowe	Cate Blanchett	Ridley Scott	31	87	36	66	144	177
327	327	Inglourious Basterds	Wein.	321.5	120.5	0.375	200.9	0.625	2009	8.3	Brad Pitt	M¨¦lanie Laurent	Quentin Tarantino	120	163	64	136	18	23
328	328	Schindler's List	Uni.	321.3	96.1	0.299	225.2	0.701	1993	8.9	Liam Neeson	Ben Kingsley	Steven Spielberg	175	168	15	35	45	65
329	329	101 Dalmatians (1996)	BV	320.7	136.2	0.425	184.5	0.575	1996	7	Rick Adamson	Martin Sheen	Dominik Sedlar	 	 	 	 	 	 
330	330	Fatal Attraction	Par.	320.1	156.6	0.489	163.5	0.511	1987	6.9	Michael Douglas	Glenn Close	Adrian Lyne	4	4	58	36	49	91
331	331	The Last Airbender	Par.	319.7	131.8	0.412	187.9	0.588	2010	4.2	Noah Ringer	Dev Patel	M. Night Shyamalan	12	36	0	1	12	22
332	332	The Conjuring	WB (NL)	318	137.4	0.432	180.6	0.568	2013	7.5	Vera Farmiga	Patrick Wilson	James Wan	10	8	17	68	2	16
333	333	The Proposal	BV	317.4	164	0.517	153.4	0.483	2009	6.7	Sandra Bullock	Ryan Reynolds	Anne Fletcher	 	 	72	102	8	32
334	334	Beverly Hills Cop	Par.	316.4	234.8	0.742	81.6	0.258	1984	7.3	Eddie Murphy	Judge Reinhold	Martin Brest	3	5	30	67	0	1
