"adjusted" "studio" "release_year" "genre" "mpaa" "theater" "rating" "runt" "per" "sh" "shb" "series" "rn" "to_rating" "bb" "adjusted.1" "adbudget" "adow" "dir_win" "dir_nomi" "st1_win" "st1_nomi" "st2_win" "st2_nomi" "genre1"
"153" 154.74 "Sony" 2009 "Thriller" "PG-13" 3527 6.7 140 "ns" 0 0 0 NA NA 0.89 154.74 174 53.59 38 65 76 115 24 38 "Thriller"
"154" 421.13 "BV" 1999 "Animation" "G" NA 7.9 92 "ns" 0 0 1 163 2 2.73 421.13 154.13 NA 36 26 76 115 23 32 "Animation"
"155" 157.54 "Fox" 2011 "Animation" "G" 3842 7 96 "ns" 0 0 0 134 49 1.6 157.54 98.74 43.01 2 12 NA NA NA NA "Animation"
"156" 350.31 "Uni." 2003 "Fantasy Comedy" "PG-13" 3549 6.7 101 "ss" 0 0 0 NA NA 3 350.31 116.87 98.11 1 0 45 88 56 69 "Fantasy"
"157" 411.48 "DW" 2001 "Animation" "PG" 3715 7.9 90 "ns" 0 0 0 200 77 4.46 411.48 92.23 65.02 7 19 28 38 30 67 "Animation"
"158" 401.61 "DW" 1998 "War" "R" NA 8.6 170 "ss" 0 0 0 130 81 3.09 401.61 129.85 NA 175 168 76 115 5 7 "War"
"159" 193.97 "Fox" 2011 "Sci-Fi Action" "PG-13" 3691 7.6 110 "ss" 0 0 0 248 71 1.9 193.97 102.03 NA 1 7 30 42 NA NA "Sci-Fi"
"160" 252.86 "Fox" 2005 "Action Comedy" "PG-13" 3451 6.5 115 "ss" 0 0 0 NA NA 1.69 252.86 149.3 68.27 2 6 64 136 47 93 "Action"
"161" 587.82 "Fox" 1990 "Family Comedy" "PG" 2173 7.5 105 "ns" 0 0 0 42 43 15.88 587.82 37.02 NA 6 18 4 7 13 11 "Family"
"162" 854.26 "Fox" 1983 "Sci-Fi Fantasy" "PG" NA 8.4 134 "ss" 0 0 0 NA NA 9.52 854.26 89.76 NA 2 3 11 13 32 36 "Sci-Fi"
"163" 280.27 "WB" 2005 "Family Adventure" "PG" NA 6.7 106 "ss" 0 0 0 221 72 1.38 280.27 203.59 NA 20 58 65 115 12 22 "Family"
"164" 432.15 "Par." 1989 "Period Adventure" "PG-13" 2327 8.3 127 "ss" 0 0 0 68 77 4.11 432.15 105.19 NA 175 168 32 36 37 27 "Period"
"165" 160.17 "WB" 2015 "Action" "PG-13" NA 6.1 114 "ss" 0 0 0 NA NA 1.41 160.17 113.52 NA 0 2 3 28 1 8 "Action"
"166" 207.01 "BV" 2012 "Animation" "PG" 3752 7.8 108 "ns" 0 0 0 168 75 1.15 207.01 180.34 53.56 0 1 17 42 5 14 "Animation"
"167" 1103.41 "Uni." 1975 "Horror Thriller" "PG" NA 8.1 125 "ss" 0 0 0 NA NA 37.14 1103.41 29.71 NA 175 168 2 9 2 4 "Horror"
"168" 274.52 "WB" 2014 "Animation" "PG" NA 7.8 100 "ns" 0 0 0 222 85 4.3 274.52 63.89 NA 11 12 5 20 11 32 "Animation"
"169" 175.14 "Sony" 2015 "Animation" "PG" NA 6.8 89 "ns" 0 0 1 NA NA 2.12 175.14 82.56 NA 6 15 50 68 5 24 "Animation"
"170" 321.67 "WB" 2009 "Comedy" "R" 3545 7.8 96 "ss" 0 0 0 225 67 7.92 321.67 40.6 52.2 5 4 29 65 4 12 "Comedy"
"171" 244.84 "Par." 2013 "Sci-Fi Adventure" "PG-13" 3907 7.8 123 "ns" 0 0 0 250 76 1.2 244.84 203.32 75.12 18 41 6 15 9 20 "Sci-Fi"
"172" 293.71 "WB" 1999 "Sci-Fi Action" "R" 2903 8.7 136 "ns" 0 0 0 141 76 2.72 293.71 107.89 NA 10 22 11 20 21 45 "Sci-Fi"
"173" 366.92 "BV" 1990 "Romantic Comedy" "R" 1811 6.9 119 "ns" 0 0 0 55 50 12.74 366.92 28.79 NA 13 14 20 26 51 86 "Romantic"
"174" 134.92 "Uni." 2014 "Sci-Fi Action" "R" 3202 6.4 90 "ss" 0 0 0 177 74 3.17 134.92 42.59 NA 24 22 34 119 56 69 "Sci-Fi"
"175" 324.22 "BV" 2006 "Animation" "G" 3988 7.2 116 "ss" 0 0 0 196 62 2.03 324.22 159.39 79.83 36 26 14 45 37 64 "Animation"
"176" 311.34 "Fox" 2006 "AA" "PG-13" 3714 6.8 104 "ss" 4 1 1 NA NA 1.12 311.34 278.93 136.54 3 4 20 71 41 79 "AA"
"177" 356.27 "Par." 1996 "Action" "PG-13" 3012 7.1 110 "ss" 0 0 1 51 51 2.26 356.27 157.47 89.36 10 21 39 76 24 30 "Action"
"178" 302.97 "DW" 2000 "Historical Epic" "R" 3188 8.5 155 "ns" 0 0 0 186 64 1.82 302.97 166.25 56.17 31 87 36 66 30 110 "Historical"
"179" 278.2 "BV" 2007 "Adventure" "PG" 3832 6.5 124 "hs" 0 0 1 NA NA NA 278.2 NA 56.65 0 2 40 60 0 2 "Adventure"
"180" 160.29 "WB" 2003 "War" "R" 2938 7.7 154 "hs" 0 0 0 NA NA 0.79 160.29 201.99 35.06 23 21 9 19 39 76 "War"
"181" 266.31 "WB" 2007 "Period Action" "R" NA 7.7 117 "ns" 0 0 NA NA NA 3.24 266.31 82.19 NA 3 7 2 12 3 28 "Period"
"182" 281.9 "WB" 2001 "Crime Comedy" "PG-13" NA 7.8 116 "hs" 0 0 0 168 71 2.16 281.9 130.65 NA 29 74 NA NA NA NA "Crime"
"183" 198.58 "Par." 2011 "AA" "PG-13" 3963 7 115 "ns" 6 1 0 88 69 1.21 198.58 164.56 72.08 29 60 9 21 58 85 "AA"
"184" 305.11 "BV" 2001 "War" "PG-13" 3255 6 183 "ss" 0 0 0 NA NA 1.42 305.11 215.19 NA 7 10 67 95 2 16 "War"
"185" 293.03 "BV" 1999 "Animation" "G" NA 7.2 88 "ss" 0 0 0 104 77 1.32 293.03 222.64 NA 9 10 1 1 49 91 "Animation"
"186" 254.74 "Fox" 2009 "Family Comedy" "PG" 3747 4.5 88 "hs" 0 0 1 NA NA 2.93 254.74 87 56.72 8 13 2 13 7 15 "Family"
"187" 287.68 "Uni." 2007 "Action Thriller" "PG-13" 3701 8.1 111 "ss" 0 0 0 257 82 2.07 287.68 139.1 87.63 34 62 34 122 13 17 "Action"
"188" 285.11 "Sony" 2002 "Sci-Fi Comedy" "PG-13" 3641 6.1 88 "ss" 0 0 0 NA NA 1.36 285.11 209.64 78.02 7 7 40 89 56 106 "Sci-Fi"
"189" 162.63 "Uni." 2012 "Musical" "PG-13" 2927 7.6 157 "hs" 0 0 0 43 62 2.44 162.63 66.67 29.84 28 47 20 71 36 66 "Musical"
"190" 1144.76 "WB" 1973 "Horror" "R" NA 8 122 "hs" 0 0 0 NA NA NA 1144.76 NA NA 19 14 32 49 21 22 "Horror"
"191" 460.64 "Fox" 1993 "Family Comedy" "PG-13" NA 6.9 125 "hs" 0 0 0 49 59 8.77 460.64 52.54 NA 6 18 63 80 43 70 "Family"
"192" 92.68 "Par." 2015 "Action" "PG-13" 3783 6.6 126 "ss" 0 0 1 NA NA 0.58 92.68 159.96 27.86 6 8 23 31 0 4 "Action"
"193" 217 "WB" 2003 "Sci-Fi Action" "R" 3504 6.4 109 "ss" 0 0 1 NA NA 0.75 217 288.56 63.48 1 1 23 31 1 9 "Sci-Fi"
"194" 310.49 "Uni." 2001 "Period Adventure" "PG-13" 3553 6.3 130 "ns" 0 0 0 NA NA 2.06 310.49 150.64 NA 1 3 8 10 15 30 "Period"
"195" 240.93 "MGM" 2002 "Action" "PG-13" 3377 6.1 123 "hs" 0 0 0 NA NA 1.13 240.93 212.63 NA 11 1 17 20 41 79 "Action"
"196" 377.05 "Fox" 2000 "Drama" "PG-13" 3061 7.7 143 "hs" 0 0 0 154 79 2.6 377.05 145.27 NA 33 33 NA NA NA NA "Drama"
"197" 200.98 "WB" 2003 "Sci-Fi Action" "R" 3502 6.7 135 "ns" 0 0 0 NA NA 0.93 200.98 216.42 NA 10 22 NA NA NA NA "Sci-Fi"
"198" 11.15 "Wein." 2012 "Foreign" "R" NA 5.8 112 "ss" 0 0 0 NA NA NA 11.15 NA NA 10 22 NA NA NA NA "Foreign"
"199" 177.93 "Wein." 2012 "Western" "R" 3012 8.5 165 "hs" 0 0 0 248 77 1.63 177.93 109.3 32.9 120 163 45 74 81 37 "Western"
"200" 452.57 "BV" 1991 "Animation" "G" NA 8 84 "ns" 0 0 0 103 82 8.76 452.57 51.66 NA 1 5 3 7 1 1 "Animation"
"201" 378.85 "Orion" 1990 "Western" "PG-13" NA 8 183 "ns" 0 0 0 66 71 8.37 378.85 45.25 NA 46 49 46 49 3 13 "Western"
"202" 171.58 "BV" 2008 "Fantasy" "PG" 3929 6.6 140 "ns" 0 0 1 NA NA 0.63 171.58 272.63 66.64 7 19 0 4 3 10 "Fantasy"
"203" 266.14 "Uni." 1999 "Period Adventure" "PG-13" NA 7 124 "ns" 0 0 0 83 43 1.94 266.14 137.01 NA 1 3 8 10 15 30 "Period"
"204" 115.12 "Fox" 2010 "Fantasy" "PG" 3555 6.3 112 "hs" 0 0 1 NA NA 0.67 115.12 170.91 26.46 20 15 3 10 1 3 "Fantasy"
"205" 184.91 "WB (NL)" 2008 "Romantic Comedy" "R" 3325 6.9 135 "ss" 0 0 0 NA NA 2.35 184.91 78.76 69.07 2 2 28 43 9 24 "Romantic"
"206" 141.9 "Fox" 2013 "Action" "PG-13" 3924 6.7 126 "ss" 0 0 0 NA NA 1.1 141.9 128.41 56.82 5 4 20 71 NA NA "Action"
"207" 132.41 "Fox" 2015 "AA" "R" 3282 7.8 129 "ns" 0 0 1 NA NA 1.58 132.41 83.59 37.36 5 16 NA NA 64 52 "AA"
"208" 153.05 "Wein." 2010 "Historical Drama" "R" NA 8 118 "hs" 0 0 0 265 84 9.25 153.05 16.54 NA 28 47 64 52 42 80 "Historical"
"209" 205.55 "Fox" 2009 "Family Adventure" "PG" 4101 5.9 105 "ss" 0 0 1 NA NA 1.18 205.55 174 62.87 3 1 13 52 54 146 "Family"
"210" 550.49 "WB" 1989 "AA" "PG-13" 2201 7.6 126 "ss" 2 1 0 68 60 7.18 550.49 76.7 88.75 20 58 58 36 84 95 "AA"
"211" 255.76 "WB" 1992 "Romance" "R" 1806 6.1 130 "hs" 0 0 0 NA NA NA 255.76 NA NA 14 9 46 49 9 27 "Romance"
"212" 108.94 "WB" 2013 "Sci-Fi Action" "PG-13" 3285 7 131 "ss" 0 0 0 NA NA 0.54 108.94 203.32 39.92 49 48 1 4 0 1 "Sci-Fi"
"213" 341.41 "BV" 2002 "Sci-Fi Horror" "PG-13" 3453 6.7 107 "ss" 0 0 0 228 62 3.17 341.41 107.81 89.99 12 36 32 30 30 110 "Sci-Fi"
"214" 310.05 "Fox" 2003 "AA" "PG-13" 3749 7.5 134 "ns" 4 1 1 235 75 1.95 310.05 158.71 123.5 14 20 9 36 20 71 "AA"
"215" 138.26 "Fox" 2012 "Sci-Fi Action" "R" NA 7 124 "ss" 0 0 0 NA NA 0.94 138.26 147.55 NA 31 87 13 17 70 131 "Sci-Fi"
"216" 124.2 "Uni." 2008 "Period Adventure" "R" 3442 5.2 114 "ss" 0 0 1 NA NA 0.79 124.2 157.52 61.92 3 1 8 10 4 15 "Period"
"217" 7516.04 "MGM" 1939 "Historical Epic" "PG-13" 3778 8.2 238 "hs" 0 0 0 NA NA 1.37 7516.04 5484.78 NA 2 4 4 4 0 1 "Historical"
"218" 189.77 "BV" 2010 "Sci-Fi Action" "G" NA 6.8 125 "hs" 0 0 0 NA NA NA 189.77 NA NA NA NA 31 67 1 3 "Sci-Fi"
"219" 177.98 "Par." 2006 "Action" "PG" 3451 6.9 126 "ns" 0 0 1 NA NA 0.79 177.98 225.8 58.44 18 41 39 76 89 98 "Action"
"220" 169.74 "Uni." 2012 "Adventure" "PG-13" 4059 6.1 127 "ss" 0 0 0 NA NA 1.04 169.74 163.94 NA 1 2 41 53 9 21 "Adventure"
"221" 701.95 "Par." 1978 "Musical" "PG-13" 3777 7.2 110 "ss" 0 0 0 NA NA 1.11 701.95 632.05 NA 1 3 40 49 6 7 "Musical"
"222" 233.62 "Sum." 2008 "Romance" "PG" NA 5.2 120 "hs" 0 0 0 54 47 32.13 233.62 7.27 NA 8 12 41 53 1 2 "Romance"
"223" 125.1 "Par." 2013 "Drama" "PG-13" NA 8.2 180 "hs" 0 0 0 248 65 3.16 125.1 39.59 NA 135 185 85 195 5 56 "Drama"
"224" 265.78 "WB" 2006 "AA" "R" 2557 6.1 154 "ss" 2 1 0 258 64 2 265.78 132.82 24.44 14 20 6 6 3 10 "AA"
"225" 342.01 "WB" 1991 "Period Adventure" "PG-13" 4065 6.9 143 "ss" 0 0 1 52 38 0.61 342.01 557.96 108.49 2 5 46 49 56 69 "Period"
"226" 776.74 "Par." 1981 "Period Adventure" "PG-13" NA 8.5 115 "ss" 0 0 0 NA NA 5.17 776.74 150.22 NA 175 168 32 36 1 4 "Period"
"227" 183.08 "Fox" 2015 "AA" "PG" NA 6.7 151 "hs" 0 0 0 42 43 9.86 183.08 18.58 NA 2 1 18 54 21 52 "AA"
"228" 265.95 "Par." 2015 "Animation" "PG" NA 8 94 "ns" 0 0 0 43 12 1.91 265.95 139.32 NA 18 41 6 15 9 20 "Animation"
"229" NA "FR" 2009 "Sci-Fi Adventure" "PG-13" 4053 6.2 126 "ns" 0 0 0 NA NA NA NA 174 87.23 2 4 1 5 0 2 "Sci-Fi"
"230" Inf "Fox" 2016 "Action Fantasy" "Unrated" NA 8.2 111 "ns" 0 0 0 296 71 NA Inf NA NA 110 139 85 195 16 70 "Action"
"231" 262.99 "WB" 2006 "Animation" "PG" 3804 6.5 108 "ns" 0 0 0 161 63 1.98 262.99 132.82 55.12 64 52 2 5 NA NA "Animation"
"232" 170.08 "Fox" 2007 "Action" "PG-13" 3411 7.2 130 "ss" 0 0 0 206 71 1.22 170.08 139.1 42.24 NA NA 21 37 3 21 "Action"
"233" 264.14 "Fox" 2002 "Animation" "PG" 3345 7.6 81 "ns" 0 0 0 165 65 2.99 264.14 88.35 69.33 6 6 15 48 12 20 "Animation"
"234" 230.14 "P/DW" 2009 "Animation" "PG" 4136 6.6 94 "ns" 0 0 0 NA NA 1.13 230.14 203 68.79 0 2 50 87 11 26 "Animation"
"235" 516.12 "Uni." 1985 "Sci-Fi Adventure" "PG" NA 8.5 111 "ss" 0 0 0 60 51 11.08 516.12 46.56 NA 33 33 29 55 30 16 "Sci-Fi"
"236" 252.84 "Sony" 1998 "Sci-Fi Action" "PG-13" 3310 6.5 140 "ss" 0 0 0 68 44 1.05 252.84 241.15 NA 10 11 1 10 9 18 "Sci-Fi"
"237" 304.5 "Fox" 1994 "Action Comedy" "R" NA 7.2 144 "ss" 0 0 0 47 60 1.27 304.5 239.35 NA 65 54 23 31 12 24 "Action"
"238" 171.21 "FoxS" 2008 "Drama" "R" NA 8 120 "ns" 0 0 0 267 81 9.42 171.21 18.18 NA 79 79 12 22 2 4 "Drama"
"239" 158.52 "WB" 2015 "Sci-Fi Action" "R" NA 8.2 120 "ns" 0 0 1 343 86 1.02 158.52 154.8 NA 64 52 16 70 51 87 "Sci-Fi"
"240" 152.91 "Fox" 2012 "Action" "PG-13" 3706 6.3 91 "ns" 0 0 1 NA NA 3.11 152.91 49.18 54.1 2 2 15 35 1 5 "Action"
"241" 131.09 "Par." 2013 "Action" "PG-13" 3734 5.8 99 "ns" 0 0 1 NA NA 0.94 131.09 139.11 43.34 15 7 3 28 6 14 "Action"
"242" 280.82 "WB" 2005 "AA" "PG-13" 3858 8.3 140 "ss" 2 1 0 267 74 1.38 280.82 203.59 66.1 121 160 64 76 37 60 "AA"
"243" 295.06 "Par." 2000 "Fantasy Comedy" "PG-13" NA 6.4 127 "hs" 0 0 0 NA NA 2.61 295.06 112.99 NA 6 5 32 30 47 65 "Fantasy"
"244" 85.13 "Par." 2011 "Animation" "PG" 3087 7.4 101 "hs" 0 0 0 NA NA NA 85.13 NA 10.64 175 168 17 19 30 42 "Animation"
"245" 208.68 "Fox" 2009 "AA" "PG-13" 4102 6.7 107 "ns" 4 1 1 NA NA 1.2 208.68 174 98.72 26 7 20 71 11 25 "AA"
"246" 88.81 "Fox" 2014 "Animation" "PG" 3775 6.7 92 "hs" 0 0 0 NA NA 0.63 88.81 140.56 NA 0 2 0 8 12 12 "Animation"
"247" 88.64 "NL" 2007 "Fantasy" "PG-13" 3528 6.1 113 "hs" 0 0 0 NA NA 0.39 88.64 227.62 32.62 2 10 65 148 13 27 "Fantasy"
"248" 145.35 "WB" 2009 "Sci-Fi Action" "PG-13" 3602 6.6 114 "ss" 0 0 0 NA NA 0.63 145.35 232 49.42 24 38 64 76 6 14 "Sci-Fi"
"249" 193.86 "Par." 2011 "AA" "PG-13" 3715 6.8 125 "ss" 1 1 1 241 67 1.26 193.86 153.59 71.42 2 6 4 26 0 9 "AA"
"250" 106.7 "WB" 2014 "Sci-Fi Action" "PG-13" 3505 7.9 113 "ss" 0 0 0 279 79 0.56 106.7 189.55 30.67 2 6 39 76 16 56 "Sci-Fi"
"251" 327.41 "Fox" 1998 "Romantic Comedy" "R" NA 7.1 119 "ss" 0 0 0 83 72 7.67 327.41 42.67 NA 3 4 28 82 18 22 "Romantic"
"252" 178.69 "Fox" 2014 "Thriller" "R" 3284 8.1 145 "ns" 0 0 0 288 77 2.75 178.69 64.96 39.93 57 101 67 95 28 50 "Thriller"
"253" 386.46 "WB" 1993 "Action Thriller" "PG-13" 2425 7.8 130 "ss" 0 0 0 72 85 NA 386.46 NA 50.01 0 4 32 36 40 89 "Action"
"254" 278.52 "Uni." 2001 "Sci-Fi Horror" "PG-13" 3462 5.9 92 "ss" 0 0 0 NA NA 1.95 278.52 142.95 NA 2 6 3 25 34 58 "Sci-Fi"
"255" 361.48 "IFC" 2002 "Romantic Comedy" "PG" NA 6.6 95 "ns" 0 0 0 129 64 48.28 361.48 7.49 NA 3 1 7 16 2 5 "Romantic"
"256" 243.63 "Sony" 2005 "Romantic Comedy" "PG-13" 3575 6.7 115 "ns" 0 0 0 84 84 2.56 243.63 95.01 58.5 1 0 56 106 2 15 "Romantic"
"257" 225.42 "DW" 2004 "Animation" "PG" 4070 6 90 "ns" 0 0 0 NA NA 2.15 225.42 105.07 66.69 0 1 56 106 48 82 "Animation"
"258" 200 "Fox" 1995 "Action Thriller" "R" 2579 7.6 131 "ns" 0 0 1 45 39 1.11 200 180 NA 4 5 21 37 27 30 "Action"
"259" 198.83 "Uni." 1999 "Romantic Comedy" "PG-13" NA 7 124 "ss" 0 0 0 98 72 2.76 198.83 71.93 NA 6 15 51 86 15 18 "Romantic"
"260" 302 "BV" 1998 "Animation" "G" NA 7.2 96 "hs" 0 0 0 86 81 1.36 302 222.6 NA 36 26 6 21 54 72 "Animation"
"261" 121.08 "Fox" 2014 "Family Adventure" "PG" 3914 6.2 97 "hs" 0 0 1 NA NA 0.9 121.08 135.24 18.21 3 1 13 52 63 80 "Family"
"262" 179.92 "Uni." 2009 "Action" "PG-13" 3674 6.6 99 "ns" 0 0 0 NA NA 1.82 179.92 98.6 82.36 3 6 7 26 7 11 "Action"
"263" 175.82 "WB" 2004 "Crime Comedy" "PG-13" 3290 6.4 124 "hs" 0 0 0 NA NA 1.14 175.82 154.11 54.92 29 74 64 136 18 32 "Crime"
"264" 107.76 "Par." 2014 "Drama" "PG-13" 3571 5.8 138 "ns" 0 0 0 NA NA 0.81 107.76 133.11 46.53 32 73 36 66 15 25 "Drama"
"265" 276.68 "Fox" 2001 "Sci-Fi Action" "PG-13" NA NA 119 "ss" 0 0 0 248 71 1.8 276.68 153.71 NA NA NA NA NA NA NA "Sci-Fi"
"266" 120.07 "WB" 2013 "Comedy" "R" 3565 5.9 100 "ss" 0 0 1 NA NA 1.09 120.07 110.22 44.62 5 4 29 65 4 12 "Comedy"
"267" 383.6 "BV" 1995 "Animation" "G" 2574 8.3 81 "hs" 0 0 0 78 2 NA 383.6 NA NA 36 26 76 115 23 32 "Animation"
"268" 217.33 "MGM" 1999 "Action" "PG-13" 3163 6.4 128 "ns" 0 0 0 136 39 0.94 217.33 231.2 NA 20 15 17 20 8 2 "Action"
"269" 274.78 "Fox" 2007 "Family Comedy" "PG" NA 5.3 92 "hs" 0 0 0 NA NA 3.62 274.78 75.87 NA 1 1 2 22 7 15 "Family"
"270" 194.73 "Sony" 2010 "Action Drama" "PG" 3740 7.2 140 "ss" 0 0 0 NA NA 4.42 194.73 44.11 61.42 5 6 3 3 1 5 "Action"
"271" 363.93 "Fox" 1992 "Family Comedy" "PG" 2461 6.6 120 "hs" 0 0 1 NA NA NA 363.93 NA NA 6 18 4 7 13 11 "Family"
"272" 162.09 "Sony" 2012 "Animation" "PG" 3375 7.1 91 "ns" 0 0 0 NA NA 1.74 162.09 92.9 46.45 6 15 50 68 5 24 "Animation"
"273" 197.81 "Fox" 2002 "Sci-Fi Thriller" "PG-13" 3001 7.7 144 "ss" 0 0 0 240 79 1.3 197.81 152.74 NA 175 168 39 76 21 22 "Sci-Fi"
"274" 421.63 "Par." 1986 "Action Drama" "PG" NA 6.9 110 "ns" 0 0 0 NA NA NA 421.63 NA NA 5 13 39 76 1 2 "Action"
"275" 222.81 "DW" 1999 "Drama" "R" NA 8.4 122 "ns" 0 0 0 180 77 8.67 222.81 25.69 NA 39 25 54 72 42 81 "Drama"
"276" 347.6 "Uni." 1995 "Action Thriller" "PG" NA 7.6 140 "ss" 0 0 1 85 84 NA 347.6 NA NA 38 65 76 115 6 22 "Action"
"277" 365.78 "MGM" 1988 "Drama" "R" NA 8 133 "hs" 0 0 0 69 79 6.91 365.78 52.92 NA 29 37 58 49 39 76 "Drama"
"278" 160.62 "Fox" 2011 "AA" "PG-13" 3692 7.8 131 "ss" 4 1 1 270 76 0.92 160.62 175.54 60.45 5 16 11 25 NA NA "AA"
"279" 246.74 "TriS" 1992 "Thriller" "R" NA 6.9 123 "ns" 0 0 0 59 42 2.4 246.74 102.72 NA 25 19 58 36 19 33 "Thriller"
"280" 212.8 "MGM" 1995 "Action" "PG-13" NA 7.2 130 "ns" 0 0 0 72 66 NA 212.8 NA NA 2 10 17 20 13 11 "Action"
"281" 246.48 "DW" 2002 "Comedy / Drama" "PG-13" 3225 8 140 "hs" 0 0 0 195 85 3.17 246.48 77.87 45.07 175 168 85 195 76 115 "Comedy"
"282" 125.95 "LG/S" 2013 "Thriller" "PG-13" 3082 7.3 116 "ss" 0 0 0 NA NA 1.57 125.95 80.26 31.46 NA NA 20 54 26 108 "Thriller"
"283" 253.78 "MGM" 2001 "Thriller" "R" 3292 8.6 131 "ns" 0 0 0 NA NA 1.9 253.78 133.73 NA 2 9 1 14 25 34 "Thriller"
"284" 249.55 "NL" 1994 "Comedy" "PG-13" NA 6.9 97 "ss" 0 0 0 52 65 5.21 249.55 47.87 NA 1 5 45 88 3 3 "Comedy"
"285" 154.95 "WB" 2013 "Drama" "PG-13" 3550 7.3 143 "ns" 0 0 0 NA NA 1.38 154.95 112.36 53.61 33 49 NA NA NA NA "Drama"
"286" 252.26 "Fox" 1994 "Action Thriller" "R" 2169 7.2 116 "ss" 0 0 0 60 82 4.04 252.26 62.44 NA 0 7 11 20 23 16 "Action"
"287" 222.26 "BV" 2000 "Animation" "PG" NA 6.4 82 "ns" 0 0 0 122 53 1.08 222.26 205.8 NA 0 4 14 1 30 67 "Animation"
"288" 260.63 "Par." 1998 "Action Drama" "PG-13" NA 6.1 120 "ns" 0 0 0 52 36 NA 260.63 NA NA 4 11 56 59 1 8 "Action"
"289" 233.89 "Uni." 2012 "Animation" "PG" 3769 6.5 95 "ns" 0 0 0 NA NA 3.06 233.89 76.51 76.73 0 15 11 39 4 12 "Animation"
"290" 109.04 "Fox" 2014 "Sci-Fi Thriller" "PG-13" 3638 6.8 113 "ns" 0 0 0 NA NA 3.01 109.04 36.21 34.61 2 0 6 3 NA NA "Sci-Fi"
"291" 75.98 "Sony" 2013 "Family Comedy" "PG" 3867 5.4 105 "ss" 0 0 1 NA NA 0.68 75.98 112.36 18.73 NA NA 15 25 21 50 "Family"
"292" 242.37 "BV" 2004 "Adventure" "PG" 3243 6.9 131 "ns" 0 0 0 NA NA 1.73 242.37 140.1 49.17 0 2 40 60 10 15 "Adventure"
"293" 347.69 "NL" 2001 "Action Comedy" "PG-13" NA 6.6 90 "ss" 0 0 1 NA NA 2.51 347.69 138.34 NA 3 4 36 44 8 24 "Action"
"294" 202.86 "Fox" 2004 "Sci-Fi Thriller" "PG-13" 3494 7.1 105 "ss" 0 0 0 NA NA 1.21 202.86 168.12 73.13 6 5 56 NA NA NA "Sci-Fi"
"295" 283.2 "BV" 1995 "Animation" "G" NA 6.6 81 "ss" 0 0 0 52 44 NA 283.2 NA NA 3 1 6 2 NA NA "Animation"
"296" 419.67 "Uni." 2000 "Family Comedy" "PG" 3256 6 104 "ns" 0 0 0 130 41 2.11 419.67 198.53 88.94 38 65 45 88 0 7 "Family"
"297" 146.02 "Fox" 2011 "Family Comedy" "G" NA 4.4 87 "hs" 0 0 1 NA NA 1.77 146.02 82.28 NA 6 6 2 22 7 15 "Family"
"298" 271.61 "Uni." 1994 "Family Comedy" "PG" NA 7.5 91 "ss" 0 0 0 42 12 2.84 271.61 95.74 NA 8 15 1 0 NA NA "Family"
"299" 162.97 "Uni." 2008 "AA" "R" 3185 6.7 108 "ss" 0 0 0 47 76 1.79 162.97 90.88 NA 3 9 11 25 56 69 "AA"
"300" 161.61 "BV" 2007 "Family Adventure" "PG" 3730 7.1 107 "hs" 0 0 0 187 82 1.5 161.61 107.49 43.5 2 4 54 146 8 20 "Family"
"301" 113.52 "WB" 2014 "Period Action" "R" 3490 6.3 102 "ns" 0 0 1 NA NA 0.97 113.52 117.14 47.92 2 7 0 4 3 15 "Period"
"302" 368 "WB" 1995 "AA" "PG-13" 2893 5.4 122 "ss" 2 1 0 58 30 1.84 368 200 105.6 9 8 5 13 40 89 "AA"
"303" 100.12 "BV" 2010 "Adventure" "PG-13" 3646 6.6 115 "ss" 0 0 1 NA NA 0.45 100.12 220.53 33.19 13 10 34 82 1 7 "Adventure"
"304" 205.88 "P/DW" 2006 "Animation" "PG" 4093 6.8 87 "ns" 0 0 0 168 63 NA 205.88 NA 51.14 2 1 21 37 17 44 "Animation"
"305" 113.56 "WB (NL)" 2012 "Adventure" "PG" 3500 5.8 94 "ns" 0 0 1 NA NA 1.32 113.56 86.34 29.84 0 2 3 28 37 60 "Adventure"
"306" 263.95 "BV" 1996 "Action" "R" 2426 7.4 136 "ss" 0 0 0 57 49 1.79 263.95 147.62 49.4 7 10 37 27 40 60 "Action"
"307" 154.49 "Par." 2008 "Fantasy Drama" "PG-13" 2988 7.8 168 "hs" 0 0 0 238 60 0.85 154.49 181.75 32.59 57 101 144 177 64 136 "Fantasy"
"308" 465.81 "Par." 1984 "Period Adventure" "PG" 1687 7.6 118 "ss" 0 0 0 NA NA 6.42 465.81 72.5 NA 175 168 32 36 NA NA "Period"
"309" 237.5 "MGM" 1997 "Action" "PG-13" NA 6.5 119 "hs" 0 0 0 82 45 NA 237.5 NA NA 7 6 17 20 6 14 "Action"
"310" 259.69 "Uni." 1989 "Sci-Fi Adventure" "PG" NA 7.8 108 "hs" 0 0 1 60 51 2.96 259.69 87.66 NA 33 33 29 55 30 16 "Sci-Fi"
"311" 204.14 "Sony" 2014 "Action Comedy" "R" 3426 7.1 112 "ss" 0 0 0 196 74 3.83 204.14 53.24 60.8 11 12 5 56 19 53 "Action"
"312" 209.97 "Fox" 2005 "AA" "PG-13" 3619 5.7 123 "ss" 4 1 0 NA NA 1.55 209.97 135.73 76.14 0 6 2 4 14 37 "AA"
